number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,params_rnn_type,params_rnn_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,29339.9560546875,2026-02-24 05:47:26.098759,2026-02-24 05:47:28.807766,0 days 00:00:02.709007,0.0,64,3,0.00018559980846490597,lstm,64,"{'MAE_15m': 29306.732421875, 'RMSE_15m': 29367.08470379721, 'sMAPE_15m': 199.96361626310076, 'R2_15m': -242.54153054980125, 'MAE_30m': 29373.1796875, 'RMSE_30m': 29432.92197523039, 'sMAPE_30m': 199.9769306649649, 'R2_30m': -245.56644191768953, 'MAE_avg': 29339.9560546875, 'RMSE_avg': 29400.0033395138, 'sMAPE_avg': 199.97027346403283, 'R2_avg': -244.05398623374538}",29341.46875,29340.830078125,COMPLETE
1,29341.61328125,2026-02-24 05:47:28.808542,2026-02-24 05:47:30.282394,0 days 00:00:01.473852,0.3,96,7,0.000117115099555241,gru,96,,29341.61328125,,PRUNED
2,29341.724609375,2026-02-24 05:47:30.283150,2026-02-24 05:47:31.734159,0 days 00:00:01.451009,0.3,32,5,0.00024112898115291975,lstm,96,,29341.724609375,,PRUNED
3,29341.7734375,2026-02-24 05:47:31.734829,2026-02-24 05:47:33.133378,0 days 00:00:01.398549,0.2,32,7,0.0003023795012558478,gru,64,,29341.7734375,,PRUNED
4,29333.38671875,2026-02-24 05:47:33.134070,2026-02-24 05:47:35.240033,0 days 00:00:02.105963,0.3,96,7,0.0011069143219393448,lstm,64,"{'MAE_15m': 29301.32421875, 'RMSE_15m': 29361.687144985386, 'sMAPE_15m': 199.88942147819728, 'R2_15m': -242.4520278964262, 'MAE_30m': 29365.44921875, 'RMSE_30m': 29425.210415560327, 'sMAPE_30m': 199.87124626087194, 'R2_30m': -245.43721936254363, 'MAE_avg': 29333.38671875, 'RMSE_avg': 29393.448780272854, 'sMAPE_avg': 199.8803338695346, 'R2_avg': -243.9446236294849}",29338.85546875,29335.349609375,COMPLETE
5,29338.751953125,2026-02-24 05:47:35.240936,2026-02-24 05:47:36.821685,0 days 00:00:01.580749,0.3,64,7,0.0004983319160125723,gru,32,,29340.283203125,29338.751953125,PRUNED
6,29337.275390625,2026-02-24 05:47:36.822278,2026-02-24 05:47:38.418193,0 days 00:00:01.595915,0.0,96,5,0.0021907142272152816,lstm,32,,29338.94921875,29337.275390625,PRUNED
7,29339.107421875,2026-02-24 05:47:38.418808,2026-02-24 05:47:39.824650,0 days 00:00:01.405842,0.3,96,7,0.0006261435181296009,gru,64,,29339.107421875,,PRUNED
8,29331.4521484375,2026-02-24 05:47:39.825243,2026-02-24 05:47:42.779231,0 days 00:00:02.953988,0.3,64,7,0.002470540427082325,lstm,64,"{'MAE_15m': 29297.685546875, 'RMSE_15m': 29358.056611431213, 'sMAPE_15m': 199.83958517061674, 'R2_15m': -242.39181343578292, 'MAE_30m': 29365.21875, 'RMSE_30m': 29424.979864054283, 'sMAPE_30m': 199.86807037202968, 'R2_30m': -245.43334437498638, 'MAE_avg': 29331.4521484375, 'RMSE_avg': 29391.518237742748, 'sMAPE_avg': 199.8538277713232, 'R2_avg': -243.91257890538463}",29337.869140625,29333.880859375,COMPLETE
9,29341.013671875,2026-02-24 05:47:42.780003,2026-02-24 05:47:44.188949,0 days 00:00:01.408946,0.0,96,5,0.00025798509464504095,lstm,64,,29341.013671875,,PRUNED
