number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,1672.9840087890625,2026-04-03 02:12:02.054386,2026-04-03 02:12:04.098735,0 days 00:00:02.044349,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[69, 63]","{'MAE_15m': 1790.2994384765625, 'RMSE_15m': 2393.6212106346316, 'sMAPE_15m': 6.5563641603490455, 'R2_15m': -0.24156439573426147, 'MAE_30m': 1555.6685791015625, 'RMSE_30m': 2149.765568614401, 'sMAPE_30m': 5.7180120354802115, 'R2_30m': -0.0007570298664352215, 'MAE_avg': 1672.9840087890625, 'RMSE_avg': 2271.6933896245164, 'sMAPE_avg': 6.1371880979146285, 'R2_avg': -0.12116071280034835}",COMPLETE
1,1750.807861328125,2026-04-03 02:12:04.100318,2026-04-03 02:12:08.620115,0 days 00:00:04.519797,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[644, 525]","{'MAE_15m': 1771.3336181640625, 'RMSE_15m': 2392.8286608113003, 'sMAPE_15m': 6.470461025548786, 'R2_15m': -0.2407422652694382, 'MAE_30m': 1730.2821044921875, 'RMSE_30m': 2372.9506948101557, 'sMAPE_30m': 6.324523641737984, 'R2_30m': -0.21933736667653014, 'MAE_avg': 1750.807861328125, 'RMSE_avg': 2382.8896778107282, 'sMAPE_avg': 6.397492333643385, 'R2_avg': -0.23003981597298417}",COMPLETE
2,1720.98828125,2026-04-03 02:12:08.621807,2026-04-03 02:12:11.012273,0 days 00:00:02.390466,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[177, 184]","{'MAE_15m': 1728.487548828125, 'RMSE_15m': 2431.6021467337127, 'sMAPE_15m': 6.296128467483237, 'R2_15m': -0.28127809654420877, 'MAE_30m': 1713.489013671875, 'RMSE_30m': 2389.08256450044, 'sMAPE_30m': 6.243413351597485, 'R2_30m': -0.23597238996126135, 'MAE_avg': 1720.98828125, 'RMSE_avg': 2410.3423556170765, 'sMAPE_avg': 6.269770909540361, 'R2_avg': -0.25862524325273506}",COMPLETE
3,1706.1882934570312,2026-04-03 02:12:11.019169,2026-04-03 02:12:14.444257,0 days 00:00:03.425088,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[331, 316]","{'MAE_15m': 1746.810791015625, 'RMSE_15m': 2327.9062481122387, 'sMAPE_15m': 6.390880349800096, 'R2_15m': -0.17432793032867488, 'MAE_30m': 1665.5657958984375, 'RMSE_30m': 2286.8567948168507, 'sMAPE_30m': 6.081339605655549, 'R2_30m': -0.13246397749522476, 'MAE_avg': 1706.1882934570312, 'RMSE_avg': 2307.3815214645447, 'sMAPE_avg': 6.236109977727822, 'R2_avg': -0.15339595391194982}",COMPLETE
4,1692.2460327148438,2026-04-03 02:12:14.457088,2026-04-03 02:12:16.508931,0 days 00:00:02.051843,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[36, 31]","{'MAE_15m': 1752.480224609375, 'RMSE_15m': 2345.5788198225187, 'sMAPE_15m': 6.415647245839533, 'R2_15m': -0.19222561213403044, 'MAE_30m': 1632.0118408203125, 'RMSE_30m': 2309.2856038177692, 'sMAPE_30m': 5.9726345887358265, 'R2_30m': -0.15478666027098664, 'MAE_avg': 1692.2460327148438, 'RMSE_avg': 2327.432211820144, 'sMAPE_avg': 6.19414091728768, 'R2_avg': -0.17350613620250854}",COMPLETE
5,4179.835693359375,2026-04-03 02:12:16.510519,2026-04-03 02:12:18.812557,0 days 00:00:02.302038,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[199, 199]","{'MAE_15m': 4056.125, 'RMSE_15m': 4338.6124510032005, 'sMAPE_15m': 14.417535301610965, 'R2_15m': -3.0790605977493124, 'MAE_30m': 4303.54638671875, 'RMSE_30m': 4574.971475320912, 'sMAPE_30m': 15.246739858968608, 'R2_30m': -3.532347609281487, 'MAE_avg': 4179.835693359375, 'RMSE_avg': 4456.791963162056, 'sMAPE_avg': 14.832137580289785, 'R2_avg': -3.3057041035154}",COMPLETE
6,1704.9985961914062,2026-04-03 02:12:18.817131,2026-04-03 02:12:20.646386,0 days 00:00:01.829255,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[46, 35]","{'MAE_15m': 1673.3006591796875, 'RMSE_15m': 2461.8894166879227, 'sMAPE_15m': 6.068159125074024, 'R2_15m': -0.31339517174431997, 'MAE_30m': 1736.696533203125, 'RMSE_30m': 2546.050078062095, 'sMAPE_30m': 6.32017824016249, 'R2_30m': -0.4037194623425362, 'MAE_avg': 1704.9985961914062, 'RMSE_avg': 2503.969747375009, 'sMAPE_avg': 6.1941686826182565, 'R2_avg': -0.3585573170434281}",COMPLETE
7,4200.035400390625,2026-04-03 02:12:20.650047,2026-04-03 02:12:22.995012,0 days 00:00:02.344965,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[199, 199]","{'MAE_15m': 3948.4619140625, 'RMSE_15m': 4279.680128233885, 'sMAPE_15m': 14.053972699963646, 'R2_15m': -2.968999823415933, 'MAE_30m': 4451.60888671875, 'RMSE_30m': 4734.052386697891, 'sMAPE_30m': 15.73669280474143, 'R2_30m': -3.85302567207453, 'MAE_avg': 4200.035400390625, 'RMSE_avg': 4506.866257465888, 'sMAPE_avg': 14.895332752352537, 'R2_avg': -3.4110127477452314}",COMPLETE
8,1844.7711791992188,2026-04-03 02:12:22.997004,2026-04-03 02:12:26.400196,0 days 00:00:03.403192,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[399, 386]","{'MAE_15m': 1819.514892578125, 'RMSE_15m': 2774.7511600141734, 'sMAPE_15m': 6.553241971308757, 'R2_15m': -0.6684241609171209, 'MAE_30m': 1870.0274658203125, 'RMSE_30m': 2602.0751334271654, 'sMAPE_30m': 6.777792641806564, 'R2_30m': -0.46617611488075483, 'MAE_avg': 1844.7711791992188, 'RMSE_avg': 2688.4131467206694, 'sMAPE_avg': 6.6655173065576605, 'R2_avg': -0.5673001378989379}",COMPLETE
9,1717.9354248046875,2026-04-03 02:12:26.401751,2026-04-03 02:12:28.459249,0 days 00:00:02.057498,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[79, 80]","{'MAE_15m': 1735.53564453125, 'RMSE_15m': 2343.503787067561, 'sMAPE_15m': 6.344501950121864, 'R2_15m': -0.19011708707274533, 'MAE_30m': 1700.335205078125, 'RMSE_30m': 2380.4464917321707, 'sMAPE_30m': 6.184798375650385, 'R2_30m': -0.22705290644149412, 'MAE_avg': 1717.9354248046875, 'RMSE_avg': 2361.975139399866, 'sMAPE_avg': 6.264650162886125, 'R2_avg': -0.20858499675711972}",COMPLETE
