number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,150509.3203125,2026-02-24 05:48:54.169146,2026-02-24 05:48:55.203340,0 days 00:00:01.034194,0.2,64,3,0.0011114989443094978,"{'MAE_15m': 150378.640625, 'RMSE_15m': 150382.27640250695, 'sMAPE_15m': 199.9479563262714, 'R2_15m': -20845.037940525486, 'MAE_30m': 150640.0, 'RMSE_30m': 150642.41230144983, 'sMAPE_30m': 199.95850866310113, 'R2_30m': -31314.653035933286, 'MAE_avg': 150509.3203125, 'RMSE_avg': 150512.3443519784, 'sMAPE_avg': 199.95323249468626, 'R2_avg': -26079.845488229388}",150525.3125,150521.359375,COMPLETE
1,150526.640625,2026-02-24 05:48:55.204113,2026-02-24 05:48:55.752120,0 days 00:00:00.548007,0.2,64,3,0.0002692655251486473,,150526.640625,,PRUNED
2,150526.671875,2026-02-24 05:48:55.752772,2026-02-24 05:48:56.296408,0 days 00:00:00.543636,0.3,32,7,0.000117115099555241,,150526.671875,,PRUNED
3,150526.5625,2026-02-24 05:48:56.297013,2026-02-24 05:48:56.854983,0 days 00:00:00.557970,0.3,32,5,0.00044684675025045853,,150526.5625,,PRUNED
4,150526.640625,2026-02-24 05:48:56.855559,2026-02-24 05:48:57.398674,0 days 00:00:00.543115,0.3,64,3,0.00018752209455786411,,150526.640625,,PRUNED
5,150525.609375,2026-02-24 05:48:57.399313,2026-02-24 05:48:58.118479,0 days 00:00:00.719166,0.2,32,7,0.0003023795012558478,,150526.46875,150525.609375,PRUNED
6,149506.671875,2026-02-24 05:48:58.119090,2026-02-24 05:48:59.140298,0 days 00:00:01.021208,0.2,96,7,0.002869139536545374,"{'MAE_15m': 149219.703125, 'RMSE_15m': 149226.68801524746, 'sMAPE_15m': 196.89144917542563, 'R2_15m': -20525.893691538888, 'MAE_30m': 149793.640625, 'RMSE_30m': 149797.08258841358, 'sMAPE_30m': 197.72704003702978, 'R2_30m': -30964.18900381095, 'MAE_avg': 149506.671875, 'RMSE_avg': 149511.88530183054, 'sMAPE_avg': 197.3092446062277, 'R2_avg': -25745.041347674916}",150506.140625,150351.453125,COMPLETE
7,150527.25,2026-02-24 05:48:59.141057,2026-02-24 05:48:59.660979,0 days 00:00:00.519922,0.0,32,3,0.0001483039268456802,,150527.25,,PRUNED
8,150526.640625,2026-02-24 05:48:59.661559,2026-02-24 05:49:00.211414,0 days 00:00:00.549855,0.3,32,7,0.0004983319160125723,,150526.640625,,PRUNED
9,150526.71875,2026-02-24 05:49:00.212013,2026-02-24 05:49:00.720128,0 days 00:00:00.508115,0.0,96,5,0.00014433402406338895,,150526.71875,,PRUNED
