number,value,datetime_start,datetime_complete,duration,params_dropout,params_gru_units,params_lr,params_lstm_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,150523.21875,2026-02-24 05:48:25.617825,2026-02-24 05:48:29.390962,0 days 00:00:03.773137,0.2,64,0.0011114989443094978,32,"{'MAE_15m': 150394.5, 'RMSE_15m': 150398.1004135358, 'sMAPE_15m': 199.99021959925614, 'R2_15m': -20849.426088139135, 'MAE_30m': 150651.9375, 'RMSE_30m': 150654.3211461258, 'sMAPE_30m': 199.99020564398526, 'R2_30m': -31319.610379648086, 'MAE_avg': 150523.21875, 'RMSE_avg': 150526.2107798308, 'sMAPE_avg': 199.99021262162069, 'R2_avg': -26084.51823389361}",150526.609375,150525.546875,COMPLETE
1,150526.90625,2026-02-24 05:48:29.391788,2026-02-24 05:48:31.594235,0 days 00:00:02.202447,0.2,64,0.0002692655251486473,32,,150526.90625,,PRUNED
2,150526.859375,2026-02-24 05:48:31.594919,2026-02-24 05:48:33.771648,0 days 00:00:02.176729,0.3,32,0.000117115099555241,96,,150526.859375,,PRUNED
3,150526.640625,2026-02-24 05:48:33.772321,2026-02-24 05:48:35.942349,0 days 00:00:02.170028,0.3,32,0.00044684675025045853,64,,150526.640625,,PRUNED
4,150526.828125,2026-02-24 05:48:35.943245,2026-02-24 05:48:38.936613,0 days 00:00:02.993368,0.3,64,0.00018752209455786411,32,,150526.828125,,PRUNED
5,150526.65625,2026-02-24 05:48:38.937265,2026-02-24 05:48:41.184162,0 days 00:00:02.246897,0.2,32,0.0003023795012558478,96,,150526.65625,,PRUNED
6,150510.890625,2026-02-24 05:48:41.184782,2026-02-24 05:48:44.169923,0 days 00:00:02.985141,0.2,96,0.002869139536545374,96,"{'MAE_15m': 150381.5625, 'RMSE_15m': 150385.170332716, 'sMAPE_15m': 199.9558093285977, 'R2_15m': -20845.840434883554, 'MAE_30m': 150640.21875, 'RMSE_30m': 150642.62982303515, 'sMAPE_30m': 199.95914054494514, 'R2_30m': -31314.74681310125, 'MAE_avg': 150510.890625, 'RMSE_avg': 150513.9000778756, 'sMAPE_avg': 199.9574749367714, 'R2_avg': -26080.293623992402}",150523.265625,150515.6875,COMPLETE
7,150526.84375,2026-02-24 05:48:44.171004,2026-02-24 05:48:46.324108,0 days 00:00:02.153104,0.0,32,0.0001483039268456802,32,,150526.84375,,PRUNED
8,150526.140625,2026-02-24 05:48:46.324725,2026-02-24 05:48:49.502221,0 days 00:00:03.177496,0.3,32,0.0004983319160125723,96,,150526.609375,150526.140625,PRUNED
9,150526.421875,2026-02-24 05:48:49.502869,2026-02-24 05:48:51.942289,0 days 00:00:02.439420,0.0,96,0.00014433402406338895,64,,150526.609375,150526.421875,PRUNED
