number,value,datetime_start,datetime_complete,duration,params_dropout,params_lr,params_num_layers,params_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,150517.7421875,2026-02-24 05:47:59.675723,2026-02-24 05:48:02.663998,0 days 00:00:02.988275,0.0,0.00190303683817358,2,64,"{'MAE_15m': 150388.265625, 'RMSE_15m': 150391.87722746198, 'sMAPE_15m': 199.97363867782292, 'R2_15m': -20847.69993581804, 'MAE_30m': 150647.21875, 'RMSE_30m': 150649.6243340819, 'sMAPE_30m': 199.97769675979742, 'R2_30m': -31317.65210684196, 'MAE_avg': 150517.7421875, 'RMSE_avg': 150520.75078077195, 'sMAPE_avg': 199.97566771881017, 'R2_avg': -26082.67602133}",150525.734375,150521.359375,COMPLETE
1,150526.828125,2026-02-24 05:48:02.664878,2026-02-24 05:48:04.857497,0 days 00:00:02.192619,0.0,0.00018659959624904942,2,64,,150526.828125,,PRUNED
2,150526.734375,2026-02-24 05:48:04.858114,2026-02-24 05:48:07.010488,0 days 00:00:02.152374,0.0,0.0003476649150592621,1,64,,150526.734375,,PRUNED
3,150526.8125,2026-02-24 05:48:07.011101,2026-02-24 05:48:09.269870,0 days 00:00:02.258769,0.3,0.0001786013788939711,2,64,,150526.8125,,PRUNED
4,150526.78125,2026-02-24 05:48:09.270534,2026-02-24 05:48:11.500293,0 days 00:00:02.229759,0.3,0.00044684675025045853,2,96,,150526.78125,,PRUNED
5,150525.984375,2026-02-24 05:48:11.500909,2026-02-24 05:48:13.892752,0 days 00:00:02.391843,0.2,0.000586412916969653,2,64,,150526.65625,150525.984375,PRUNED
6,150513.8046875,2026-02-24 05:48:13.893354,2026-02-24 05:48:17.563257,0 days 00:00:03.669903,0.0,0.002299958642814372,2,96,"{'MAE_15m': 150384.4375, 'RMSE_15m': 150388.03697103038, 'sMAPE_15m': 199.96344618301336, 'R2_15m': -20846.634519869604, 'MAE_30m': 150643.171875, 'RMSE_30m': 150645.57313110796, 'sMAPE_30m': 199.9669424870433, 'R2_30m': -31315.96822859854, 'MAE_avg': 150513.8046875, 'RMSE_avg': 150516.80505106918, 'sMAPE_avg': 199.96519433502834, 'R2_avg': -26081.30137423407}",150524.265625,150517.734375,COMPLETE
7,150526.640625,2026-02-24 05:48:17.564102,2026-02-24 05:48:18.926592,0 days 00:00:01.362490,0.3,0.0003364867144187955,1,64,,150526.640625,,PRUNED
8,150526.734375,2026-02-24 05:48:18.927177,2026-02-24 05:48:21.177503,0 days 00:00:02.250326,0.2,0.00019657448966046135,2,64,,150526.734375,,PRUNED
9,150526.921875,2026-02-24 05:48:21.178135,2026-02-24 05:48:23.369681,0 days 00:00:02.191546,0.0,0.0001483039268456802,2,64,,150526.921875,,PRUNED
