number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,params_rnn_type,params_rnn_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,150525.1015625,2026-02-24 05:49:01.269447,2026-02-24 05:49:04.036337,0 days 00:00:02.766890,0.0,64,3,0.00018559980846490597,lstm,64,"{'MAE_15m': 150396.609375, 'RMSE_15m': 150400.23148918356, 'sMAPE_15m': 199.99587052476213, 'R2_15m': -20850.0164603786, 'MAE_30m': 150653.59375, 'RMSE_30m': 150655.99320305846, 'sMAPE_30m': 199.99462773604836, 'R2_30m': -31320.30510146228, 'MAE_avg': 150525.1015625, 'RMSE_avg': 150528.112346121, 'sMAPE_avg': 199.99524913040523, 'R2_avg': -26085.16078092044}",150526.484375,150525.984375,COMPLETE
1,150526.546875,2026-02-24 05:49:04.037178,2026-02-24 05:49:05.485660,0 days 00:00:01.448482,0.3,96,7,0.000117115099555241,gru,96,,150526.546875,,PRUNED
2,150526.6875,2026-02-24 05:49:05.486441,2026-02-24 05:49:06.957856,0 days 00:00:01.471415,0.3,32,5,0.00024112898115291975,lstm,96,,150526.6875,,PRUNED
3,150526.578125,2026-02-24 05:49:06.958535,2026-02-24 05:49:08.364299,0 days 00:00:01.405764,0.2,32,7,0.0003023795012558478,gru,64,,150526.578125,,PRUNED
4,150519.484375,2026-02-24 05:49:08.364928,2026-02-24 05:49:10.502952,0 days 00:00:02.138024,0.3,96,7,0.0011069143219393448,lstm,64,"{'MAE_15m': 150389.640625, 'RMSE_15m': 150393.2526146037, 'sMAPE_15m': 199.97731677865252, 'R2_15m': -20848.082304814998, 'MAE_30m': 150649.328125, 'RMSE_30m': 150651.7246632112, 'sMAPE_30m': 199.98328197879778, 'R2_30m': -31318.52770297464, 'MAE_avg': 150519.484375, 'RMSE_avg': 150522.48863890744, 'sMAPE_avg': 199.98029937872514, 'R2_avg': -26083.30500389482}",150524.203125,150521.5,COMPLETE
5,150523.8125,2026-02-24 05:49:10.503807,2026-02-24 05:49:12.128337,0 days 00:00:01.624530,0.3,64,7,0.0004983319160125723,gru,32,,150525.515625,150523.8125,PRUNED
6,150520.3828125,2026-02-24 05:49:12.128946,2026-02-24 05:49:14.204171,0 days 00:00:02.075225,0.0,96,5,0.0021907142272152816,lstm,32,"{'MAE_15m': 150391.46875, 'RMSE_15m': 150395.07055751528, 'sMAPE_15m': 199.98212916232313, 'R2_15m': -20848.584121218544, 'MAE_30m': 150649.296875, 'RMSE_30m': 150651.6974746717, 'sMAPE_30m': 199.983178995089, 'R2_30m': -31318.51331524476, 'MAE_avg': 150520.3828125, 'RMSE_avg': 150523.3840160935, 'sMAPE_avg': 199.98265407870605, 'R2_avg': -26083.54871823165}",150524.171875,150521.5,COMPLETE
7,150524.8125,2026-02-24 05:49:14.205081,2026-02-24 05:49:16.354536,0 days 00:00:02.149455,0.3,96,7,0.0006261435181296009,gru,64,,150524.8125,,PRUNED
8,150516.0,2026-02-24 05:49:16.355155,2026-02-24 05:49:18.521491,0 days 00:00:02.166336,0.3,64,7,0.002470540427082325,lstm,64,"{'MAE_15m': 150388.828125, 'RMSE_15m': 150392.44236330496, 'sMAPE_15m': 199.97515000812763, 'R2_15m': -20847.85662472927, 'MAE_30m': 150643.171875, 'RMSE_30m': 150645.57313110796, 'sMAPE_30m': 199.96695159669082, 'R2_30m': -31315.97028398852, 'MAE_avg': 150516.0, 'RMSE_avg': 150519.00774720646, 'sMAPE_avg': 199.97105080240922, 'R2_avg': -26081.913454358895}",150522.25,150518.640625,COMPLETE
9,150525.9375,2026-02-24 05:49:18.522298,2026-02-24 05:49:19.963451,0 days 00:00:01.441153,0.0,96,5,0.00025798509464504095,lstm,64,,150525.9375,,PRUNED
