number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,state
0,27238.576171875,2026-02-24 05:47:45.702808,2026-02-24 05:47:46.132664,0 days 00:00:00.429856,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,COMPLETE
1,21806.375,2026-02-24 05:47:46.133572,2026-02-24 05:47:46.792373,0 days 00:00:00.658801,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,COMPLETE
2,29606.9296875,2026-02-24 05:47:46.793335,2026-02-24 05:47:47.081086,0 days 00:00:00.287751,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,COMPLETE
3,34130.3125,2026-02-24 05:47:47.082021,2026-02-24 05:47:47.724574,0 days 00:00:00.642553,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,COMPLETE
4,35777.03515625,2026-02-24 05:47:47.725678,2026-02-24 05:47:47.942578,0 days 00:00:00.216900,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,COMPLETE
5,25668.79296875,2026-02-24 05:47:47.943492,2026-02-24 05:47:48.078190,0 days 00:00:00.134698,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,COMPLETE
6,30486.34375,2026-02-24 05:47:48.079095,2026-02-24 05:47:48.523333,0 days 00:00:00.444238,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,COMPLETE
7,30160.16015625,2026-02-24 05:47:48.524300,2026-02-24 05:47:48.627710,0 days 00:00:00.103410,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,COMPLETE
8,23378.5,2026-02-24 05:47:48.628607,2026-02-24 05:47:48.868628,0 days 00:00:00.240021,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,COMPLETE
9,29821.42578125,2026-02-24 05:47:48.869528,2026-02-24 05:47:49.131566,0 days 00:00:00.262038,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,COMPLETE
10,30588.0390625,2026-02-24 05:47:49.132749,2026-02-24 05:47:50.041688,0 days 00:00:00.908939,0.993065495809967,0.06153773875051782,0.03018055303192452,2,5,1200,0.011258457726173733,0.6071847502459278,COMPLETE
11,29025.240234375,2026-02-24 05:47:50.042642,2026-02-24 05:47:50.843330,0 days 00:00:00.800688,0.6286992778348623,1.2003329156932674,0.01966123844936771,6,5,1000,13.621667518322317,0.9783238879894853,COMPLETE
12,27342.38671875,2026-02-24 05:47:50.844337,2026-02-24 05:47:51.350397,0 days 00:00:00.506060,0.916587732899981,3.263406001124904,0.018860275641010973,4,10,800,3.7113588620860813,0.9882175921905896,COMPLETE
13,26641.34375,2026-02-24 05:47:51.351355,2026-02-24 05:47:51.846204,0 days 00:00:00.494849,0.8056891692692756,0.02616525959119642,0.010184406058335841,6,7,600,0.27943501488472383,0.8611719000163913,COMPLETE
14,23959.08984375,2026-02-24 05:47:51.847236,2026-02-24 05:47:52.640984,0 days 00:00:00.793748,0.6052561262871233,1.16391328936658,0.02548161896815344,6,4,1000,0.03684446905458317,0.9990851371537368,COMPLETE
15,28780.798828125,2026-02-24 05:47:52.641981,2026-02-24 05:47:52.915690,0 days 00:00:00.273709,0.896461276471979,1.5127557147673145,0.053335174222032634,4,7,400,13.055656901084754,0.9316758203445648,COMPLETE
16,24346.12109375,2026-02-24 05:47:52.916832,2026-02-24 05:47:53.175349,0 days 00:00:00.258517,0.7821447978056717,3.197342331354389,0.014931111615613554,4,10,400,0.4632678135982684,0.7633787618291661,COMPLETE
17,30115.732421875,2026-02-24 05:47:53.176293,2026-02-24 05:47:54.325254,0 days 00:00:01.148961,0.6777564705550927,0.4893242440337593,0.05393194710902654,7,8,1000,0.03682088430280069,0.8666701582926669,COMPLETE
18,26888.265625,2026-02-24 05:47:54.326235,2026-02-24 05:47:54.993577,0 days 00:00:00.667342,0.9582935175639912,2.9476872494684905,0.014509456908913889,5,4,800,4.210104761231868,0.9444829983702476,COMPLETE
19,30226.078125,2026-02-24 05:47:54.994632,2026-02-24 05:47:55.915993,0 days 00:00:00.921361,0.853649816385508,4.078649186547714,0.024102072545784663,6,6,1200,0.03071946384984807,0.6533864684812261,COMPLETE
20,26831.591796875,2026-02-24 05:47:55.917034,2026-02-24 05:47:56.184151,0 days 00:00:00.267117,0.7431960730477907,2.085701491842136,0.013649073484301775,3,4,400,0.49697794419053126,0.811093808634465,COMPLETE
21,23732.8515625,2026-02-24 05:47:56.185102,2026-02-24 05:47:56.964309,0 days 00:00:00.779207,0.6062944732428618,1.1533927726411266,0.026427086843866323,6,3,1000,0.036430066461193976,0.9988097927394001,COMPLETE
22,22208.06640625,2026-02-24 05:47:56.965324,2026-02-24 05:47:57.753099,0 days 00:00:00.787775,0.6425449398249606,1.032748995697681,0.0380871240529852,6,3,1000,0.08053679642013498,0.9476077563455207,COMPLETE
23,23157.6796875,2026-02-24 05:47:57.754127,2026-02-24 05:47:58.354623,0 days 00:00:00.600496,0.6527476817200624,0.5442668994504494,0.03936530978029184,5,3,800,0.07306116663797889,0.9514508026332132,COMPLETE
24,21954.208984375,2026-02-24 05:47:58.355586,2026-02-24 05:47:58.992535,0 days 00:00:00.636949,0.6654973865053189,0.43190975287124633,0.07650184595192695,7,3,800,0.07130500355645904,0.9588098510934356,COMPLETE
