number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,user_attrs_val_metrics,system_attrs_completed_rung_0,state
0,0.0485308263450861,2026-02-23 03:24:16.822939,2026-02-23 03:24:17.629721,0 days 00:00:00.806782,0.2,64,3,0.0011114989443094978,"{'MAE_15m': 0.06076376140117645, 'RMSE_15m': 0.07111631980990228, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.03629789128899574, 'RMSE_30m': 0.049529154940800846, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.0485308263450861, 'RMSE_avg': 0.060322737375351564, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.05547847971320152,COMPLETE
1,0.18593308329582214,2026-02-23 03:24:17.630245,2026-02-23 03:24:18.180944,0 days 00:00:00.550699,0.2,64,3,0.0002692655251486473,,0.18593308329582214,PRUNED
2,0.0890200287103653,2026-02-23 03:24:18.181464,2026-02-23 03:24:18.745207,0 days 00:00:00.563743,0.3,32,7,0.000117115099555241,,0.0890200287103653,PRUNED
3,0.1543959677219391,2026-02-23 03:24:18.745717,2026-02-23 03:24:19.317837,0 days 00:00:00.572120,0.3,32,5,0.00044684675025045853,,0.1543959677219391,PRUNED
4,0.05947034806013107,2026-02-23 03:24:19.318324,2026-02-23 03:24:19.869108,0 days 00:00:00.550784,0.3,64,3,0.00018752209455786411,,0.05947034806013107,PRUNED
5,0.05991688370704651,2026-02-23 03:24:19.869606,2026-02-23 03:24:20.428055,0 days 00:00:00.558449,0.2,32,7,0.0003023795012558478,,0.05991688370704651,PRUNED
6,0.006055790930986404,2026-02-23 03:24:20.428596,2026-02-23 03:24:21.201829,0 days 00:00:00.773233,0.2,96,7,0.002869139536545374,"{'MAE_15m': 0.004132798872888088, 'RMSE_15m': 0.005271661292894185, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.00797878298908472, 'RMSE_30m': 0.009526983607897126, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.006055790930986404, 'RMSE_avg': 0.0073993224503956555, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.04890056699514389,COMPLETE
7,0.13631251454353333,2026-02-23 03:24:21.202362,2026-02-23 03:24:21.736228,0 days 00:00:00.533866,0.0,32,3,0.0001483039268456802,,0.13631251454353333,PRUNED
8,0.149954155087471,2026-02-23 03:24:21.736740,2026-02-23 03:24:22.283691,0 days 00:00:00.546951,0.3,32,7,0.0004983319160125723,,0.149954155087471,PRUNED
9,0.022950554266572,2026-02-23 03:24:22.284178,2026-02-23 03:24:22.918345,0 days 00:00:00.634167,0.0,96,5,0.00014433402406338895,"{'MAE_15m': 0.024137087166309357, 'RMSE_15m': 0.031608538267348614, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.02176402136683464, 'RMSE_30m': 0.031497308290850616, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.022950554266572, 'RMSE_avg': 0.031552923279099615, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.04916048049926758,COMPLETE
