number,value,datetime_start,datetime_complete,duration,params_dropout,params_gru_units,params_lr,params_lstm_units,user_attrs_val_metrics,system_attrs_completed_rung_0,state
0,0.029886720702052116,2026-02-23 03:23:46.418355,2026-02-23 03:23:50.580878,0 days 00:00:04.162523,0.2,64,0.0011114989443094978,32,"{'MAE_15m': 0.02431526780128479, 'RMSE_15m': 0.027666128672036574, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.03545817360281944, 'RMSE_30m': 0.04331768927444357, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.029886720702052116, 'RMSE_avg': 0.035491908973240074, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.029886722564697266,COMPLETE
1,0.10177749395370483,2026-02-23 03:23:50.581451,2026-02-23 03:23:53.195416,0 days 00:00:02.613965,0.2,64,0.0002692655251486473,32,,0.10177749395370483,PRUNED
2,0.1516590118408203,2026-02-23 03:23:53.195928,2026-02-23 03:23:55.596650,0 days 00:00:02.400722,0.3,32,0.000117115099555241,96,,0.1516590118408203,PRUNED
3,0.05730938911437988,2026-02-23 03:23:55.597130,2026-02-23 03:23:57.976981,0 days 00:00:02.379851,0.3,32,0.00044684675025045853,64,,0.05730938911437988,PRUNED
4,0.15247118473052979,2026-02-23 03:23:57.977500,2026-02-23 03:24:00.337843,0 days 00:00:02.360343,0.3,64,0.00018752209455786411,32,,0.15247118473052979,PRUNED
5,0.100946806371212,2026-02-23 03:24:00.338363,2026-02-23 03:24:02.593518,0 days 00:00:02.255155,0.2,32,0.0003023795012558478,96,,0.100946806371212,PRUNED
6,0.030765097588300705,2026-02-23 03:24:02.594056,2026-02-23 03:24:05.266010,0 days 00:00:02.671954,0.2,96,0.002869139536545374,96,"{'MAE_15m': 0.04768286272883415, 'RMSE_15m': 0.05876508141276117, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.013847332447767258, 'RMSE_30m': 0.02007400193791386, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.030765097588300705, 'RMSE_avg': 0.03941954167533751, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.03791559487581253,COMPLETE
7,0.10131467878818512,2026-02-23 03:24:05.266532,2026-02-23 03:24:07.412939,0 days 00:00:02.146407,0.0,32,0.0001483039268456802,32,,0.10131467878818512,PRUNED
8,0.028320076875388622,2026-02-23 03:24:07.413407,2026-02-23 03:24:12.011637,0 days 00:00:04.598230,0.3,32,0.0004983319160125723,96,"{'MAE_15m': 0.02214065007865429, 'RMSE_15m': 0.028443115454148293, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.034499503672122955, 'RMSE_30m': 0.050767791321705655, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.028320076875388622, 'RMSE_avg': 0.039605453387926974, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.028320079669356346,COMPLETE
9,0.05277761071920395,2026-02-23 03:24:12.012204,2026-02-23 03:24:14.420658,0 days 00:00:02.408454,0.0,96,0.00014433402406338895,64,,0.05277761071920395,PRUNED
