number,value,datetime_start,datetime_complete,duration,params_dropout,params_lr,params_num_layers,params_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,0.022502302192151546,2026-02-23 03:23:18.329386,2026-02-23 03:23:20.949522,0 days 00:00:02.620136,0.0,0.00190303683817358,2,64,"{'MAE_15m': 0.01678435690701008, 'RMSE_15m': 0.02396482085247858, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.028220247477293015, 'RMSE_30m': 0.03456426610711221, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.022502302192151546, 'RMSE_avg': 0.029264543479795395, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.06531642377376556,,COMPLETE
1,0.03879327513277531,2026-02-23 03:23:20.950061,2026-02-23 03:23:23.759624,0 days 00:00:02.809563,0.0,0.00018659959624904942,2,64,"{'MAE_15m': 0.05439908802509308, 'RMSE_15m': 0.061604918912790164, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.023187462240457535, 'RMSE_30m': 0.025188384517471477, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.03879327513277531, 'RMSE_avg': 0.043396651715130824, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.05173376575112343,0.05010814964771271,COMPLETE
2,0.07488586008548737,2026-02-23 03:23:23.760219,2026-02-23 03:23:25.066189,0 days 00:00:01.305970,0.0,0.0003476649150592621,1,64,,0.07488586008548737,,PRUNED
3,0.06632525473833084,2026-02-23 03:23:25.066725,2026-02-23 03:23:27.340506,0 days 00:00:02.273781,0.3,0.0001786013788939711,2,64,,0.06632525473833084,,PRUNED
4,0.023338498547673225,2026-02-23 03:23:27.340999,2026-02-23 03:23:32.158859,0 days 00:00:04.817860,0.3,0.00044684675025045853,2,96,"{'MAE_15m': 0.017677757889032364, 'RMSE_15m': 0.02901326732456175, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.028999239206314087, 'RMSE_30m': 0.033601341595729584, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.023338498547673225, 'RMSE_avg': 0.031307304460145666, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.023338496685028076,,COMPLETE
5,0.03538770042359829,2026-02-23 03:23:32.159416,2026-02-23 03:23:35.173495,0 days 00:00:03.014079,0.2,0.000586412916969653,2,64,"{'MAE_15m': 0.018870193511247635, 'RMSE_15m': 0.023684597322390942, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.051905207335948944, 'RMSE_30m': 0.05822959632358173, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.03538770042359829, 'RMSE_avg': 0.04095709682298634, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.041521117091178894,,COMPLETE
6,0.020055802538990974,2026-02-23 03:23:35.174080,2026-02-23 03:23:38.141750,0 days 00:00:02.967670,0.0,0.002299958642814372,2,96,"{'MAE_15m': 0.02381909266114235, 'RMSE_15m': 0.024812212688634712, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.0162925124168396, 'RMSE_30m': 0.021380811576584235, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.020055802538990974, 'RMSE_avg': 0.02309651213260947, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.03352189436554909,,COMPLETE
7,0.211134672164917,2026-02-23 03:23:38.142288,2026-02-23 03:23:39.504655,0 days 00:00:01.362367,0.3,0.0003364867144187955,1,64,,0.211134672164917,,PRUNED
8,0.04314970225095749,2026-02-23 03:23:39.505204,2026-02-23 03:23:41.829934,0 days 00:00:02.324730,0.2,0.00019657448966046135,2,64,,0.04314970225095749,,PRUNED
9,0.04706955328583717,2026-02-23 03:23:41.830428,2026-02-23 03:23:44.072996,0 days 00:00:02.242568,0.0,0.0001483039268456802,2,64,,0.04706955328583717,,PRUNED
