number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,params_rnn_type,params_rnn_units,user_attrs_val_metrics,system_attrs_completed_rung_0,state
0,0.06386560201644897,2026-02-23 03:24:23.505266,2026-02-23 03:24:25.238023,0 days 00:00:01.732757,0.0,64,3,0.00018559980846490597,lstm,64,"{'MAE_15m': 0.07674015313386917, 'RMSE_15m': 0.08667914650409993, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.05099105089902878, 'RMSE_30m': 0.06974458488257271, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.06386560201644897, 'RMSE_avg': 0.07821186569333632, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.07215115427970886,COMPLETE
1,0.08086393773555756,2026-02-23 03:24:25.238583,2026-02-23 03:24:26.659143,0 days 00:00:01.420560,0.3,96,7,0.000117115099555241,gru,96,,0.08086393773555756,PRUNED
2,0.03949912078678608,2026-02-23 03:24:26.659679,2026-02-23 03:24:28.414054,0 days 00:00:01.754375,0.3,32,5,0.00024112898115291975,lstm,96,"{'MAE_15m': 0.04601866379380226, 'RMSE_15m': 0.06000249266103264, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.0329795777797699, 'RMSE_30m': 0.04668576069353465, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.03949912078678608, 'RMSE_avg': 0.05334412667728365, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.03998855873942375,COMPLETE
3,0.08940869569778442,2026-02-23 03:24:28.414772,2026-02-23 03:24:31.301777,0 days 00:00:02.887005,0.2,32,7,0.0003023795012558478,gru,64,,0.08940869569778442,PRUNED
4,0.042843446135520935,2026-02-23 03:24:31.302304,2026-02-23 03:24:33.088749,0 days 00:00:01.786445,0.3,96,7,0.0011069143219393448,lstm,64,,0.042843446135520935,PRUNED
5,0.05887860804796219,2026-02-23 03:24:33.089356,2026-02-23 03:24:34.682217,0 days 00:00:01.592861,0.3,64,7,0.0004983319160125723,gru,32,,0.05887860804796219,PRUNED
6,0.051417894661426544,2026-02-23 03:24:34.682773,2026-02-23 03:24:36.224356,0 days 00:00:01.541583,0.0,96,5,0.0021907142272152816,lstm,32,,0.051417894661426544,PRUNED
7,0.0459282249212265,2026-02-23 03:24:36.224905,2026-02-23 03:24:37.730304,0 days 00:00:01.505399,0.3,96,7,0.0006261435181296009,gru,64,,0.0459282249212265,PRUNED
8,0.013523307628929615,2026-02-23 03:24:37.730805,2026-02-23 03:24:39.542006,0 days 00:00:01.811201,0.3,64,7,0.002470540427082325,lstm,64,"{'MAE_15m': 0.011250339448451996, 'RMSE_15m': 0.01342246320606041, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.015796275809407234, 'RMSE_30m': 0.019947377003633603, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.013523307628929615, 'RMSE_avg': 0.016684920104847005, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.016948439180850983,COMPLETE
9,0.04938678443431854,2026-02-23 03:24:39.542674,2026-02-23 03:24:40.994483,0 days 00:00:01.451809,0.0,96,5,0.00025798509464504095,lstm,64,,0.04938678443431854,PRUNED
