number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,18291.3173828125,2026-02-24 05:50:25.842522,2026-02-24 05:50:26.876343,0 days 00:00:01.033821,0.2,64,3,0.0011114989443094978,"{'MAE_15m': 18298.876953125, 'RMSE_15m': 18302.704499608793, 'sMAPE_15m': 199.6744037932909, 'R2_15m': -2407.2057223428083, 'MAE_30m': 18283.7578125, 'RMSE_30m': 18287.79702424543, 'sMAPE_30m': 199.585918822727, 'R2_30m': -2252.8529679591984, 'MAE_avg': 18291.3173828125, 'RMSE_avg': 18295.250761927113, 'sMAPE_avg': 199.63016130800895, 'R2_avg': -2330.0293451510033}",18306.4921875,18302.619140625,COMPLETE
1,18307.90625,2026-02-24 05:50:26.877064,2026-02-24 05:50:27.416363,0 days 00:00:00.539299,0.2,64,3,0.0002692655251486473,,18307.90625,,PRUNED
2,18308.2265625,2026-02-24 05:50:27.416959,2026-02-24 05:50:27.966663,0 days 00:00:00.549704,0.3,32,7,0.000117115099555241,,18308.2265625,,PRUNED
3,18307.69921875,2026-02-24 05:50:27.967234,2026-02-24 05:50:28.513235,0 days 00:00:00.546001,0.3,32,5,0.00044684675025045853,,18307.69921875,,PRUNED
4,18307.73046875,2026-02-24 05:50:28.513836,2026-02-24 05:50:29.060652,0 days 00:00:00.546816,0.3,64,3,0.00018752209455786411,,18307.73046875,,PRUNED
5,18306.64453125,2026-02-24 05:50:29.061260,2026-02-24 05:50:29.766264,0 days 00:00:00.705004,0.2,32,7,0.0003023795012558478,,18307.234375,18306.64453125,PRUNED
6,17777.232421875,2026-02-24 05:50:29.766845,2026-02-24 05:50:31.432532,0 days 00:00:01.665687,0.2,96,7,0.002869139536545374,"{'MAE_15m': 17763.3828125, 'RMSE_15m': 17771.332420502407, 'sMAPE_15m': 188.37088204384747, 'R2_15m': -2269.4034595344638, 'MAE_30m': 17791.08203125, 'RMSE_30m': 17795.950101076367, 'sMAPE_30m': 189.2068366129787, 'R2_30m': -2133.2495851407607, 'MAE_avg': 17777.232421875, 'RMSE_avg': 17783.641260789387, 'sMAPE_avg': 188.78885932841308, 'R2_avg': -2201.326522337612}",18295.033203125,18208.255859375,COMPLETE
7,18308.009765625,2026-02-24 05:50:31.433260,2026-02-24 05:50:31.975625,0 days 00:00:00.542365,0.0,32,3,0.0001483039268456802,,18308.009765625,,PRUNED
8,18307.83203125,2026-02-24 05:50:31.976224,2026-02-24 05:50:32.537572,0 days 00:00:00.561348,0.3,32,7,0.0004983319160125723,,18307.83203125,,PRUNED
9,18308.142578125,2026-02-24 05:50:32.538202,2026-02-24 05:50:33.075780,0 days 00:00:00.537578,0.0,96,5,0.00014433402406338895,,18308.142578125,,PRUNED
