number,value,datetime_start,datetime_complete,duration,params_dropout,params_gru_units,params_lr,params_lstm_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,18304.9326171875,2026-02-24 05:49:58.649280,2026-02-24 05:50:01.691241,0 days 00:00:03.041961,0.2,64,0.0011114989443094978,32,"{'MAE_15m': 18310.4296875, 'RMSE_15m': 18314.225290740527, 'sMAPE_15m': 199.92713948344704, 'R2_15m': -2410.238595546434, 'MAE_30m': 18299.435546875, 'RMSE_30m': 18303.48862922039, 'sMAPE_30m': 199.92774270261486, 'R2_30m': -2256.72236623506, 'MAE_avg': 18304.9326171875, 'RMSE_avg': 18308.856959980458, 'sMAPE_avg': 199.92744109303095, 'R2_avg': -2333.480480890747}",18307.595703125,18306.736328125,COMPLETE
1,18308.306640625,2026-02-24 05:50:01.692048,2026-02-24 05:50:03.881829,0 days 00:00:02.189781,0.2,64,0.0002692655251486473,32,,18308.306640625,,PRUNED
2,18308.080078125,2026-02-24 05:50:03.882458,2026-02-24 05:50:06.103739,0 days 00:00:02.221281,0.3,32,0.000117115099555241,96,,18308.080078125,,PRUNED
3,18308.28125,2026-02-24 05:50:06.104374,2026-02-24 05:50:08.912999,0 days 00:00:02.808625,0.3,32,0.00044684675025045853,64,,18308.28125,,PRUNED
4,18308.046875,2026-02-24 05:50:08.913605,2026-02-24 05:50:11.154865,0 days 00:00:02.241260,0.3,64,0.00018752209455786411,32,,18308.046875,,PRUNED
5,18308.212890625,2026-02-24 05:50:11.155485,2026-02-24 05:50:13.383343,0 days 00:00:02.227858,0.2,32,0.0003023795012558478,96,,18308.212890625,,PRUNED
6,18293.2177734375,2026-02-24 05:50:13.383954,2026-02-24 05:50:16.315204,0 days 00:00:02.931250,0.2,96,0.002869139536545374,96,"{'MAE_15m': 18299.33203125, 'RMSE_15m': 18303.131972424828, 'sMAPE_15m': 199.68481599282023, 'R2_15m': -2407.3184653710437, 'MAE_30m': 18287.103515625, 'RMSE_30m': 18291.15983200628, 'sMAPE_30m': 199.65841088001872, 'R2_30m': -2253.681795653787, 'MAE_avg': 18293.2177734375, 'RMSE_avg': 18297.145902215554, 'sMAPE_avg': 199.67161343641948, 'R2_avg': -2330.500130512415}",18305.123046875,18298.32421875,COMPLETE
7,18308.150390625,2026-02-24 05:50:16.315913,2026-02-24 05:50:19.181488,0 days 00:00:02.865575,0.0,32,0.0001483039268456802,32,,18308.150390625,,PRUNED
8,18308.107421875,2026-02-24 05:50:19.182108,2026-02-24 05:50:21.446153,0 days 00:00:02.264045,0.3,32,0.0004983319160125723,96,,18308.107421875,,PRUNED
9,18308.0625,2026-02-24 05:50:21.446772,2026-02-24 05:50:23.619940,0 days 00:00:02.173168,0.0,96,0.00014433402406338895,64,,18308.0625,,PRUNED
