number,value,datetime_start,datetime_complete,duration,params_dropout,params_lr,params_num_layers,params_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,18298.8154296875,2026-02-24 05:49:32.026213,2026-02-24 05:49:35.038374,0 days 00:00:03.012161,0.0,0.00190303683817358,2,64,"{'MAE_15m': 18303.134765625, 'RMSE_15m': 18306.931583419435, 'sMAPE_15m': 199.767753243857, 'R2_15m': -2408.3184506498606, 'MAE_30m': 18294.49609375, 'RMSE_30m': 18298.549887900954, 'sMAPE_30m': 199.81981804643186, 'R2_30m': -2255.504228505248, 'MAE_avg': 18298.8154296875, 'RMSE_avg': 18302.740735660194, 'sMAPE_avg': 199.79378564514442, 'R2_avg': -2331.9113395775544}",18307.67578125,18302.904296875,COMPLETE
1,18308.330078125,2026-02-24 05:49:35.039113,2026-02-24 05:49:38.134070,0 days 00:00:03.094957,0.0,0.00018659959624904942,2,64,,18308.330078125,,PRUNED
2,18308.50390625,2026-02-24 05:49:38.134699,2026-02-24 05:49:39.440654,0 days 00:00:01.305955,0.0,0.0003476649150592621,1,64,,18308.50390625,,PRUNED
3,18308.06640625,2026-02-24 05:49:39.441274,2026-02-24 05:49:41.705336,0 days 00:00:02.264062,0.3,0.0001786013788939711,2,64,,18308.06640625,,PRUNED
4,18308.033203125,2026-02-24 05:49:41.706163,2026-02-24 05:49:43.949394,0 days 00:00:02.243231,0.3,0.00044684675025045853,2,96,,18308.033203125,,PRUNED
5,18308.205078125,2026-02-24 05:49:43.949966,2026-02-24 05:49:46.139011,0 days 00:00:02.189045,0.2,0.000586412916969653,2,64,,18308.205078125,,PRUNED
6,18294.376953125,2026-02-24 05:49:46.139627,2026-02-24 05:49:49.925068,0 days 00:00:03.785441,0.0,0.002299958642814372,2,96,"{'MAE_15m': 18300.74609375, 'RMSE_15m': 18304.5463205183, 'sMAPE_15m': 199.71566710075714, 'R2_15m': -2407.690511090262, 'MAE_30m': 18288.0078125, 'RMSE_30m': 18292.06516498342, 'sMAPE_30m': 199.67819918861827, 'R2_30m': -2253.9052303638, 'MAE_avg': 18294.376953125, 'RMSE_avg': 18298.30574275086, 'sMAPE_avg': 199.6969331446877, 'R2_avg': -2330.7978707270313}",18306.294921875,18298.455078125,COMPLETE
7,18308.099609375,2026-02-24 05:49:49.925905,2026-02-24 05:49:51.259346,0 days 00:00:01.333441,0.3,0.0003364867144187955,1,64,,18308.099609375,,PRUNED
8,18308.306640625,2026-02-24 05:49:51.259979,2026-02-24 05:49:53.454079,0 days 00:00:02.194100,0.2,0.00019657448966046135,2,64,,18308.306640625,,PRUNED
9,18308.1171875,2026-02-24 05:49:53.454689,2026-02-24 05:49:55.690337,0 days 00:00:02.235648,0.0,0.0001483039268456802,2,64,,18308.1171875,,PRUNED
