number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,params_rnn_type,params_rnn_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,18306.5576171875,2026-02-24 05:50:33.650354,2026-02-24 05:50:35.760432,0 days 00:00:02.110078,0.0,64,3,0.00018559980846490597,lstm,64,"{'MAE_15m': 18312.251953125, 'RMSE_15m': 18316.049355688032, 'sMAPE_15m': 199.96690060460892, 'R2_15m': -2410.718804304427, 'MAE_30m': 18300.86328125, 'RMSE_30m': 18304.91780915719, 'sMAPE_30m': 199.95897191611854, 'R2_30m': -2257.0749174669777, 'MAE_avg': 18306.5576171875, 'RMSE_avg': 18310.48358242261, 'sMAPE_avg': 199.96293626036373, 'R2_avg': -2333.896860885702}",18308.03125,18307.4765625,COMPLETE
1,18305.396484375,2026-02-24 05:50:35.761447,2026-02-24 05:50:37.840087,0 days 00:00:02.078640,0.3,96,7,0.000117115099555241,gru,96,"{'MAE_15m': 18310.951171875, 'RMSE_15m': 18314.748592323074, 'sMAPE_15m': 199.93841641300992, 'R2_15m': -2410.376350754556, 'MAE_30m': 18299.841796875, 'RMSE_30m': 18303.894230463637, 'sMAPE_30m': 199.936628405926, 'R2_30m': -2256.8225854363923, 'MAE_avg': 18305.396484375, 'RMSE_avg': 18309.321411393357, 'sMAPE_avg': 199.93752240946796, 'R2_avg': -2333.599468095474}",18307.951171875,18307.068359375,COMPLETE
2,18308.26953125,2026-02-24 05:50:37.840951,2026-02-24 05:50:39.304693,0 days 00:00:01.463742,0.3,32,5,0.00024112898115291975,lstm,96,,18308.26953125,,PRUNED
3,18307.9921875,2026-02-24 05:50:39.305344,2026-02-24 05:50:40.712114,0 days 00:00:01.406770,0.2,32,7,0.0003023795012558478,gru,64,,18307.9921875,,PRUNED
4,18301.119140625,2026-02-24 05:50:40.712791,2026-02-24 05:50:42.830273,0 days 00:00:02.117482,0.3,96,7,0.0011069143219393448,lstm,64,"{'MAE_15m': 18305.146484375, 'RMSE_15m': 18308.947757858725, 'sMAPE_15m': 199.8117492702145, 'R2_15m': -2408.8489138127597, 'MAE_30m': 18297.091796875, 'RMSE_30m': 18301.146630744206, 'sMAPE_30m': 199.87655483882966, 'R2_30m': -2256.1445962658754, 'MAE_avg': 18301.119140625, 'RMSE_avg': 18305.047194301464, 'sMAPE_avg': 199.84415205452208, 'R2_avg': -2332.4967550393176}",18305.4453125,18302.703125,COMPLETE
5,18304.75,2026-02-24 05:50:42.831077,2026-02-24 05:50:45.108292,0 days 00:00:02.277215,0.3,64,7,0.0004983319160125723,gru,32,,18306.6953125,18304.75,PRUNED
6,18303.142578125,2026-02-24 05:50:45.108977,2026-02-24 05:50:46.753764,0 days 00:00:01.644787,0.0,96,5,0.0021907142272152816,lstm,32,,18305.013671875,18303.142578125,PRUNED
7,18301.01171875,2026-02-24 05:50:46.754421,2026-02-24 05:50:48.864219,0 days 00:00:02.109798,0.3,96,7,0.0006261435181296009,gru,64,"{'MAE_15m': 18306.0234375, 'RMSE_15m': 18309.823374352905, 'sMAPE_15m': 199.83086042208504, 'R2_15m': -2409.0792308170176, 'MAE_30m': 18296.0, 'RMSE_30m': 18300.055519041467, 'sMAPE_30m': 199.85273244562933, 'R2_30m': -2255.8756394538486, 'MAE_avg': 18301.01171875, 'RMSE_avg': 18304.939446697186, 'sMAPE_avg': 199.84179643385718, 'R2_avg': -2332.477435135433}",18305.0859375,18302.138671875,COMPLETE
8,18297.4375,2026-02-24 05:50:48.865026,2026-02-24 05:50:51.102818,0 days 00:00:02.237792,0.3,64,7,0.002470540427082325,lstm,64,"{'MAE_15m': 18302.1953125, 'RMSE_15m': 18305.994646563184, 'sMAPE_15m': 199.74730476278745, 'R2_15m': -2408.0718631807595, 'MAE_30m': 18292.6796875, 'RMSE_30m': 18296.73457204864, 'sMAPE_30m': 199.78017399618395, 'R2_30m': -2255.0566141068084, 'MAE_avg': 18297.4375, 'RMSE_avg': 18301.364609305914, 'sMAPE_avg': 199.76373937948568, 'R2_avg': -2331.564238643784}",18303.986328125,18299.9921875,COMPLETE
9,18307.580078125,2026-02-24 05:50:51.103587,2026-02-24 05:50:52.501426,0 days 00:00:01.397839,0.0,96,5,0.00025798509464504095,lstm,64,,18307.580078125,,PRUNED
