number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,state
0,336.04071044921875,2026-02-24 05:49:21.523726,2026-02-24 05:49:21.836476,0 days 00:00:00.312750,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,COMPLETE
1,373.94622802734375,2026-02-24 05:49:21.837430,2026-02-24 05:49:22.567782,0 days 00:00:00.730352,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,COMPLETE
2,348.146240234375,2026-02-24 05:49:22.568833,2026-02-24 05:49:22.902521,0 days 00:00:00.333688,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,COMPLETE
3,355.84503173828125,2026-02-24 05:49:22.903485,2026-02-24 05:49:23.626871,0 days 00:00:00.723386,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,COMPLETE
4,409.6739501953125,2026-02-24 05:49:23.627824,2026-02-24 05:49:23.781506,0 days 00:00:00.153682,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,COMPLETE
5,386.6038818359375,2026-02-24 05:49:23.782410,2026-02-24 05:49:23.952585,0 days 00:00:00.170175,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,COMPLETE
6,405.0296630859375,2026-02-24 05:49:23.953524,2026-02-24 05:49:24.313784,0 days 00:00:00.360260,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,COMPLETE
7,351.23577880859375,2026-02-24 05:49:24.314739,2026-02-24 05:49:24.464876,0 days 00:00:00.150137,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,COMPLETE
8,363.68951416015625,2026-02-24 05:49:24.465767,2026-02-24 05:49:25.110214,0 days 00:00:00.644447,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,COMPLETE
9,365.429931640625,2026-02-24 05:49:25.111188,2026-02-24 05:49:25.333886,0 days 00:00:00.222698,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,COMPLETE
10,389.89013671875,2026-02-24 05:49:25.334850,2026-02-24 05:49:26.115269,0 days 00:00:00.780419,0.6061470949312417,4.8806994992899755,0.07139614686948192,8,5,1200,0.011219967035034627,0.6071847502459278,COMPLETE
11,366.029052734375,2026-02-24 05:49:26.116291,2026-02-24 05:49:26.529771,0 days 00:00:00.413480,0.8388857253989859,3.4928387712913036,0.03550073145261236,4,4,600,0.01425140281302034,0.7424364893339975,COMPLETE
12,374.324462890625,2026-02-24 05:49:26.530749,2026-02-24 05:49:27.011479,0 days 00:00:00.480730,0.8045348221233949,3.3840902904780745,0.03325900508660437,2,3,1000,0.19547221343610943,0.8143629479995406,COMPLETE
13,364.86236572265625,2026-02-24 05:49:27.012467,2026-02-24 05:49:27.384467,0 days 00:00:00.372000,0.6684815593910434,3.9292280306430953,0.058080112585801306,6,7,400,19.90331362835953,0.6631181148716307,COMPLETE
14,346.32281494140625,2026-02-24 05:49:27.385426,2026-02-24 05:49:27.662045,0 days 00:00:00.276619,0.8919339318126805,2.8071610932980056,0.10919814504777581,6,2,400,0.040883489495547355,0.732180391119561,COMPLETE
15,372.6661376953125,2026-02-24 05:49:27.665984,2026-02-24 05:49:28.086582,0 days 00:00:00.420598,0.896461276471979,2.972150057972677,0.11227862682251241,7,5,600,0.043433230140997335,0.8518161515540477,COMPLETE
16,424.586181640625,2026-02-24 05:49:28.087593,2026-02-24 05:49:28.574973,0 days 00:00:00.487380,0.7617620858699603,4.138936297287705,0.12061354348043654,8,7,800,0.03455235991956037,0.7640044048404117,COMPLETE
17,356.881591796875,2026-02-24 05:49:28.575973,2026-02-24 05:49:28.880172,0 days 00:00:00.304199,0.9943327591771669,4.103203059540432,0.11196241773961366,6,4,400,0.3155025809251251,0.6732132011401761,COMPLETE
18,356.192626953125,2026-02-24 05:49:28.881196,2026-02-24 05:49:29.466470,0 days 00:00:00.585274,0.8873218068392733,3.0574734472668084,0.047497674202859205,7,2,1000,0.02507938718436716,0.8505915654206465,COMPLETE
19,360.6441650390625,2026-02-24 05:49:29.467530,2026-02-24 05:49:29.828649,0 days 00:00:00.361119,0.6725163005566686,4.4840549893111605,0.0881036468776607,4,2,600,0.07539744156521987,0.7730982444721965,COMPLETE
20,390.8380126953125,2026-02-24 05:49:29.829675,2026-02-24 05:49:30.130227,0 days 00:00:00.300552,0.9528092223359276,2.491025122658856,0.141963603444061,6,6,400,0.010379695772449916,0.6826975412874684,COMPLETE
21,348.63427734375,2026-02-24 05:49:30.131267,2026-02-24 05:49:30.473085,0 days 00:00:00.341818,0.8517176690174569,1.5937129799807832,0.029272420392886887,5,2,400,0.08450125534278023,0.7097514240426016,COMPLETE
22,352.27630615234375,2026-02-24 05:49:30.474104,2026-02-24 05:49:30.762905,0 days 00:00:00.288801,0.8091972977332003,0.012091758140000408,0.024073366008499946,4,4,400,0.022490839727780074,0.6325421553355759,COMPLETE
23,334.158447265625,2026-02-24 05:49:30.763902,2026-02-24 05:49:31.189409,0 days 00:00:00.425507,0.8635159097607085,1.707422781279813,0.056125092893947785,5,2,600,0.3219827134273335,0.8285517573939049,COMPLETE
24,362.74853515625,2026-02-24 05:49:31.190369,2026-02-24 05:49:31.652552,0 days 00:00:00.462183,0.8736122417478998,1.3678613939322415,0.05919513442534303,6,3,600,0.4680308152902297,0.8485161614734077,COMPLETE
