number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,user_attrs_val_metrics,system_attrs_completed_rung_0,state
0,0.13757460564374924,2026-02-23 03:27:27.650693,2026-02-23 03:27:28.341227,0 days 00:00:00.690534,0.2,64,3,0.0011114989443094978,"{'MAE_15m': 0.23829253017902374, 'RMSE_15m': 0.2892962103786349, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.03685668110847473, 'RMSE_30m': 0.05993837831505518, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.13757460564374924, 'RMSE_avg': 0.17461729434684503, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.19500981271266937,COMPLETE
1,0.264057457447052,2026-02-23 03:27:28.341739,2026-02-23 03:27:28.885409,0 days 00:00:00.543670,0.2,64,3,0.0002692655251486473,,0.264057457447052,PRUNED
2,0.20180299878120422,2026-02-23 03:27:28.885935,2026-02-23 03:27:29.440631,0 days 00:00:00.554696,0.3,32,7,0.000117115099555241,,0.20180299878120422,PRUNED
3,0.2656129002571106,2026-02-23 03:27:29.441128,2026-02-23 03:27:29.987850,0 days 00:00:00.546722,0.3,32,5,0.00044684675025045853,,0.2656129002571106,PRUNED
4,0.24612686038017273,2026-02-23 03:27:29.988353,2026-02-23 03:27:30.563542,0 days 00:00:00.575189,0.3,64,3,0.00018752209455786411,,0.24612686038017273,PRUNED
5,0.32107648253440857,2026-02-23 03:27:30.564105,2026-02-23 03:27:31.113533,0 days 00:00:00.549428,0.2,32,7,0.0003023795012558478,,0.32107648253440857,PRUNED
6,0.07038027793169022,2026-02-23 03:27:31.114024,2026-02-23 03:27:31.793613,0 days 00:00:00.679589,0.2,96,7,0.002869139536545374,"{'MAE_15m': 0.06601449102163315, 'RMSE_15m': 0.09115178622379146, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.07474606484174728, 'RMSE_30m': 0.10179823330714417, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.07038027793169022, 'RMSE_avg': 0.09647500976546781, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.09166232496500015,COMPLETE
7,0.4693232476711273,2026-02-23 03:27:31.794132,2026-02-23 03:27:32.317815,0 days 00:00:00.523683,0.0,32,3,0.0001483039268456802,,0.4693232476711273,PRUNED
8,0.22006294131278992,2026-02-23 03:27:32.318282,2026-02-23 03:27:32.854662,0 days 00:00:00.536380,0.3,32,7,0.0004983319160125723,,0.22006294131278992,PRUNED
9,0.14490359276533127,2026-02-23 03:27:32.855146,2026-02-23 03:27:33.499723,0 days 00:00:00.644577,0.0,96,5,0.00014433402406338895,"{'MAE_15m': 0.09816312789916992, 'RMSE_15m': 0.1162020896300241, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.19164405763149261, 'RMSE_30m': 0.22059264836034237, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.14490359276533127, 'RMSE_avg': 0.16839736899518323, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.16790953278541565,COMPLETE
