number,value,datetime_start,datetime_complete,duration,params_dropout,params_gru_units,params_lr,params_lstm_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,0.03609595075249672,2026-02-23 03:26:58.837904,2026-02-23 03:27:01.734348,0 days 00:00:02.896444,0.2,64,0.0011114989443094978,32,"{'MAE_15m': 0.040181610733270645, 'RMSE_15m': 0.055013411377568266, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.032010290771722794, 'RMSE_30m': 0.043733889570349724, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.03609595075249672, 'RMSE_avg': 0.049373650473958995, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.06858058273792267,,COMPLETE
1,0.12684151530265808,2026-02-23 03:27:01.734933,2026-02-23 03:27:04.086272,0 days 00:00:02.351339,0.2,64,0.0002692655251486473,32,,0.12684151530265808,,PRUNED
2,0.11071281135082245,2026-02-23 03:27:04.086798,2026-02-23 03:27:06.405472,0 days 00:00:02.318674,0.3,32,0.000117115099555241,96,,0.11071281135082245,,PRUNED
3,0.08173666894435883,2026-02-23 03:27:06.406010,2026-02-23 03:27:08.726764,0 days 00:00:02.320754,0.3,32,0.00044684675025045853,64,,0.08173666894435883,,PRUNED
4,0.12227217108011246,2026-02-23 03:27:08.727284,2026-02-23 03:27:11.009192,0 days 00:00:02.281908,0.3,64,0.00018752209455786411,32,,0.12227217108011246,,PRUNED
5,0.01975033013150096,2026-02-23 03:27:11.009707,2026-02-23 03:27:15.840481,0 days 00:00:04.830774,0.2,32,0.0003023795012558478,96,"{'MAE_15m': 0.01161994133144617, 'RMSE_15m': 0.015482409292858155, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.027880718931555748, 'RMSE_30m': 0.032908751036077454, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.01975033013150096, 'RMSE_avg': 0.024195580164467805, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.027553686872124672,0.0251641683280468,COMPLETE
6,0.08895906060934067,2026-02-23 03:27:15.841007,2026-02-23 03:27:18.341570,0 days 00:00:02.500563,0.2,96,0.002869139536545374,96,,0.08895906060934067,,PRUNED
7,0.1766272634267807,2026-02-23 03:27:18.342127,2026-02-23 03:27:20.702331,0 days 00:00:02.360204,0.0,32,0.0001483039268456802,32,,0.1766272634267807,,PRUNED
8,0.0832987055182457,2026-02-23 03:27:20.702822,2026-02-23 03:27:23.002691,0 days 00:00:02.299869,0.3,32,0.0004983319160125723,96,,0.0832987055182457,,PRUNED
9,0.1098446398973465,2026-02-23 03:27:23.003203,2026-02-23 03:27:25.278103,0 days 00:00:02.274900,0.0,96,0.00014433402406338895,64,,0.1098446398973465,,PRUNED
