number,value,datetime_start,datetime_complete,duration,params_dropout,params_lr,params_num_layers,params_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,0.019618405029177666,2026-02-23 03:26:27.844035,2026-02-23 03:26:30.705504,0 days 00:00:02.861469,0.0,0.00190303683817358,2,64,"{'MAE_15m': 0.014881066977977753, 'RMSE_15m': 0.01838708774511648, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.02435574308037758, 'RMSE_30m': 0.03131908365357189, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.019618405029177666, 'RMSE_avg': 0.024853085699344184, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.032048337161540985,,COMPLETE
1,0.0845857784152031,2026-02-23 03:26:30.706044,2026-02-23 03:26:35.159468,0 days 00:00:04.453424,0.0,0.00018659959624904942,2,64,,0.0845857784152031,,PRUNED
2,0.09693442285060883,2026-02-23 03:26:35.159986,2026-02-23 03:26:36.804064,0 days 00:00:01.644078,0.0,0.0003476649150592621,1,64,,0.09693442285060883,,PRUNED
3,0.040667951107025146,2026-02-23 03:26:36.804667,2026-02-23 03:26:39.542141,0 days 00:00:02.737474,0.3,0.0001786013788939711,2,64,,0.040667951107025146,,PRUNED
4,0.01580212451517582,2026-02-23 03:26:39.542767,2026-02-23 03:26:42.739079,0 days 00:00:03.196312,0.3,0.00044684675025045853,2,96,"{'MAE_15m': 0.022488903254270554, 'RMSE_15m': 0.02539770206528074, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.009115345776081085, 'RMSE_30m': 0.012179787752535356, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.01580212451517582, 'RMSE_avg': 0.01878874490890805, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.026182809844613075,0.02034018374979496,COMPLETE
5,0.06291478872299194,2026-02-23 03:26:42.739593,2026-02-23 03:26:45.136258,0 days 00:00:02.396665,0.2,0.000586412916969653,2,64,,0.06291478872299194,,PRUNED
6,0.01910249423235655,2026-02-23 03:26:45.136762,2026-02-23 03:26:48.010119,0 days 00:00:02.873357,0.0,0.002299958642814372,2,96,"{'MAE_15m': 0.01856187917292118, 'RMSE_15m': 0.021242051896347803, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.019643109291791916, 'RMSE_30m': 0.023268401315495575, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.01910249423235655, 'RMSE_avg': 0.02225522660592169, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.02531159482896328,,COMPLETE
7,0.1585356891155243,2026-02-23 03:26:48.010638,2026-02-23 03:26:49.353869,0 days 00:00:01.343231,0.3,0.0003364867144187955,1,64,,0.1585356891155243,,PRUNED
8,0.11202291399240494,2026-02-23 03:26:49.354356,2026-02-23 03:26:51.634458,0 days 00:00:02.280102,0.2,0.00019657448966046135,2,64,,0.11202291399240494,,PRUNED
9,0.07219749689102173,2026-02-23 03:26:51.634952,2026-02-23 03:26:55.874899,0 days 00:00:04.239947,0.0,0.0001483039268456802,2,64,,0.07219749689102173,,PRUNED
