number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,params_rnn_type,params_rnn_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,0.07802020385861397,2026-02-23 03:27:35.477245,2026-02-23 03:27:37.776547,0 days 00:00:02.299302,0.0,64,3,0.00018559980846490597,lstm,64,"{'MAE_15m': 0.10913574695587158, 'RMSE_15m': 0.16617895955065348, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.046904660761356354, 'RMSE_30m': 0.05556067896458585, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.07802020385861397, 'RMSE_avg': 0.11086981925761967, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.09122786670923233,0.07883817702531815,COMPLETE
1,0.18855653703212738,2026-02-23 03:27:37.777200,2026-02-23 03:27:39.425849,0 days 00:00:01.648649,0.3,96,7,0.000117115099555241,gru,96,,0.18855653703212738,,PRUNED
2,0.09349333494901657,2026-02-23 03:27:39.426406,2026-02-23 03:27:41.006682,0 days 00:00:01.580276,0.3,32,5,0.00024112898115291975,lstm,96,,0.09349333494901657,,PRUNED
3,0.23793534934520721,2026-02-23 03:27:41.007226,2026-02-23 03:27:42.524414,0 days 00:00:01.517188,0.2,32,7,0.0003023795012558478,gru,64,,0.23793534934520721,,PRUNED
4,0.024410786107182503,2026-02-23 03:27:42.524912,2026-02-23 03:27:44.821082,0 days 00:00:02.296170,0.3,96,7,0.0011069143219393448,lstm,64,"{'MAE_15m': 0.022850660607218742, 'RMSE_15m': 0.0357031878469778, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.025970911607146263, 'RMSE_30m': 0.04047065815053926, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.024410786107182503, 'RMSE_avg': 0.03808692299875853, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.0833481103181839,0.04180353879928589,COMPLETE
5,0.1474531590938568,2026-02-23 03:27:44.821645,2026-02-23 03:27:46.307117,0 days 00:00:01.485472,0.3,64,7,0.0004983319160125723,gru,32,,0.1474531590938568,,PRUNED
6,0.05393640324473381,2026-02-23 03:27:46.307641,2026-02-23 03:27:48.095215,0 days 00:00:01.787574,0.0,96,5,0.0021907142272152816,lstm,32,"{'MAE_15m': 0.05483013391494751, 'RMSE_15m': 0.07199078568342389, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.05304267257452011, 'RMSE_30m': 0.062374734516763744, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.05393640324473381, 'RMSE_avg': 0.06718276010009382, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.05393640324473381,,COMPLETE
7,0.17088675498962402,2026-02-23 03:27:48.095798,2026-02-23 03:27:49.569462,0 days 00:00:01.473664,0.3,96,7,0.0006261435181296009,gru,64,,0.17088675498962402,,PRUNED
8,0.00571522256359458,2026-02-23 03:27:49.569984,2026-02-23 03:27:51.800922,0 days 00:00:02.230938,0.3,64,7,0.002470540427082325,lstm,64,"{'MAE_15m': 0.005437933374196291, 'RMSE_15m': 0.008764256382916091, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.005992511752992868, 'RMSE_30m': 0.009086144449069897, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.00571522256359458, 'RMSE_avg': 0.008925200415992995, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.045337315648794174,0.011766192503273487,COMPLETE
9,0.11065603792667389,2026-02-23 03:27:51.801455,2026-02-23 03:27:53.230701,0 days 00:00:01.429246,0.0,96,5,0.00025798509464504095,lstm,64,,0.11065603792667389,,PRUNED
