number,value,datetime_start,datetime_complete,duration,params_dropout,params_gru_units,params_lr,params_lstm_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,15158.6083984375,2026-02-24 05:51:32.079394,2026-02-24 05:51:35.112428,0 days 00:00:03.033034,0.2,64,0.0011114989443094978,32,"{'MAE_15m': 15814.68359375, 'RMSE_15m': 16456.21876373792, 'sMAPE_15m': 199.96519684611053, 'R2_15m': -12.081361906169539, 'MAE_30m': 14502.533203125, 'RMSE_30m': 14877.590127436633, 'sMAPE_30m': 199.9292052578509, 'R2_30m': -19.089093067274263, 'MAE_avg': 15158.6083984375, 'RMSE_avg': 15666.904445587277, 'sMAPE_avg': 199.9472010519807, 'R2_avg': -15.585227486721902}",15160.078125,15159.62109375,COMPLETE
1,15160.26171875,2026-02-24 05:51:35.113221,2026-02-24 05:51:37.315731,0 days 00:00:02.202510,0.2,64,0.0002692655251486473,32,,15160.26171875,,PRUNED
2,15160.4951171875,2026-02-24 05:51:37.316382,2026-02-24 05:51:40.200698,0 days 00:00:02.884316,0.3,32,0.000117115099555241,96,,15160.4951171875,,PRUNED
3,15160.32421875,2026-02-24 05:51:40.201315,2026-02-24 05:51:42.408977,0 days 00:00:02.207662,0.3,32,0.00044684675025045853,64,,15160.32421875,,PRUNED
4,15160.4755859375,2026-02-24 05:51:42.409561,2026-02-24 05:51:44.578173,0 days 00:00:02.168612,0.3,64,0.00018752209455786411,32,,15160.4755859375,,PRUNED
5,15160.30859375,2026-02-24 05:51:44.578828,2026-02-24 05:51:46.771312,0 days 00:00:02.192484,0.2,32,0.0003023795012558478,96,,15160.30859375,,PRUNED
6,15145.8193359375,2026-02-24 05:51:46.771924,2026-02-24 05:51:50.426092,0 days 00:00:03.654168,0.2,96,0.002869139536545374,96,"{'MAE_15m': 15801.091796875, 'RMSE_15m': 16443.12087165937, 'sMAPE_15m': 199.5917064570522, 'R2_15m': -12.060546621947871, 'MAE_30m': 14490.546875, 'RMSE_30m': 14865.866405965042, 'sMAPE_30m': 199.5815230708133, 'R2_30m': -19.057445368799723, 'MAE_avg': 15145.8193359375, 'RMSE_avg': 15654.493638812204, 'sMAPE_avg': 199.58661476393274, 'R2_avg': -15.558995995373797}",15157.58203125,15150.6181640625,COMPLETE
7,15160.14453125,2026-02-24 05:51:50.426844,2026-02-24 05:51:52.679204,0 days 00:00:02.252360,0.0,32,0.0001483039268456802,32,,15160.14453125,,PRUNED
8,15160.6923828125,2026-02-24 05:51:52.679805,2026-02-24 05:51:54.890888,0 days 00:00:02.211083,0.3,32,0.0004983319160125723,96,,15160.6923828125,,PRUNED
9,15159.861328125,2026-02-24 05:51:54.891512,2026-02-24 05:51:57.225107,0 days 00:00:02.333595,0.0,96,0.00014433402406338895,64,,15160.0556640625,15159.861328125,PRUNED
