number,value,datetime_start,datetime_complete,duration,params_dropout,params_lr,params_num_layers,params_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,15149.9912109375,2026-02-24 05:51:05.622767,2026-02-24 05:51:09.363975,0 days 00:00:03.741208,0.0,0.00190303683817358,2,64,"{'MAE_15m': 15805.4912109375, 'RMSE_15m': 16447.349208915093, 'sMAPE_15m': 199.71284494992418, 'R2_15m': -12.067264249262038, 'MAE_30m': 14494.4912109375, 'RMSE_30m': 14869.710420852183, 'sMAPE_30m': 199.69629516350085, 'R2_30m': -19.067818163908523, 'MAE_avg': 15149.9912109375, 'RMSE_avg': 15658.529814883637, 'sMAPE_avg': 199.7045700567125, 'R2_avg': -15.56754120658528}",15159.2724609375,15154.4326171875,COMPLETE
1,15160.501953125,2026-02-24 05:51:09.364761,2026-02-24 05:51:11.634121,0 days 00:00:02.269360,0.0,0.00018659959624904942,2,64,,15160.501953125,,PRUNED
2,15160.6474609375,2026-02-24 05:51:11.634731,2026-02-24 05:51:12.947272,0 days 00:00:01.312541,0.0,0.0003476649150592621,1,64,,15160.6474609375,,PRUNED
3,15160.53515625,2026-02-24 05:51:12.947858,2026-02-24 05:51:15.154326,0 days 00:00:02.206468,0.3,0.0001786013788939711,2,64,,15160.53515625,,PRUNED
4,15160.15234375,2026-02-24 05:51:15.154924,2026-02-24 05:51:17.348319,0 days 00:00:02.193395,0.3,0.00044684675025045853,2,96,,15160.15234375,,PRUNED
5,15160.2568359375,2026-02-24 05:51:17.348900,2026-02-24 05:51:20.372336,0 days 00:00:03.023436,0.2,0.000586412916969653,2,64,,15160.2568359375,,PRUNED
6,15145.75927734375,2026-02-24 05:51:20.372943,2026-02-24 05:51:23.429426,0 days 00:00:03.056483,0.0,0.002299958642814372,2,96,"{'MAE_15m': 15801.4736328125, 'RMSE_15m': 16443.48965396336, 'sMAPE_15m': 199.60221656972988, 'R2_15m': -12.061132208405592, 'MAE_30m': 14490.044921875, 'RMSE_30m': 14865.37776176576, 'sMAPE_30m': 199.5669678296972, 'R2_30m': -19.056126644105397, 'MAE_avg': 15145.75927734375, 'RMSE_avg': 15654.433707864559, 'sMAPE_avg': 199.58459219971354, 'R2_avg': -15.558629426255495}",15159.17578125,15149.94140625,COMPLETE
7,15160.5400390625,2026-02-24 05:51:23.430364,2026-02-24 05:51:24.737194,0 days 00:00:01.306830,0.3,0.0003364867144187955,1,64,,15160.5400390625,,PRUNED
8,15160.3193359375,2026-02-24 05:51:24.737805,2026-02-24 05:51:26.995672,0 days 00:00:02.257867,0.2,0.00019657448966046135,2,64,,15160.3193359375,,PRUNED
9,15160.49609375,2026-02-24 05:51:26.996285,2026-02-24 05:51:29.838578,0 days 00:00:02.842293,0.0,0.0001483039268456802,2,64,,15160.49609375,,PRUNED
