number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,params_rnn_type,params_rnn_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,15158.9375,2026-02-24 05:52:07.169772,2026-02-24 05:52:09.254541,0 days 00:00:02.084769,0.0,64,3,0.00018559980846490597,lstm,64,"{'MAE_15m': 15813.720703125, 'RMSE_15m': 16455.266877203783, 'sMAPE_15m': 199.93928664116544, 'R2_15m': -12.079848947933412, 'MAE_30m': 14504.154296875, 'RMSE_30m': 14879.124705438824, 'sMAPE_30m': 199.97776724612905, 'R2_30m': -19.09323697366874, 'MAE_avg': 15158.9375, 'RMSE_avg': 15667.195791321305, 'sMAPE_avg': 199.95852694364726, 'R2_avg': -15.586542960801076}",15160.3994140625,15159.830078125,COMPLETE
1,15157.1787109375,2026-02-24 05:52:09.255324,2026-02-24 05:52:11.332890,0 days 00:00:02.077566,0.3,96,7,0.000117115099555241,gru,96,"{'MAE_15m': 15813.232421875, 'RMSE_15m': 16454.77000750846, 'sMAPE_15m': 199.9265566311717, 'R2_15m': -12.079059020226804, 'MAE_30m': 14501.125, 'RMSE_30m': 14876.161870590142, 'sMAPE_30m': 199.88987071321026, 'R2_30m': -19.085235801577138, 'MAE_avg': 15157.1787109375, 'RMSE_avg': 15665.465939049302, 'sMAPE_avg': 199.90821367219098, 'R2_avg': -15.582147410901971}",15159.9130859375,15158.87109375,COMPLETE
2,15160.142578125,2026-02-24 05:52:11.333688,2026-02-24 05:52:12.800079,0 days 00:00:01.466391,0.3,32,5,0.00024112898115291975,lstm,96,,15160.142578125,,PRUNED
3,15156.833984375,2026-02-24 05:52:12.800713,2026-02-24 05:52:14.859744,0 days 00:00:02.059031,0.2,32,7,0.0003023795012558478,gru,64,"{'MAE_15m': 15812.109375, 'RMSE_15m': 16453.691622246966, 'sMAPE_15m': 199.89556417987316, 'R2_15m': -12.077344769329452, 'MAE_30m': 14501.55859375, 'RMSE_30m': 14876.584554258414, 'sMAPE_30m': 199.90244125778307, 'R2_30m': -19.086377362474284, 'MAE_avg': 15156.833984375, 'RMSE_avg': 15665.13808825269, 'sMAPE_avg': 199.89900271882811, 'R2_avg': -15.581861065901869}",15159.763671875,15158.83203125,COMPLETE
4,15151.640625,2026-02-24 05:52:14.860783,2026-02-24 05:52:17.616776,0 days 00:00:02.755993,0.3,96,7,0.0011069143219393448,lstm,64,"{'MAE_15m': 15807.48828125, 'RMSE_15m': 16449.26843358087, 'sMAPE_15m': 199.7678315174039, 'R2_15m': -12.070314125057022, 'MAE_30m': 14495.79296875, 'RMSE_30m': 14870.98006185201, 'sMAPE_30m': 199.73413788340133, 'R2_30m': -19.07124825187064, 'MAE_avg': 15151.640625, 'RMSE_avg': 15660.12424771644, 'sMAPE_avg': 199.75098470040263, 'R2_avg': -15.57078118846383}",15156.6474609375,15153.4619140625,COMPLETE
5,15157.765625,2026-02-24 05:52:17.617543,2026-02-24 05:52:19.265869,0 days 00:00:01.648326,0.3,64,7,0.0004983319160125723,gru,32,,15159.390625,15157.765625,PRUNED
6,15154.35693359375,2026-02-24 05:52:19.266490,2026-02-24 05:52:21.407748,0 days 00:00:02.141258,0.0,96,5,0.0021907142272152816,lstm,32,"{'MAE_15m': 15809.8193359375, 'RMSE_15m': 16451.510325802916, 'sMAPE_15m': 199.83207783302598, 'R2_15m': -12.07387659295732, 'MAE_30m': 14498.89453125, 'RMSE_30m': 14874.003630495725, 'sMAPE_30m': 199.8244171231806, 'R2_30m': -19.07941021059602, 'MAE_avg': 15154.35693359375, 'RMSE_avg': 15662.75697814932, 'sMAPE_avg': 199.8282474781033, 'R2_avg': -15.576643401776671}",15157.189453125,15155.330078125,COMPLETE
7,15157.6201171875,2026-02-24 05:52:21.408570,2026-02-24 05:52:22.859992,0 days 00:00:01.451422,0.3,96,7,0.0006261435181296009,gru,64,,15157.6201171875,,PRUNED
8,15150.8583984375,2026-02-24 05:52:22.860621,2026-02-24 05:52:24.972680,0 days 00:00:02.112059,0.3,64,7,0.002470540427082325,lstm,64,"{'MAE_15m': 15806.28515625, 'RMSE_15m': 16448.11186732386, 'sMAPE_15m': 199.73464542731944, 'R2_15m': -12.06847561200916, 'MAE_30m': 14495.431640625, 'RMSE_30m': 14870.62876949055, 'sMAPE_30m': 199.72363158601837, 'R2_30m': -19.070297569636576, 'MAE_avg': 15150.8583984375, 'RMSE_avg': 15659.370318407204, 'sMAPE_avg': 199.7291385066689, 'R2_avg': -15.569386590822868}",15157.1162109375,15153.4580078125,COMPLETE
9,15159.5712890625,2026-02-24 05:52:24.973445,2026-02-24 05:52:26.373652,0 days 00:00:01.400207,0.0,96,5,0.00025798509464504095,lstm,64,,15159.5712890625,,PRUNED
