number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,7934.915771484375,2026-04-03 02:12:39.453234,2026-04-03 02:12:41.104134,0 days 00:00:01.650900,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[11, 3]","{'MAE_15m': 7914.7841796875, 'RMSE_15m': 9038.504743595591, 'sMAPE_15m': 35.97895839226233, 'R2_15m': 0.006541515700299816, 'MAE_30m': 7955.04736328125, 'RMSE_30m': 9023.53855203157, 'sMAPE_30m': 36.27193125813439, 'R2_30m': -0.003025714908235111, 'MAE_avg': 7934.915771484375, 'RMSE_avg': 9031.02164781358, 'sMAPE_avg': 36.12544482519836, 'R2_avg': 0.0017579003960323525}",COMPLETE
1,7914.72265625,2026-04-03 02:12:41.109322,2026-04-03 02:12:43.043663,0 days 00:00:01.934341,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[121, 10]","{'MAE_15m': 7861.984375, 'RMSE_15m': 8942.071348406922, 'sMAPE_15m': 35.78037586618458, 'R2_15m': 0.027627102832119, 'MAE_30m': 7967.4609375, 'RMSE_30m': 9009.967369530259, 'sMAPE_30m': 36.33205613121046, 'R2_30m': -1.0828994154055138e-05, 'MAE_avg': 7914.72265625, 'RMSE_avg': 8976.019358968591, 'sMAPE_avg': 36.05621599869752, 'R2_avg': 0.013808136918982472}",COMPLETE
2,7903.7021484375,2026-04-03 02:12:43.046884,2026-04-03 02:12:44.679333,0 days 00:00:01.632449,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[40, 14]","{'MAE_15m': 7840.8876953125, 'RMSE_15m': 8909.36226673941, 'sMAPE_15m': 35.71755039573833, 'R2_15m': 0.03472779751112298, 'MAE_30m': 7966.5166015625, 'RMSE_30m': 9034.728994275369, 'sMAPE_30m': 36.31769324409111, 'R2_30m': -0.005514931523693312, 'MAE_avg': 7903.7021484375, 'RMSE_avg': 8972.04563050739, 'sMAPE_avg': 36.01762181991472, 'R2_avg': 0.014606432993714835}",COMPLETE
3,7902.522216796875,2026-04-03 02:12:44.680666,2026-04-03 02:12:47.261722,0 days 00:00:02.581056,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[121, 39]","{'MAE_15m': 7855.9013671875, 'RMSE_15m': 9051.0821452465, 'sMAPE_15m': 35.73024235685833, 'R2_15m': 0.00377468373488421, 'MAE_30m': 7949.14306640625, 'RMSE_30m': 9012.975535304642, 'sMAPE_30m': 36.24094428611745, 'R2_30m': -0.0006787616549301934, 'MAE_avg': 7902.522216796875, 'RMSE_avg': 9032.028840275572, 'sMAPE_avg': 35.98559332148788, 'R2_avg': 0.0015479610399770083}",COMPLETE
4,7931.34130859375,2026-04-03 02:12:47.266194,2026-04-03 02:12:48.890857,0 days 00:00:01.624663,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[5, 0]","{'MAE_15m': 7951.515625, 'RMSE_15m': 9073.492822502258, 'sMAPE_15m': 36.20330258741912, 'R2_15m': -0.0011647133114476294, 'MAE_30m': 7911.1669921875, 'RMSE_30m': 8968.215876081485, 'sMAPE_30m': 36.091794272731654, 'R2_30m': 0.009235683320731325, 'MAE_avg': 7931.34130859375, 'RMSE_avg': 9020.854349291872, 'sMAPE_avg': 36.14754843007539, 'R2_avg': 0.004035485004641848}",COMPLETE
5,7897.501708984375,2026-04-03 02:12:48.893906,2026-04-03 02:12:50.752911,0 days 00:00:01.859005,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[126, 39]","{'MAE_15m': 7843.556640625, 'RMSE_15m': 8884.998142937342, 'sMAPE_15m': 35.73089610443767, 'R2_15m': 0.039999981123053696, 'MAE_30m': 7951.44677734375, 'RMSE_30m': 9005.612916398306, 'sMAPE_30m': 36.25612536369357, 'R2_30m': 0.000955401502978348, 'MAE_avg': 7897.501708984375, 'RMSE_avg': 8945.305529667825, 'sMAPE_avg': 35.99351073406562, 'R2_avg': 0.020477691313016022}",COMPLETE
6,7875.624267578125,2026-04-03 02:12:50.754702,2026-04-03 02:12:52.301446,0 days 00:00:01.546744,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[28, 17]","{'MAE_15m': 7846.783203125, 'RMSE_15m': 8947.40901043425, 'sMAPE_15m': 35.71226546038681, 'R2_15m': 0.026465892890042864, 'MAE_30m': 7904.46533203125, 'RMSE_30m': 8983.16915125169, 'sMAPE_30m': 36.00171530971957, 'R2_30m': 0.005928862752128561, 'MAE_avg': 7875.624267578125, 'RMSE_avg': 8965.28908084297, 'sMAPE_avg': 35.856990385053194, 'R2_avg': 0.016197377821085712}",COMPLETE
7,7869.20068359375,2026-04-03 02:12:52.305016,2026-04-03 02:12:54.251152,0 days 00:00:01.946136,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[198, 126]","{'MAE_15m': 7824.0009765625, 'RMSE_15m': 8816.481838012258, 'sMAPE_15m': 35.66099205752703, 'R2_15m': 0.05474891527912862, 'MAE_30m': 7914.400390625, 'RMSE_30m': 8956.02322462375, 'sMAPE_30m': 36.086216561714295, 'R2_30m': 0.011927765788611988, 'MAE_avg': 7869.20068359375, 'RMSE_avg': 8886.252531318005, 'sMAPE_avg': 35.87360430962066, 'R2_avg': 0.0333383405338703}",COMPLETE
8,7881.5888671875,2026-04-03 02:12:54.263007,2026-04-03 02:12:56.225293,0 days 00:00:01.962286,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[109, 35]","{'MAE_15m': 7837.21240234375, 'RMSE_15m': 8891.498861271928, 'sMAPE_15m': 35.67788169296603, 'R2_15m': 0.03859475214783159, 'MAE_30m': 7925.96533203125, 'RMSE_30m': 8978.721067056265, 'sMAPE_30m': 36.149005676555404, 'R2_30m': 0.006913143137399769, 'MAE_avg': 7881.5888671875, 'RMSE_avg': 8935.109964164098, 'sMAPE_avg': 35.91344368476072, 'R2_avg': 0.02275394764261568}",COMPLETE
9,7932.236328125,2026-04-03 02:12:56.226907,2026-04-03 02:12:57.788194,0 days 00:00:01.561287,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[13, 3]","{'MAE_15m': 7921.923828125, 'RMSE_15m': 9000.870624556272, 'sMAPE_15m': 36.032513079059974, 'R2_15m': 0.014797326170297165, 'MAE_30m': 7942.548828125, 'RMSE_30m': 9015.649948838964, 'sMAPE_30m': 36.21385938542366, 'R2_30m': -0.0012726870581616367, 'MAE_avg': 7932.236328125, 'RMSE_avg': 9008.260286697618, 'sMAPE_avg': 36.12318623224182, 'R2_avg': 0.006762319556067764}",COMPLETE
