number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,user_attrs_val_metrics,system_attrs_completed_rung_0,state
0,0.10020900890231133,2026-02-23 03:30:43.478112,2026-02-23 03:30:45.726549,0 days 00:00:02.248437,0.2,64,3,0.0011114989443094978,"{'MAE_15m': 0.09058402478694916, 'RMSE_15m': 0.15307551479654877, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.10983399301767349, 'RMSE_30m': 0.12052942110087914, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.10020900890231133, 'RMSE_avg': 0.13680246794871395, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.12093355506658554,COMPLETE
1,0.1699686497449875,2026-02-23 03:30:45.727193,2026-02-23 03:30:46.420027,0 days 00:00:00.692834,0.2,64,3,0.0002692655251486473,,0.1699686497449875,PRUNED
2,0.3475104868412018,2026-02-23 03:30:46.420510,2026-02-23 03:30:47.101853,0 days 00:00:00.681343,0.3,32,7,0.000117115099555241,,0.3475104868412018,PRUNED
3,0.19290916621685028,2026-02-23 03:30:47.102330,2026-02-23 03:30:47.774623,0 days 00:00:00.672293,0.3,32,5,0.00044684675025045853,,0.19290916621685028,PRUNED
4,0.10827915370464325,2026-02-23 03:30:47.775109,2026-02-23 03:30:48.612272,0 days 00:00:00.837163,0.3,64,3,0.00018752209455786411,"{'MAE_15m': 0.09149222075939178, 'RMSE_15m': 0.12768764020031717, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.12506608664989471, 'RMSE_30m': 0.14330640068750022, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.10827915370464325, 'RMSE_avg': 0.1354970204439087, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.10954370349645615,COMPLETE
5,0.22361800074577332,2026-02-23 03:30:48.612793,2026-02-23 03:30:49.290236,0 days 00:00:00.677443,0.2,32,7,0.0003023795012558478,,0.22361800074577332,PRUNED
6,0.33600759506225586,2026-02-23 03:30:49.290738,2026-02-23 03:30:49.946823,0 days 00:00:00.656085,0.2,96,7,0.002869139536545374,,0.33600759506225586,PRUNED
7,1.3638616800308228,2026-02-23 03:30:49.947470,2026-02-23 03:30:50.564404,0 days 00:00:00.616934,0.0,32,3,0.0001483039268456802,,1.3638616800308228,PRUNED
8,0.2005687952041626,2026-02-23 03:30:50.564902,2026-02-23 03:30:51.213715,0 days 00:00:00.648813,0.3,32,7,0.0004983319160125723,,0.2005687952041626,PRUNED
9,0.056629469618201256,2026-02-23 03:30:51.214196,2026-02-23 03:30:51.916220,0 days 00:00:00.702024,0.0,96,5,0.00014433402406338895,"{'MAE_15m': 0.047309260815382004, 'RMSE_15m': 0.056982216838739094, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.06594967842102051, 'RMSE_30m': 0.0956302287348942, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.056629469618201256, 'RMSE_avg': 0.07630622278681665, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.08713226020336151,COMPLETE
