number,value,datetime_start,datetime_complete,duration,params_dropout,params_gru_units,params_lr,params_lstm_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,0.07130420207977295,2026-02-23 03:30:13.074860,2026-02-23 03:30:15.931541,0 days 00:00:02.856681,0.2,64,0.0011114989443094978,32,"{'MAE_15m': 0.080729641020298, 'RMSE_15m': 0.09710971485425261, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.061878763139247894, 'RMSE_30m': 0.08039446024092023, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.07130420207977295, 'RMSE_avg': 0.08875208754758643, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.08775652945041656,0.08381393551826477,COMPLETE
1,0.05430936440825462,2026-02-23 03:30:15.932230,2026-02-23 03:30:19.060659,0 days 00:00:03.128429,0.2,64,0.0002692655251486473,32,"{'MAE_15m': 0.0451355054974556, 'RMSE_15m': 0.050225984075024856, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.06348322331905365, 'RMSE_30m': 0.06854919916990475, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.05430936440825462, 'RMSE_avg': 0.059387591622464805, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.08509807288646698,0.06302261352539062,COMPLETE
2,0.10073685646057129,2026-02-23 03:30:19.061223,2026-02-23 03:30:21.313272,0 days 00:00:02.252049,0.3,32,0.000117115099555241,96,,0.10073685646057129,,PRUNED
3,0.04310753755271435,2026-02-23 03:30:21.313815,2026-02-23 03:30:25.494837,0 days 00:00:04.181022,0.3,32,0.00044684675025045853,64,"{'MAE_15m': 0.04470839351415634, 'RMSE_15m': 0.05863275421846201, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.041506681591272354, 'RMSE_30m': 0.04646781808842867, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.04310753755271435, 'RMSE_avg': 0.05255028615344534, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.04865959286689758,,COMPLETE
4,0.09916634857654572,2026-02-23 03:30:25.495473,2026-02-23 03:30:28.334816,0 days 00:00:02.839343,0.3,64,0.00018752209455786411,32,,0.09916634857654572,,PRUNED
5,0.028059065341949463,2026-02-23 03:30:28.335333,2026-02-23 03:30:31.448158,0 days 00:00:03.112825,0.2,32,0.0003023795012558478,96,"{'MAE_15m': 0.02731160819530487, 'RMSE_15m': 0.03400280517107892, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.028806522488594055, 'RMSE_30m': 0.030576199495296375, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.028059065341949463, 'RMSE_avg': 0.03228950233318765, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.03479922562837601,0.03309699147939682,COMPLETE
6,0.01715861912816763,2026-02-23 03:30:31.448718,2026-02-23 03:30:34.355378,0 days 00:00:02.906660,0.2,96,0.002869139536545374,96,"{'MAE_15m': 0.02177031710743904, 'RMSE_15m': 0.026606891857256666, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.012546921148896217, 'RMSE_30m': 0.021609812544173927, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.01715861912816763, 'RMSE_avg': 0.024108352200715298, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.043720096349716187,0.02918057143688202,COMPLETE
7,0.15703414380550385,2026-02-23 03:30:34.355894,2026-02-23 03:30:36.644297,0 days 00:00:02.288403,0.0,32,0.0001483039268456802,32,,0.15703414380550385,,PRUNED
8,0.05106987804174423,2026-02-23 03:30:36.644831,2026-02-23 03:30:38.900363,0 days 00:00:02.255532,0.3,32,0.0004983319160125723,96,,0.05106987804174423,,PRUNED
9,0.05512429028749466,2026-02-23 03:30:38.900900,2026-02-23 03:30:41.108586,0 days 00:00:02.207686,0.0,96,0.00014433402406338895,64,,0.05512429028749466,,PRUNED
