number,value,datetime_start,datetime_complete,duration,params_dropout,params_lr,params_num_layers,params_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,0.027884389273822308,2026-02-23 03:29:45.075617,2026-02-23 03:29:48.119385,0 days 00:00:03.043768,0.0,0.00190303683817358,2,64,"{'MAE_15m': 0.028680741786956787, 'RMSE_15m': 0.032108805189042376, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.027088036760687828, 'RMSE_30m': 0.036264167906758245, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.027884389273822308, 'RMSE_avg': 0.03418648654790031, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.04103269428014755,,COMPLETE
1,0.06748966127634048,2026-02-23 03:29:48.119905,2026-02-23 03:29:50.456217,0 days 00:00:02.336312,0.0,0.00018659959624904942,2,64,,0.06748966127634048,,PRUNED
2,0.12895219027996063,2026-02-23 03:29:50.456680,2026-02-23 03:29:51.826683,0 days 00:00:01.370003,0.0,0.0003476649150592621,1,64,,0.12895219027996063,,PRUNED
3,0.1140497550368309,2026-02-23 03:29:51.827155,2026-02-23 03:29:54.181866,0 days 00:00:02.354711,0.3,0.0001786013788939711,2,64,,0.1140497550368309,,PRUNED
4,0.05123351886868477,2026-02-23 03:29:54.182331,2026-02-23 03:29:56.495687,0 days 00:00:02.313356,0.3,0.00044684675025045853,2,96,,0.05123351886868477,,PRUNED
5,0.02215840294957161,2026-02-23 03:29:56.496217,2026-02-23 03:29:59.176449,0 days 00:00:02.680232,0.2,0.000586412916969653,2,64,"{'MAE_15m': 0.015792183578014374, 'RMSE_15m': 0.023041626617529124, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.028524622321128845, 'RMSE_30m': 0.034527113022622985, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.02215840294957161, 'RMSE_avg': 0.028784369820076053, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.033293478190898895,,COMPLETE
6,0.004002023139037192,2026-02-23 03:29:59.176983,2026-02-23 03:30:02.218081,0 days 00:00:03.041098,0.0,0.002299958642814372,2,96,"{'MAE_15m': 0.0058754258789122105, 'RMSE_15m': 0.006999093710349767, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.0021286203991621733, 'RMSE_30m': 0.0027471258697920452, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.004002023139037192, 'RMSE_avg': 0.004873109790070907, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.022974494844675064,0.01171264611184597,COMPLETE
7,0.13303926587104797,2026-02-23 03:30:02.218739,2026-02-23 03:30:05.207177,0 days 00:00:02.988438,0.3,0.0003364867144187955,1,64,,0.13303926587104797,,PRUNED
8,0.05952714756131172,2026-02-23 03:30:05.207657,2026-02-23 03:30:08.038812,0 days 00:00:02.831155,0.2,0.00019657448966046135,2,64,,0.05952714756131172,,PRUNED
9,0.056065820157527924,2026-02-23 03:30:08.039318,2026-02-23 03:30:10.581101,0 days 00:00:02.541783,0.0,0.0001483039268456802,2,64,,0.056065820157527924,,PRUNED
