number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,params_rnn_type,params_rnn_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,0.05756073817610741,2026-02-23 03:30:52.564948,2026-02-23 03:30:54.814550,0 days 00:00:02.249602,0.0,64,3,0.00018559980846490597,lstm,64,"{'MAE_15m': 0.06907737255096436, 'RMSE_15m': 0.08650011163684361, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.04604410380125046, 'RMSE_30m': 0.051153951883982425, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.05756073817610741, 'RMSE_avg': 0.06882703176041302, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.06415064632892609,0.060626257210969925,COMPLETE
1,0.1492929607629776,2026-02-23 03:30:54.815227,2026-02-23 03:30:56.319715,0 days 00:00:01.504488,0.3,96,7,0.000117115099555241,gru,96,,0.1492929607629776,,PRUNED
2,0.09149830043315887,2026-02-23 03:30:56.320247,2026-02-23 03:30:57.809912,0 days 00:00:01.489665,0.3,32,5,0.00024112898115291975,lstm,96,,0.09149830043315887,,PRUNED
3,0.22305889427661896,2026-02-23 03:30:57.810441,2026-02-23 03:30:59.271472,0 days 00:00:01.461031,0.2,32,7,0.0003023795012558478,gru,64,,0.22305889427661896,,PRUNED
4,0.1580224484205246,2026-02-23 03:30:59.271947,2026-02-23 03:31:00.785671,0 days 00:00:01.513724,0.3,96,7,0.0011069143219393448,lstm,64,,0.1580224484205246,,PRUNED
5,0.21152298152446747,2026-02-23 03:31:00.786202,2026-02-23 03:31:02.267235,0 days 00:00:01.481033,0.3,64,7,0.0004983319160125723,gru,32,,0.21152298152446747,,PRUNED
6,0.17975150048732758,2026-02-23 03:31:02.267776,2026-02-23 03:31:03.742340,0 days 00:00:01.474564,0.0,96,5,0.0021907142272152816,lstm,32,,0.17975150048732758,,PRUNED
7,0.09722317010164261,2026-02-23 03:31:03.742870,2026-02-23 03:31:05.189218,0 days 00:00:01.446348,0.3,96,7,0.0006261435181296009,gru,64,,0.09722317010164261,,PRUNED
8,0.017982657998800278,2026-02-23 03:31:05.189703,2026-02-23 03:31:07.135841,0 days 00:00:01.946138,0.3,64,7,0.002470540427082325,lstm,64,"{'MAE_15m': 0.02010231837630272, 'RMSE_15m': 0.026231817823613664, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.015862997621297836, 'RMSE_30m': 0.02337992819286965, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.017982657998800278, 'RMSE_avg': 0.024805873008241656, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.043481431901454926,0.019948843866586685,COMPLETE
9,0.07470103912055492,2026-02-23 03:31:07.136364,2026-02-23 03:31:10.611701,0 days 00:00:03.475337,0.0,96,5,0.00025798509464504095,lstm,64,"{'MAE_15m': 0.054171811789274216, 'RMSE_15m': 0.07655085224475927, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.09523026645183563, 'RMSE_30m': 0.15320220577386345, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.07470103912055492, 'RMSE_avg': 0.11487652900931136, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.08636125177145004,,COMPLETE
