number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,89466.8984375,2026-02-24 05:53:32.218914,2026-02-24 05:53:33.259010,0 days 00:00:01.040096,0.2,64,3,0.0011114989443094978,"{'MAE_15m': 90407.6328125, 'RMSE_15m': 90721.20493026974, 'sMAPE_15m': 199.94731064058382, 'R2_15m': -143.99335103859133, 'MAE_30m': 88526.1640625, 'RMSE_30m': 88835.21319837084, 'sMAPE_30m': 199.9607215358219, 'R2_30m': -143.0127623749653, 'MAE_avg': 89466.8984375, 'RMSE_avg': 89778.20906432028, 'sMAPE_avg': 199.95401608820288, 'R2_avg': -143.5030567067783}",89475.8984375,89473.4375,COMPLETE
1,89476.6015625,2026-02-24 05:53:33.259763,2026-02-24 05:53:33.819386,0 days 00:00:00.559623,0.2,64,3,0.0002692655251486473,,89476.6015625,,PRUNED
2,89476.90625,2026-02-24 05:53:33.819981,2026-02-24 05:53:34.371048,0 days 00:00:00.551067,0.3,32,7,0.000117115099555241,,89476.90625,,PRUNED
3,89476.53125,2026-02-24 05:53:34.371788,2026-02-24 05:53:34.916496,0 days 00:00:00.544708,0.3,32,5,0.00044684675025045853,,89476.53125,,PRUNED
4,89476.5234375,2026-02-24 05:53:34.917093,2026-02-24 05:53:35.463522,0 days 00:00:00.546429,0.3,64,3,0.00018752209455786411,,89476.5234375,,PRUNED
5,89476.84375,2026-02-24 05:53:35.464123,2026-02-24 05:53:36.006149,0 days 00:00:00.542026,0.2,32,7,0.0003023795012558478,,89476.84375,,PRUNED
6,89349.93359375,2026-02-24 05:53:36.006745,2026-02-24 05:53:37.029087,0 days 00:00:01.022342,0.2,96,7,0.002869139536545374,"{'MAE_15m': 90285.03125, 'RMSE_15m': 90599.35258046826, 'sMAPE_15m': 199.40034113947647, 'R2_15m': -143.6041119719452, 'MAE_30m': 88414.8359375, 'RMSE_30m': 88724.19106421879, 'sMAPE_30m': 199.45538050424287, 'R2_30m': -142.6530341109703, 'MAE_avg': 89349.93359375, 'RMSE_avg': 89661.77182234352, 'sMAPE_avg': 199.42786082185967, 'R2_avg': -143.12857304145774}",89473.1953125,89453.1328125,COMPLETE
7,89476.9921875,2026-02-24 05:53:37.029806,2026-02-24 05:53:37.543168,0 days 00:00:00.513362,0.0,32,3,0.0001483039268456802,,89476.9921875,,PRUNED
8,89476.875,2026-02-24 05:53:37.543775,2026-02-24 05:53:38.091627,0 days 00:00:00.547852,0.3,32,7,0.0004983319160125723,,89476.875,,PRUNED
9,89476.6875,2026-02-24 05:53:38.092221,2026-02-24 05:53:38.609871,0 days 00:00:00.517650,0.0,96,5,0.00014433402406338895,,89476.6875,,PRUNED
