number,value,datetime_start,datetime_complete,duration,params_dropout,params_gru_units,params_lr,params_lstm_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,89477.140625,2026-02-24 05:53:02.694171,2026-02-24 05:53:05.322597,0 days 00:00:02.628426,0.2,64,0.0011114989443094978,32,"{'MAE_15m': 90419.53125, 'RMSE_15m': 90732.88374123244, 'sMAPE_15m': 200.0, 'R2_15m': -144.03067527087336, 'MAE_30m': 88534.75, 'RMSE_30m': 88843.68511042302, 'sMAPE_30m': 199.99996679339114, 'R2_30m': -143.040237929775, 'MAE_avg': 89477.140625, 'RMSE_avg': 89788.28442582773, 'sMAPE_avg': 199.99998339669557, 'R2_avg': -143.53545660032418}",89477.1484375,,COMPLETE
1,89477.0859375,2026-02-24 05:53:05.323368,2026-02-24 05:53:08.647090,0 days 00:00:03.323722,0.2,64,0.0002692655251486473,32,"{'MAE_15m': 90419.6171875, 'RMSE_15m': 90732.9740281889, 'sMAPE_15m': 200.0, 'R2_15m': -144.03095188029576, 'MAE_30m': 88534.5546875, 'RMSE_30m': 88843.49205203497, 'sMAPE_30m': 199.99917634554276, 'R2_30m': -143.03961971421958, 'MAE_avg': 89477.0859375, 'RMSE_avg': 89788.23304011193, 'sMAPE_avg': 199.99958817277138, 'R2_avg': -143.53528579725767}",89477.0859375,,COMPLETE
2,89476.8359375,2026-02-24 05:53:08.647828,2026-02-24 05:53:11.261378,0 days 00:00:02.613550,0.3,32,0.000117115099555241,96,"{'MAE_15m': 90418.8984375, 'RMSE_15m': 90732.24326555582, 'sMAPE_15m': 199.99841410804547, 'R2_15m': -144.02863226975882, 'MAE_30m': 88534.7734375, 'RMSE_30m': 88843.70239921342, 'sMAPE_30m': 199.99990698375007, 'R2_30m': -143.0402924324058, 'MAE_avg': 89476.8359375, 'RMSE_avg': 89787.97283238462, 'sMAPE_avg': 199.99916054589778, 'R2_avg': -143.5344623510823}",89476.8359375,,COMPLETE
3,89476.9375,2026-02-24 05:53:11.262083,2026-02-24 05:53:13.461712,0 days 00:00:02.199629,0.3,32,0.00044684675025045853,64,,89476.9375,,PRUNED
4,89477.21875,2026-02-24 05:53:13.462272,2026-02-24 05:53:15.600832,0 days 00:00:02.138560,0.3,64,0.00018752209455786411,32,,89477.21875,,PRUNED
5,89476.73828125,2026-02-24 05:53:15.601471,2026-02-24 05:53:19.351620,0 days 00:00:03.750149,0.2,32,0.0003023795012558478,96,"{'MAE_15m': 90419.125, 'RMSE_15m': 90732.46616289012, 'sMAPE_15m': 199.99942137983717, 'R2_15m': -144.02934032974775, 'MAE_30m': 88534.3515625, 'RMSE_30m': 88843.29611174949, 'sMAPE_30m': 199.99827337839474, 'R2_30m': -143.03898436926593, 'MAE_avg': 89476.73828125, 'RMSE_avg': 89787.88113731981, 'sMAPE_avg': 199.99884737911594, 'R2_avg': -143.53416234950686}",89476.90625,89476.8515625,COMPLETE
6,89461.4296875,2026-02-24 05:53:19.352376,2026-02-24 05:53:22.465900,0 days 00:00:03.113524,0.2,96,0.002869139536545374,96,"{'MAE_15m': 90402.5390625, 'RMSE_15m': 90715.9448829146, 'sMAPE_15m': 199.92555854749935, 'R2_15m': -143.97653198305844, 'MAE_30m': 88520.3203125, 'RMSE_30m': 88829.30255270498, 'sMAPE_30m': 199.9344504662399, 'R2_30m': -142.9936179365822, 'MAE_avg': 89461.4296875, 'RMSE_avg': 89772.6237178098, 'sMAPE_avg': 199.93000450686964, 'R2_avg': -143.48507495982034}",89475.8984375,89472.1640625,COMPLETE
7,89477.0390625,2026-02-24 05:53:22.466649,2026-02-24 05:53:24.610863,0 days 00:00:02.144214,0.0,32,0.0001483039268456802,32,,89477.0390625,,PRUNED
8,89476.9609375,2026-02-24 05:53:24.611418,2026-02-24 05:53:26.815341,0 days 00:00:02.203923,0.3,32,0.0004983319160125723,96,,89476.9609375,,PRUNED
9,89476.6875,2026-02-24 05:53:26.815895,2026-02-24 05:53:29.182585,0 days 00:00:02.366690,0.0,96,0.00014433402406338895,64,,89476.75,89476.6875,PRUNED
