number,value,datetime_start,datetime_complete,duration,params_dropout,params_lr,params_num_layers,params_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,89467.9375,2026-02-24 05:52:36.156973,2026-02-24 05:52:40.029845,0 days 00:00:03.872872,0.0,0.00190303683817358,2,64,"{'MAE_15m': 90410.7265625, 'RMSE_15m': 90724.11701416553, 'sMAPE_15m': 199.96205892054456, 'R2_15m': -144.00264150723572, 'MAE_30m': 88525.1484375, 'RMSE_30m': 88834.10660326359, 'sMAPE_30m': 199.95641095166644, 'R2_30m': -143.0091854451649, 'MAE_avg': 89467.9375, 'RMSE_avg': 89779.11180871456, 'sMAPE_avg': 199.9592349361055, 'R2_avg': -143.5059134762003}",89476.8515625,89475.1171875,COMPLETE
1,89476.9375,2026-02-24 05:52:40.030595,2026-02-24 05:52:42.266165,0 days 00:00:02.235570,0.0,0.00018659959624904942,2,64,,89476.9375,,PRUNED
2,89477.1875,2026-02-24 05:52:42.266752,2026-02-24 05:52:43.545390,0 days 00:00:01.278638,0.0,0.0003476649150592621,1,64,,89477.1875,,PRUNED
3,89477.0390625,2026-02-24 05:52:43.546011,2026-02-24 05:52:45.789005,0 days 00:00:02.242994,0.3,0.0001786013788939711,2,64,,89477.0390625,,PRUNED
4,89477.0,2026-02-24 05:52:45.789573,2026-02-24 05:52:48.713208,0 days 00:00:02.923635,0.3,0.00044684675025045853,2,96,,89477.0,,PRUNED
5,89477.1484375,2026-02-24 05:52:48.713757,2026-02-24 05:52:51.017587,0 days 00:00:02.303830,0.2,0.000586412916969653,2,64,,89477.1484375,,PRUNED
6,89462.9921875,2026-02-24 05:52:51.018191,2026-02-24 05:52:53.991160,0 days 00:00:02.972969,0.0,0.002299958642814372,2,96,"{'MAE_15m': 90404.2890625, 'RMSE_15m': 90717.68885945012, 'sMAPE_15m': 199.93333902707755, 'R2_15m': -143.98210626424506, 'MAE_30m': 88521.6953125, 'RMSE_30m': 88830.67722358082, 'sMAPE_30m': 199.94070699615827, 'R2_30m': -142.99807002291192, 'MAE_avg': 89462.9921875, 'RMSE_avg': 89774.18304151547, 'sMAPE_avg': 199.9370230116179, 'R2_avg': -143.49008814357848}",89476.8359375,89471.2109375,COMPLETE
7,89477.03125,2026-02-24 05:52:53.991920,2026-02-24 05:52:55.291592,0 days 00:00:01.299672,0.3,0.0003364867144187955,1,64,,89477.03125,,PRUNED
8,89477.0078125,2026-02-24 05:52:55.292164,2026-02-24 05:52:58.150283,0 days 00:00:02.858119,0.2,0.00019657448966046135,2,64,,89477.0078125,,PRUNED
9,89476.9765625,2026-02-24 05:52:58.150967,2026-02-24 05:53:00.421250,0 days 00:00:02.270283,0.0,0.0001483039268456802,2,64,,89476.9765625,,PRUNED
