number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,params_rnn_type,params_rnn_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,89475.98046875,2026-02-24 05:53:39.162754,2026-02-24 05:53:41.243176,0 days 00:00:02.080422,0.0,64,3,0.00018559980846490597,lstm,64,"{'MAE_15m': 90418.4375, 'RMSE_15m': 90731.800290747, 'sMAPE_15m': 199.99639679429976, 'R2_15m': -144.02721765309306, 'MAE_30m': 88533.5234375, 'RMSE_30m': 88842.45471619973, 'sMAPE_30m': 199.99452218986676, 'R2_30m': -143.03626079494254, 'MAE_avg': 89475.98046875, 'RMSE_avg': 89787.12750347337, 'sMAPE_avg': 199.99545949208326, 'R2_avg': -143.5317392240178}",89476.8828125,89476.5625,COMPLETE
1,89475.6640625,2026-02-24 05:53:41.243956,2026-02-24 05:53:43.332130,0 days 00:00:02.088174,0.3,96,7,0.000117115099555241,gru,96,"{'MAE_15m': 90418.0703125, 'RMSE_15m': 90731.43913771014, 'sMAPE_15m': 199.99475982171614, 'R2_15m': -144.02604957960818, 'MAE_30m': 88533.2578125, 'RMSE_30m': 88842.20402488898, 'sMAPE_30m': 199.99332763726204, 'R2_30m': -143.03544481269813, 'MAE_avg': 89475.6640625, 'RMSE_avg': 89786.82158129956, 'sMAPE_avg': 199.99404372948908, 'R2_avg': -143.53074719615316}",89476.6953125,89476.3515625,COMPLETE
2,89476.84375,2026-02-24 05:53:43.332900,2026-02-24 05:53:45.289359,0 days 00:00:01.956459,0.3,32,5,0.00024112898115291975,lstm,96,,89476.84375,,PRUNED
3,89475.453125,2026-02-24 05:53:45.289980,2026-02-24 05:53:47.363962,0 days 00:00:02.073982,0.2,32,7,0.0003023795012558478,gru,64,"{'MAE_15m': 90417.1796875, 'RMSE_15m': 90730.53907037035, 'sMAPE_15m': 199.99062820231075, 'R2_15m': -144.0231917833472, 'MAE_30m': 88533.7265625, 'RMSE_30m': 88842.6737103291, 'sMAPE_30m': 199.99538782858482, 'R2_30m': -143.03696465748922, 'MAE_avg': 89475.453125, 'RMSE_avg': 89786.60639034971, 'sMAPE_avg': 199.9930080154478, 'R2_avg': -143.5300782204182}",89476.6640625,89476.2578125,COMPLETE
4,89468.1171875,2026-02-24 05:53:47.364788,2026-02-24 05:53:49.486404,0 days 00:00:02.121616,0.3,96,7,0.0011069143219393448,lstm,64,"{'MAE_15m': 90409.2421875, 'RMSE_15m': 90722.62430066714, 'sMAPE_15m': 199.95538203604983, 'R2_15m': -143.99786849138687, 'MAE_30m': 88526.9921875, 'RMSE_30m': 88835.96244764842, 'sMAPE_30m': 199.96482885669937, 'R2_30m': -143.01519942117233, 'MAE_avg': 89468.1171875, 'RMSE_avg': 89779.29337415777, 'sMAPE_avg': 199.9601054463746, 'R2_avg': -143.5065339562796}",89475.0625,89470.9609375,COMPLETE
5,89476.75,2026-02-24 05:53:49.487167,2026-02-24 05:53:50.929612,0 days 00:00:01.442445,0.3,64,7,0.0004983319160125723,gru,32,,89476.75,,PRUNED
6,89471.75,2026-02-24 05:53:50.930259,2026-02-24 05:53:52.532145,0 days 00:00:01.601886,0.0,96,5,0.0021907142272152816,lstm,32,,89474.1640625,89471.75,PRUNED
7,89476.1875,2026-02-24 05:53:52.532765,2026-02-24 05:53:53.939797,0 days 00:00:01.407032,0.3,96,7,0.0006261435181296009,gru,64,,89476.1875,,PRUNED
8,89467.6015625,2026-02-24 05:53:53.940439,2026-02-24 05:53:56.049261,0 days 00:00:02.108822,0.3,64,7,0.002470540427082325,lstm,64,"{'MAE_15m': 90409.1796875, 'RMSE_15m': 90722.55939952312, 'sMAPE_15m': 199.95511877041886, 'R2_15m': -143.99768057737708, 'MAE_30m': 88526.0234375, 'RMSE_30m': 88834.99418584998, 'sMAPE_30m': 199.9604048868943, 'R2_30m': -143.01205695520056, 'MAE_avg': 89467.6015625, 'RMSE_avg': 89778.77679268655, 'sMAPE_avg': 199.9577618286566, 'R2_avg': -143.50486876628884}",89474.7265625,89470.3984375,COMPLETE
9,89476.4453125,2026-02-24 05:53:56.050012,2026-02-24 05:53:58.079486,0 days 00:00:02.029474,0.0,96,5,0.00025798509464504095,lstm,64,,89476.4453125,,PRUNED
