number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,state
0,2348.2802734375,2026-02-24 05:52:27.914570,2026-02-24 05:52:28.188295,0 days 00:00:00.273725,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,COMPLETE
1,2131.66748046875,2026-02-24 05:52:28.189227,2026-02-24 05:52:28.646994,0 days 00:00:00.457767,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,COMPLETE
2,2075.791259765625,2026-02-24 05:52:28.647996,2026-02-24 05:52:28.861270,0 days 00:00:00.213274,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,COMPLETE
3,2233.055908203125,2026-02-24 05:52:28.862169,2026-02-24 05:52:29.290642,0 days 00:00:00.428473,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,COMPLETE
4,2456.361572265625,2026-02-24 05:52:29.291558,2026-02-24 05:52:29.406095,0 days 00:00:00.114537,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,COMPLETE
5,2012.177001953125,2026-02-24 05:52:29.407030,2026-02-24 05:52:29.550793,0 days 00:00:00.143763,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,COMPLETE
6,2114.614990234375,2026-02-24 05:52:29.551732,2026-02-24 05:52:29.840301,0 days 00:00:00.288569,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,COMPLETE
7,2125.989501953125,2026-02-24 05:52:29.841225,2026-02-24 05:52:29.940048,0 days 00:00:00.098823,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,COMPLETE
8,1875.25341796875,2026-02-24 05:52:29.940961,2026-02-24 05:52:30.085536,0 days 00:00:00.144575,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,COMPLETE
9,2444.092041015625,2026-02-24 05:52:30.086430,2026-02-24 05:52:30.265470,0 days 00:00:00.179040,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,COMPLETE
10,1868.846435546875,2026-02-24 05:52:30.266357,2026-02-24 05:52:30.665736,0 days 00:00:00.399379,0.6058268031335812,3.3820892378437524,0.02513734458845407,2,10,1200,15.421779524164808,0.6071847502459278,COMPLETE
11,1864.1947021484375,2026-02-24 05:52:30.666677,2026-02-24 05:52:31.093417,0 days 00:00:00.426740,0.6094059102390395,3.328467084489836,0.026365703773854412,2,10,1200,18.869952618502094,0.6068744601075835,COMPLETE
12,1898.443603515625,2026-02-24 05:52:31.094361,2026-02-24 05:52:31.521723,0 days 00:00:00.427362,0.617976167901816,3.4550491971991457,0.032034784515162056,2,8,1200,19.573581780102383,0.6014562981232444,COMPLETE
13,1894.91796875,2026-02-24 05:52:31.522730,2026-02-24 05:52:31.990020,0 days 00:00:00.467290,0.6750130525733469,3.5062934900526574,0.02420355886703493,2,6,1200,19.90331362835953,0.6040569883749647,COMPLETE
14,2048.317626953125,2026-02-24 05:52:31.991019,2026-02-24 05:52:32.415720,0 days 00:00:00.424701,0.6052561262871233,3.346500238220674,0.04861272840727349,3,10,1000,7.22484593288874,0.6638123593227387,COMPLETE
15,1965.873779296875,2026-02-24 05:52:32.416735,2026-02-24 05:52:32.800804,0 days 00:00:00.384069,0.7809305251510433,3.973226820560444,0.053335174222032634,4,8,1000,9.21397452514403,0.6754908909746108,COMPLETE
16,1981.471435546875,2026-02-24 05:52:32.801769,2026-02-24 05:52:33.173206,0 days 00:00:00.371437,0.6566336966609405,2.837230940554188,0.023738240864116564,2,6,1000,2.391867842624646,0.6526519622190808,COMPLETE
17,2125.24169921875,2026-02-24 05:52:33.174256,2026-02-24 05:52:33.636567,0 days 00:00:00.462311,0.7242757678791986,4.803056602487352,0.06588331932770164,4,9,1200,0.489159264754486,0.7542495483658851,COMPLETE
18,1946.876220703125,2026-02-24 05:52:33.637497,2026-02-24 05:52:34.055008,0 days 00:00:00.417511,0.8184351407962487,3.979218297564814,0.02805041705316313,4,10,1200,10.731836651173937,0.6411743739750013,COMPLETE
19,2037.33544921875,2026-02-24 05:52:34.055942,2026-02-24 05:52:34.430246,0 days 00:00:00.374304,0.6039511512859108,2.89740942067392,0.017317522727622235,2,5,1000,4.105789061369553,0.7730982444721965,COMPLETE
20,2052.169677734375,2026-02-24 05:52:34.431228,2026-02-24 05:52:34.746879,0 days 00:00:00.315651,0.6873064153189612,3.1631519638115906,0.04062062589982044,3,8,800,0.2973872450086843,0.700955391485638,COMPLETE
21,1874.8304443359375,2026-02-24 05:52:34.747853,2026-02-24 05:52:34.919077,0 days 00:00:00.171224,0.6361706980567337,1.4884290700789362,0.016571703970398408,6,10,400,2.757470519611602,0.855622628594144,COMPLETE
22,1892.5028076171875,2026-02-24 05:52:34.919989,2026-02-24 05:52:35.135023,0 days 00:00:00.215034,0.6440841212482877,1.5189387330575426,0.022595591922071976,6,9,400,11.870793804914044,0.8507631665266933,COMPLETE
