number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,4782.116943359375,2026-02-24 05:55:02.202037,2026-02-24 05:55:03.223412,0 days 00:00:01.021375,0.2,64,3,0.0011114989443094978,"{'MAE_15m': 4805.65087890625, 'RMSE_15m': 4914.377274894552, 'sMAPE_15m': 198.50577591493843, 'R2_15m': -21.868323027958095, 'MAE_30m': 4758.5830078125, 'RMSE_30m': 4881.581301176904, 'sMAPE_30m': 198.38667088645863, 'R2_30m': -19.1112330341182, 'MAE_avg': 4782.116943359375, 'RMSE_avg': 4897.979288035728, 'sMAPE_avg': 198.44622340069853, 'R2_avg': -20.48977803103815}",4798.08642578125,4794.037109375,COMPLETE
1,4799.626953125,2026-02-24 05:55:03.224312,2026-02-24 05:55:03.764939,0 days 00:00:00.540627,0.2,64,3,0.0002692655251486473,,4799.626953125,,PRUNED
2,4799.95751953125,2026-02-24 05:55:03.765527,2026-02-24 05:55:04.306666,0 days 00:00:00.541139,0.3,32,7,0.000117115099555241,,4799.95751953125,,PRUNED
3,4799.36328125,2026-02-24 05:55:04.307273,2026-02-24 05:55:04.853286,0 days 00:00:00.546013,0.3,32,5,0.00044684675025045853,,4799.36328125,,PRUNED
4,4799.6708984375,2026-02-24 05:55:04.853915,2026-02-24 05:55:05.393406,0 days 00:00:00.539491,0.3,64,3,0.00018752209455786411,,4799.6708984375,,PRUNED
5,4799.703125,2026-02-24 05:55:05.393998,2026-02-24 05:55:05.940474,0 days 00:00:00.546476,0.2,32,7,0.0003023795012558478,,4799.703125,,PRUNED
6,4172.1181640625,2026-02-24 05:55:05.941081,2026-02-24 05:55:06.965369,0 days 00:00:01.024288,0.2,96,7,0.002869139536545374,"{'MAE_15m': 4226.4677734375, 'RMSE_15m': 4376.131853589423, 'sMAPE_15m': 156.17356587949294, 'R2_15m': -17.13335333617095, 'MAE_30m': 4117.7685546875, 'RMSE_30m': 4291.989282372452, 'sMAPE_30m': 151.79604432357607, 'R2_30m': -14.54658307647415, 'MAE_avg': 4172.1181640625, 'RMSE_avg': 4334.060567980938, 'sMAPE_avg': 153.9848051015345, 'R2_avg': -15.839968206322549}",4783.81689453125,4683.55517578125,COMPLETE
7,4799.19970703125,2026-02-24 05:55:06.966088,2026-02-24 05:55:07.491185,0 days 00:00:00.525097,0.0,32,3,0.0001483039268456802,,4799.19970703125,,PRUNED
8,4799.28076171875,2026-02-24 05:55:07.491806,2026-02-24 05:55:08.032447,0 days 00:00:00.540641,0.3,32,7,0.0004983319160125723,,4799.28076171875,,PRUNED
9,4799.4580078125,2026-02-24 05:55:08.033041,2026-02-24 05:55:08.548448,0 days 00:00:00.515407,0.0,96,5,0.00014433402406338895,,4799.4580078125,,PRUNED
