number,value,datetime_start,datetime_complete,duration,params_dropout,params_gru_units,params_lr,params_lstm_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,4797.768310546875,2026-02-24 05:54:33.938753,2026-02-24 05:54:36.900145,0 days 00:00:02.961392,0.2,64,0.0011114989443094978,32,"{'MAE_15m': 4820.68115234375, 'RMSE_15m': 4928.985696875169, 'sMAPE_15m': 199.80445195213127, 'R2_15m': -22.004482794523945, 'MAE_30m': 4774.85546875, 'RMSE_30m': 4897.351120759058, 'sMAPE_30m': 199.81788620531375, 'R2_30m': -19.241379994337578, 'MAE_avg': 4797.768310546875, 'RMSE_avg': 4913.168408817113, 'sMAPE_avg': 199.81116907872251, 'R2_avg': -20.62293139443076}",4799.76806640625,4799.224609375,COMPLETE
1,4799.966796875,2026-02-24 05:54:36.901024,2026-02-24 05:54:39.680853,0 days 00:00:02.779829,0.2,64,0.0002692655251486473,32,,4799.966796875,,PRUNED
2,4799.9482421875,2026-02-24 05:54:39.681476,2026-02-24 05:54:41.868640,0 days 00:00:02.187164,0.3,32,0.000117115099555241,96,,4799.9482421875,,PRUNED
3,4799.2685546875,2026-02-24 05:54:41.869262,2026-02-24 05:54:44.283920,0 days 00:00:02.414658,0.3,32,0.00044684675025045853,64,,4799.474609375,4799.2685546875,PRUNED
4,4799.86865234375,2026-02-24 05:54:44.284509,2026-02-24 05:54:46.441131,0 days 00:00:02.156622,0.3,64,0.00018752209455786411,32,,4799.86865234375,,PRUNED
5,4800.06396484375,2026-02-24 05:54:46.441714,2026-02-24 05:54:49.291773,0 days 00:00:02.850059,0.2,32,0.0003023795012558478,96,,4800.06396484375,,PRUNED
6,4784.041015625,2026-02-24 05:54:49.292381,2026-02-24 05:54:52.358578,0 days 00:00:03.066197,0.2,96,0.002869139536545374,96,"{'MAE_15m': 4808.7431640625, 'RMSE_15m': 4917.327526207706, 'sMAPE_15m': 198.77399620114315, 'R2_15m': -21.895786658253826, 'MAE_30m': 4759.3388671875, 'RMSE_30m': 4882.234119744771, 'sMAPE_30m': 198.45261432032495, 'R2_30m': -19.11661242134783, 'MAE_avg': 4784.041015625, 'RMSE_avg': 4899.780822976239, 'sMAPE_avg': 198.61330526073405, 'R2_avg': -20.50619953980083}",4797.32373046875,4788.9033203125,COMPLETE
7,4799.77783203125,2026-02-24 05:54:52.359299,2026-02-24 05:54:54.489591,0 days 00:00:02.130292,0.0,32,0.0001483039268456802,32,,4799.77783203125,,PRUNED
8,4799.44482421875,2026-02-24 05:54:54.490203,2026-02-24 05:54:56.854175,0 days 00:00:02.363972,0.3,32,0.0004983319160125723,96,,4799.75341796875,4799.44482421875,PRUNED
9,4799.603515625,2026-02-24 05:54:56.854796,2026-02-24 05:54:59.922965,0 days 00:00:03.068169,0.0,96,0.00014433402406338895,64,,4799.71826171875,4799.603515625,PRUNED
