number,value,datetime_start,datetime_complete,duration,params_dropout,params_lr,params_num_layers,params_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,4791.23193359375,2026-02-24 05:54:08.179841,2026-02-24 05:54:11.183628,0 days 00:00:03.003787,0.0,0.00190303683817358,2,64,"{'MAE_15m': 4813.68408203125, 'RMSE_15m': 4922.159079103397, 'sMAPE_15m': 199.1996687534151, 'R2_15m': -21.94080321585312, 'MAE_30m': 4768.77978515625, 'RMSE_30m': 4891.437212108523, 'sMAPE_30m': 199.28333945675402, 'R2_30m': -19.1925257720139, 'MAE_avg': 4791.23193359375, 'RMSE_avg': 4906.798145605961, 'sMAPE_avg': 199.24150410508457, 'R2_avg': -20.56666449393351}",4798.962890625,4795.13916015625,COMPLETE
1,4799.98193359375,2026-02-24 05:54:11.184516,2026-02-24 05:54:13.389379,0 days 00:00:02.204863,0.0,0.00018659959624904942,2,64,,4799.98193359375,,PRUNED
2,4799.6494140625,2026-02-24 05:54:13.389996,2026-02-24 05:54:14.715437,0 days 00:00:01.325441,0.0,0.0003476649150592621,1,64,,4799.6494140625,,PRUNED
3,4799.81005859375,2026-02-24 05:54:14.715997,2026-02-24 05:54:17.792630,0 days 00:00:03.076633,0.3,0.0001786013788939711,2,64,,4799.81005859375,,PRUNED
4,4799.78125,2026-02-24 05:54:17.793232,2026-02-24 05:54:20.057210,0 days 00:00:02.263978,0.3,0.00044684675025045853,2,96,,4799.78125,,PRUNED
5,4799.740234375,2026-02-24 05:54:20.057821,2026-02-24 05:54:22.302998,0 days 00:00:02.245177,0.2,0.000586412916969653,2,64,,4799.740234375,,PRUNED
6,4786.318359375,2026-02-24 05:54:22.303611,2026-02-24 05:54:25.314648,0 days 00:00:03.011037,0.0,0.002299958642814372,2,96,"{'MAE_15m': 4809.18017578125, 'RMSE_15m': 4917.754365561582, 'sMAPE_15m': 198.8115841795639, 'R2_15m': -21.89976392038588, 'MAE_30m': 4763.45654296875, 'RMSE_30m': 4886.247640060827, 'sMAPE_30m': 198.81441657515012, 'R2_30m': -19.149701969022157, 'MAE_avg': 4786.318359375, 'RMSE_avg': 4902.001002811205, 'sMAPE_avg': 198.813000377357, 'R2_avg': -20.52473294470402}",4798.35986328125,4790.93115234375,COMPLETE
7,4799.93115234375,2026-02-24 05:54:25.315425,2026-02-24 05:54:26.611515,0 days 00:00:01.296090,0.3,0.0003364867144187955,1,64,,4799.93115234375,,PRUNED
8,4799.9462890625,2026-02-24 05:54:26.612121,2026-02-24 05:54:29.539363,0 days 00:00:02.927242,0.2,0.00019657448966046135,2,64,,4799.9462890625,,PRUNED
9,4800.056640625,2026-02-24 05:54:29.539966,2026-02-24 05:54:31.708302,0 days 00:00:02.168336,0.0,0.0001483039268456802,2,64,,4800.056640625,,PRUNED
