number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,params_rnn_type,params_rnn_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,4798.595947265625,2026-02-24 05:55:09.097051,2026-02-24 05:55:11.174799,0 days 00:00:02.077748,0.0,64,3,0.00018559980846490597,lstm,64,"{'MAE_15m': 4821.64697265625, 'RMSE_15m': 4929.9397562242075, 'sMAPE_15m': 199.88814200231587, 'R2_15m': -22.01338687247559, 'MAE_30m': 4775.544921875, 'RMSE_30m': 4898.03654539245, 'sMAPE_30m': 199.88015363208567, 'R2_30m': -19.24704782128067, 'MAE_avg': 4798.595947265625, 'RMSE_avg': 4913.988150808329, 'sMAPE_avg': 199.88414781720076, 'R2_avg': -20.63021734687813}",4799.83154296875,4799.396484375,COMPLETE
1,4797.2041015625,2026-02-24 05:55:11.175544,2026-02-24 05:55:13.847823,0 days 00:00:02.672279,0.3,96,7,0.000117115099555241,gru,96,"{'MAE_15m': 4820.4345703125, 'RMSE_15m': 4928.755420996258, 'sMAPE_15m': 199.78352153404722, 'R2_15m': -22.002331299204737, 'MAE_30m': 4773.9736328125, 'RMSE_30m': 4896.503242110639, 'sMAPE_30m': 199.74111671726868, 'R2_30m': -19.234372547334107, 'MAE_avg': 4797.2041015625, 'RMSE_avg': 4912.6293315534485, 'sMAPE_avg': 199.76231912565794, 'R2_avg': -20.618351923269422}",4799.30908203125,4798.5751953125,COMPLETE
2,4799.60888671875,2026-02-24 05:55:13.848627,2026-02-24 05:55:15.315303,0 days 00:00:01.466676,0.3,32,5,0.00024112898115291975,lstm,96,,4799.60888671875,,PRUNED
3,4799.75244140625,2026-02-24 05:55:15.315962,2026-02-24 05:55:16.734101,0 days 00:00:01.418139,0.2,32,7,0.0003023795012558478,gru,64,,4799.75244140625,,PRUNED
4,4791.391357421875,2026-02-24 05:55:16.734769,2026-02-24 05:55:18.849255,0 days 00:00:02.114486,0.3,96,7,0.0011069143219393448,lstm,64,"{'MAE_15m': 4815.72216796875, 'RMSE_15m': 4924.15150051255, 'sMAPE_15m': 199.3755623581632, 'R2_15m': -21.959379295647846, 'MAE_30m': 4767.060546875, 'RMSE_30m': 4889.761752887353, 'sMAPE_30m': 199.1317665970557, 'R2_30m': -19.17869290306886, 'MAE_avg': 4791.391357421875, 'RMSE_avg': 4906.956626699952, 'sMAPE_avg': 199.25366447760945, 'R2_avg': -20.569036099358353}",4796.50439453125,4793.263671875,COMPLETE
5,4797.70361328125,2026-02-24 05:55:18.850010,2026-02-24 05:55:20.448263,0 days 00:00:01.598253,0.3,64,7,0.0004983319160125723,gru,32,,4799.2666015625,4797.70361328125,PRUNED
6,4795.84326171875,2026-02-24 05:55:20.448884,2026-02-24 05:55:22.074193,0 days 00:00:01.625309,0.0,96,5,0.0021907142272152816,lstm,32,,4797.474609375,4795.84326171875,PRUNED
7,4797.76904296875,2026-02-24 05:55:22.074819,2026-02-24 05:55:23.473453,0 days 00:00:01.398634,0.3,96,7,0.0006261435181296009,gru,64,,4797.76904296875,,PRUNED
8,4789.1806640625,2026-02-24 05:55:23.474026,2026-02-24 05:55:26.290050,0 days 00:00:02.816024,0.3,64,7,0.002470540427082325,lstm,64,"{'MAE_15m': 4810.62109375, 'RMSE_15m': 4919.163140209928, 'sMAPE_15m': 198.9356325323164, 'R2_15m': -21.912885252825742, 'MAE_30m': 4767.740234375, 'RMSE_30m': 4890.424112487587, 'sMAPE_30m': 199.19161042240447, 'R2_30m': -19.18416136557641, 'MAE_avg': 4789.1806640625, 'RMSE_avg': 4904.793626348757, 'sMAPE_avg': 199.0636214773604, 'R2_avg': -20.548523309201077}",4795.2373046875,4791.63623046875,COMPLETE
9,4799.41259765625,2026-02-24 05:55:26.290845,2026-02-24 05:55:27.724281,0 days 00:00:01.433436,0.0,96,5,0.00025798509464504095,lstm,64,,4799.41259765625,,PRUNED
