number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,1175.9208679199219,2026-04-03 02:13:07.469326,2026-04-03 02:13:09.472500,0 days 00:00:02.003174,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[74, 23]","{'MAE_15m': 891.6979370117188, 'RMSE_15m': 1215.5144487006314, 'sMAPE_15m': 18.7432122710979, 'R2_15m': 0.6963419121881332, 'MAE_30m': 1460.143798828125, 'RMSE_30m': 1816.7185390147808, 'sMAPE_30m': 29.708641755985028, 'R2_30m': 0.32503216360125986, 'MAE_avg': 1175.9208679199219, 'RMSE_avg': 1516.1164938577062, 'sMAPE_avg': 24.225927013541465, 'R2_avg': 0.5106870378946966}",COMPLETE
1,1188.8050231933594,2026-04-03 02:13:09.476528,2026-04-03 02:13:12.868685,0 days 00:00:03.392157,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[415, 272]","{'MAE_15m': 960.3032836914062, 'RMSE_15m': 1265.0480722091156, 'sMAPE_15m': 19.82377640587129, 'R2_15m': 0.671088805223879, 'MAE_30m': 1417.3067626953125, 'RMSE_30m': 1788.7075641367428, 'sMAPE_30m': 29.082153917568913, 'R2_30m': 0.3456856404895773, 'MAE_avg': 1188.8050231933594, 'RMSE_avg': 1526.8778181729292, 'sMAPE_avg': 24.4529651617201, 'R2_avg': 0.5083872228567281}",COMPLETE
2,1150.7352905273438,2026-04-03 02:13:12.869975,2026-04-03 02:13:15.274395,0 days 00:00:02.404420,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[215, 170]","{'MAE_15m': 909.7626953125, 'RMSE_15m': 1241.6172920831925, 'sMAPE_15m': 18.61004884624683, 'R2_15m': 0.6831599499941777, 'MAE_30m': 1391.7078857421875, 'RMSE_30m': 1793.7554877964833, 'sMAPE_30m': 28.197433665124382, 'R2_30m': 0.3419873103171167, 'MAE_avg': 1150.7352905273438, 'RMSE_avg': 1517.686389939838, 'sMAPE_avg': 23.403741255685606, 'R2_avg': 0.5125736301556472}",COMPLETE
3,1199.5488586425781,2026-04-03 02:13:15.276295,2026-04-03 02:13:18.744859,0 days 00:00:03.468564,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[324, 174]","{'MAE_15m': 974.3002319335938, 'RMSE_15m': 1273.0886654118008, 'sMAPE_15m': 20.319027414994274, 'R2_15m': 0.6668944224064339, 'MAE_30m': 1424.7974853515625, 'RMSE_30m': 1791.526304579422, 'sMAPE_30m': 29.14122335832003, 'R2_30m': 0.34362180908627893, 'MAE_avg': 1199.5488586425781, 'RMSE_avg': 1532.3074849956115, 'sMAPE_avg': 24.73012538665715, 'R2_avg': 0.5052581157463565}",COMPLETE
4,1137.426025390625,2026-04-03 02:13:18.747403,2026-04-03 02:13:20.524614,0 days 00:00:01.777211,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[31, 17]","{'MAE_15m': 976.4769287109375, 'RMSE_15m': 1290.540148542462, 'sMAPE_15m': 20.292571586680094, 'R2_15m': 0.6576994261963894, 'MAE_30m': 1298.3751220703125, 'RMSE_30m': 1734.2359268565508, 'sMAPE_30m': 25.782687976828335, 'R2_30m': 0.3849305615667328, 'MAE_avg': 1137.426025390625, 'RMSE_avg': 1512.3880376995064, 'sMAPE_avg': 23.037629781754212, 'R2_avg': 0.5213149938815611}",COMPLETE
5,1329.0611572265625,2026-04-03 02:13:20.526974,2026-04-03 02:13:22.932719,0 days 00:00:02.405745,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[199, 199]","{'MAE_15m': 1121.4176025390625, 'RMSE_15m': 1429.678066908771, 'sMAPE_15m': 23.19739788532187, 'R2_15m': 0.5799111857969339, 'MAE_30m': 1536.7047119140625, 'RMSE_30m': 1862.7297844829775, 'sMAPE_30m': 32.02898549863117, 'R2_30m': 0.2904100499836937, 'MAE_avg': 1329.0611572265625, 'RMSE_avg': 1646.2039256958742, 'sMAPE_avg': 27.61319169197652, 'R2_avg': 0.4351606178903138}",COMPLETE
6,1172.3875122070312,2026-04-03 02:13:22.935951,2026-04-03 02:13:24.816468,0 days 00:00:01.880517,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[93, 131]","{'MAE_15m': 943.624755859375, 'RMSE_15m': 1286.0682330265374, 'sMAPE_15m': 19.03406759239702, 'R2_15m': 0.6600675392360154, 'MAE_30m': 1401.1502685546875, 'RMSE_30m': 1817.5443598437976, 'sMAPE_30m': 28.257473140870438, 'R2_30m': 0.3244184312530398, 'MAE_avg': 1172.3875122070312, 'RMSE_avg': 1551.8062964351675, 'sMAPE_avg': 23.645770366633727, 'R2_avg': 0.4922429852445276}",COMPLETE
7,1463.8331909179688,2026-04-03 02:13:24.820199,2026-04-03 02:13:27.092615,0 days 00:00:02.272416,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[199, 199]","{'MAE_15m': 1260.7208251953125, 'RMSE_15m': 1548.535033507476, 'sMAPE_15m': 26.48622693987459, 'R2_15m': 0.5071592126055019, 'MAE_30m': 1666.945556640625, 'RMSE_30m': 1951.6000486780072, 'sMAPE_30m': 35.091657548772965, 'R2_30m': 0.22108620919781818, 'MAE_avg': 1463.8331909179688, 'RMSE_avg': 1750.0675410927415, 'sMAPE_avg': 30.788942244323778, 'R2_avg': 0.36412271090166004}",COMPLETE
8,1181.0513000488281,2026-04-03 02:13:27.094247,2026-04-03 02:13:30.432916,0 days 00:00:03.338669,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[399, 399]","{'MAE_15m': 948.9780883789062, 'RMSE_15m': 1293.4459787714368, 'sMAPE_15m': 19.42908102860353, 'R2_15m': 0.6561561834276398, 'MAE_30m': 1413.12451171875, 'RMSE_30m': 1797.9028755747624, 'sMAPE_30m': 28.780870136092446, 'R2_30m': 0.33894099706131053, 'MAE_avg': 1181.0513000488281, 'RMSE_avg': 1545.6744271730995, 'sMAPE_avg': 24.10497558234799, 'R2_avg': 0.4975485902444752}",COMPLETE
9,1164.6078491210938,2026-04-03 02:13:30.434859,2026-04-03 02:13:32.388272,0 days 00:00:01.953413,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[84, 52]","{'MAE_15m': 977.93798828125, 'RMSE_15m': 1325.4064470946262, 'sMAPE_15m': 19.891688360251784, 'R2_15m': 0.6389538096640208, 'MAE_30m': 1351.2777099609375, 'RMSE_30m': 1783.492080161838, 'sMAPE_30m': 27.010293949053178, 'R2_30m': 0.3494956960578116, 'MAE_avg': 1164.6078491210938, 'RMSE_avg': 1554.449263628232, 'sMAPE_avg': 23.45099115465248, 'R2_avg': 0.4942247528609162}",COMPLETE
