number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,4321.4522705078125,2026-02-24 05:56:40.491039,2026-02-24 05:56:41.524109,0 days 00:00:01.033070,0.2,64,3,0.0011114989443094978,"{'MAE_15m': 4756.595703125, 'RMSE_15m': 5668.364843585847, 'sMAPE_15m': 195.17243379502224, 'R2_15m': -2.367051364727521, 'MAE_30m': 3886.308837890625, 'RMSE_30m': 4603.197367048257, 'sMAPE_30m': 196.73495229654478, 'R2_30m': -2.4750088210514796, 'MAE_avg': 4321.4522705078125, 'RMSE_avg': 5135.781105317052, 'sMAPE_avg': 195.9536930457835, 'R2_avg': -2.4210300928895006}",4351.11328125,4344.76611328125,COMPLETE
1,4352.78564453125,2026-02-24 05:56:41.524838,2026-02-24 05:56:42.080702,0 days 00:00:00.555864,0.2,64,3,0.0002692655251486473,,4352.78564453125,,PRUNED
2,4352.833984375,2026-02-24 05:56:42.081283,2026-02-24 05:56:42.649156,0 days 00:00:00.567873,0.3,32,7,0.000117115099555241,,4352.833984375,,PRUNED
3,4353.67919921875,2026-02-24 05:56:42.649759,2026-02-24 05:56:43.214079,0 days 00:00:00.564320,0.3,32,5,0.00044684675025045853,,4353.67919921875,,PRUNED
4,4353.61376953125,2026-02-24 05:56:43.214672,2026-02-24 05:56:43.764438,0 days 00:00:00.549766,0.3,64,3,0.00018752209455786411,,4353.61376953125,,PRUNED
5,4351.49072265625,2026-02-24 05:56:43.765015,2026-02-24 05:56:44.507529,0 days 00:00:00.742514,0.2,32,7,0.0003023795012558478,,4352.521484375,4351.49072265625,PRUNED
6,2764.373046875,2026-02-24 05:56:44.508135,2026-02-24 05:56:45.556961,0 days 00:00:01.048826,0.2,96,7,0.002869139536545374,"{'MAE_15m': 3004.835693359375, 'RMSE_15m': 4096.884425999835, 'sMAPE_15m': 71.323749466992, 'R2_15m': -0.7589019451975034, 'MAE_30m': 2523.910400390625, 'RMSE_30m': 3445.7364960193922, 'sMAPE_30m': 77.47097899015738, 'R2_30m': -0.9471563280596291, 'MAE_avg': 2764.373046875, 'RMSE_avg': 3771.3104610096134, 'sMAPE_avg': 74.39736422857469, 'R2_avg': -0.8530291366285663}",4323.77880859375,4080.34521484375,COMPLETE
7,4353.8525390625,2026-02-24 05:56:45.557686,2026-02-24 05:56:46.080758,0 days 00:00:00.523072,0.0,32,3,0.0001483039268456802,,4353.8525390625,,PRUNED
8,4353.03515625,2026-02-24 05:56:46.081318,2026-02-24 05:56:46.620458,0 days 00:00:00.539140,0.3,32,7,0.0004983319160125723,,4353.03515625,,PRUNED
9,4352.5361328125,2026-02-24 05:56:46.621046,2026-02-24 05:56:47.136026,0 days 00:00:00.514980,0.0,96,5,0.00014433402406338895,,4352.5361328125,,PRUNED
