number,value,datetime_start,datetime_complete,duration,params_dropout,params_gru_units,params_lr,params_lstm_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,4349.7296142578125,2026-02-24 05:56:11.667045,2026-02-24 05:56:15.499765,0 days 00:00:03.832720,0.2,64,0.0011114989443094978,32,"{'MAE_15m': 4792.689453125, 'RMSE_15m': 5702.031743159626, 'sMAPE_15m': 199.44410789673407, 'R2_15m': -2.4071676262219386, 'MAE_30m': 3906.769775390625, 'RMSE_30m': 4621.758107041086, 'sMAPE_30m': 199.54441636803168, 'R2_30m': -2.503088811846311, 'MAE_avg': 4349.7296142578125, 'RMSE_avg': 5161.894925100356, 'sMAPE_avg': 199.49426213238286, 'R2_avg': -2.455128219034125}",4352.923828125,4351.6279296875,COMPLETE
1,4353.54248046875,2026-02-24 05:56:15.500554,2026-02-24 05:56:17.724003,0 days 00:00:02.223449,0.2,64,0.0002692655251486473,32,,4353.54248046875,,PRUNED
2,4353.53515625,2026-02-24 05:56:17.724617,2026-02-24 05:56:19.977538,0 days 00:00:02.252921,0.3,32,0.000117115099555241,96,,4353.53515625,,PRUNED
3,4353.31201171875,2026-02-24 05:56:19.978153,2026-02-24 05:56:22.233142,0 days 00:00:02.254989,0.3,32,0.00044684675025045853,64,,4353.31201171875,,PRUNED
4,4353.27880859375,2026-02-24 05:56:22.233863,2026-02-24 05:56:25.253478,0 days 00:00:03.019615,0.3,64,0.00018752209455786411,32,,4353.27880859375,,PRUNED
5,4353.2978515625,2026-02-24 05:56:25.254096,2026-02-24 05:56:27.551224,0 days 00:00:02.297128,0.2,32,0.0003023795012558478,96,,4353.2978515625,,PRUNED
6,4341.531005859375,2026-02-24 05:56:27.551837,2026-02-24 05:56:30.523373,0 days 00:00:02.971536,0.2,96,0.002869139536545374,96,"{'MAE_15m': 4785.42626953125, 'RMSE_15m': 5695.883250207996, 'sMAPE_15m': 198.5471371571441, 'R2_15m': -2.3998234384153694, 'MAE_30m': 3897.6357421875, 'RMSE_30m': 4614.0101863780055, 'sMAPE_30m': 198.24351631742, 'R2_30m': -2.4913535338985677, 'MAE_avg': 4341.531005859375, 'RMSE_avg': 5154.946718293, 'sMAPE_avg': 198.39532673728206, 'R2_avg': -2.4455884861569688}",4348.732421875,4342.87451171875,COMPLETE
7,4353.43701171875,2026-02-24 05:56:30.524089,2026-02-24 05:56:32.693328,0 days 00:00:02.169239,0.0,32,0.0001483039268456802,32,,4353.43701171875,,PRUNED
8,4352.03564453125,2026-02-24 05:56:32.693951,2026-02-24 05:56:35.809169,0 days 00:00:03.115218,0.3,32,0.0004983319160125723,96,,4353.1162109375,4352.03564453125,PRUNED
9,4352.04296875,2026-02-24 05:56:35.809756,2026-02-24 05:56:38.249197,0 days 00:00:02.439441,0.0,96,0.00014433402406338895,64,,4352.60693359375,4352.04296875,PRUNED
