number,value,datetime_start,datetime_complete,duration,params_dropout,params_lr,params_num_layers,params_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,4344.842041015625,2026-02-24 05:55:44.500068,2026-02-24 05:55:47.553860,0 days 00:00:03.053792,0.0,0.00190303683817358,2,64,"{'MAE_15m': 4790.21240234375, 'RMSE_15m': 5699.888595402545, 'sMAPE_15m': 199.14046213396418, 'R2_15m': -2.404606031018038, 'MAE_30m': 3899.4716796875, 'RMSE_30m': 4615.575587074704, 'sMAPE_30m': 198.5040470049897, 'R2_30m': -2.4937228700124976, 'MAE_avg': 4344.842041015625, 'RMSE_avg': 5157.732091238625, 'sMAPE_avg': 198.82225456947694, 'R2_avg': -2.449164450515268}",4351.63916015625,4348.53466796875,COMPLETE
1,4353.48486328125,2026-02-24 05:55:47.554648,2026-02-24 05:55:49.760638,0 days 00:00:02.205990,0.0,0.00018659959624904942,2,64,,4353.48486328125,,PRUNED
2,4352.93603515625,2026-02-24 05:55:49.761216,2026-02-24 05:55:51.933693,0 days 00:00:02.172477,0.0,0.0003476649150592621,1,64,,4352.93603515625,,PRUNED
3,4353.43603515625,2026-02-24 05:55:51.934283,2026-02-24 05:55:54.287106,0 days 00:00:02.352823,0.3,0.0001786013788939711,2,64,,4353.43603515625,,PRUNED
4,4353.169921875,2026-02-24 05:55:54.287723,2026-02-24 05:55:56.558849,0 days 00:00:02.271126,0.3,0.00044684675025045853,2,96,,4353.169921875,,PRUNED
5,4353.0546875,2026-02-24 05:55:56.559419,2026-02-24 05:55:58.805393,0 days 00:00:02.245974,0.2,0.000586412916969653,2,64,,4353.0546875,,PRUNED
6,4339.4132080078125,2026-02-24 05:55:58.806021,2026-02-24 05:56:03.012314,0 days 00:00:04.206293,0.0,0.002299958642814372,2,96,"{'MAE_15m': 4782.08349609375, 'RMSE_15m': 5693.0575264966365, 'sMAPE_15m': 198.13691927705673, 'R2_15m': -2.3964506965632086, 'MAE_30m': 3896.742919921875, 'RMSE_30m': 4613.270856995067, 'sMAPE_30m': 198.11674007516513, 'R2_30m': -2.4902343939454448, 'MAE_avg': 4339.4132080078125, 'RMSE_avg': 5153.164191745852, 'sMAPE_avg': 198.12682967611093, 'R2_avg': -2.4433425452543265}",4349.02490234375,4343.27783203125,COMPLETE
7,4353.572265625,2026-02-24 05:56:03.013121,2026-02-24 05:56:04.464016,0 days 00:00:01.450895,0.3,0.0003364867144187955,1,64,,4353.572265625,,PRUNED
8,4353.42333984375,2026-02-24 05:56:04.464714,2026-02-24 05:56:07.016342,0 days 00:00:02.551628,0.2,0.00019657448966046135,2,64,,4353.42333984375,,PRUNED
9,4353.6142578125,2026-02-24 05:56:07.016994,2026-02-24 05:56:09.293151,0 days 00:00:02.276157,0.0,0.0001483039268456802,2,64,,4353.6142578125,,PRUNED
