number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,params_rnn_type,params_rnn_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,4351.0723876953125,2026-02-24 05:56:47.691240,2026-02-24 05:56:50.509475,0 days 00:00:02.818235,0.0,64,3,0.00018559980846490597,lstm,64,"{'MAE_15m': 4794.8056640625, 'RMSE_15m': 5703.751923076599, 'sMAPE_15m': 199.70853270742856, 'R2_15m': -2.4092232476291886, 'MAE_30m': 3907.339111328125, 'RMSE_30m': 4622.243394716466, 'sMAPE_30m': 199.6236705759622, 'R2_30m': -2.5038243882001905, 'MAE_avg': 4351.0723876953125, 'RMSE_avg': 5162.997658896533, 'sMAPE_avg': 199.66610164169538, 'R2_avg': -2.4565238179146895}",4353.07470703125,4352.267578125,COMPLETE
1,4349.6644287109375,2026-02-24 05:56:50.510238,2026-02-24 05:56:52.673478,0 days 00:00:02.163240,0.3,96,7,0.000117115099555241,gru,96,"{'MAE_15m': 4792.5224609375, 'RMSE_15m': 5701.789894410351, 'sMAPE_15m': 199.42043279654655, 'R2_15m': -2.4068783653048795, 'MAE_30m': 3906.806396484375, 'RMSE_30m': 4621.780609245749, 'sMAPE_30m': 199.5462637041433, 'R2_30m': -2.5031225058374793, 'MAE_avg': 4349.6644287109375, 'RMSE_avg': 5161.78525182805, 'sMAPE_avg': 199.48334825034493, 'R2_avg': -2.455000435571179}",4352.712890625,4351.53076171875,COMPLETE
2,4353.1796875,2026-02-24 05:56:52.674232,2026-02-24 05:56:54.161480,0 days 00:00:01.487248,0.3,32,5,0.00024112898115291975,lstm,96,,4353.1796875,,PRUNED
3,4353.47314453125,2026-02-24 05:56:54.162133,2026-02-24 05:56:55.613618,0 days 00:00:01.451485,0.2,32,7,0.0003023795012558478,gru,64,,4353.47314453125,,PRUNED
4,4345.9893798828125,2026-02-24 05:56:55.614346,2026-02-24 05:56:57.775922,0 days 00:00:02.161576,0.3,96,7,0.0011069143219393448,lstm,64,"{'MAE_15m': 4788.33251953125, 'RMSE_15m': 5698.304660159897, 'sMAPE_15m': 198.90819665100852, 'R2_15m': -2.402714751957703, 'MAE_30m': 3903.646240234375, 'RMSE_30m': 4619.104675150802, 'sMAPE_30m': 199.09835876910208, 'R2_30m': -2.499067318456799, 'MAE_avg': 4345.9893798828125, 'RMSE_avg': 5158.704667655349, 'sMAPE_avg': 199.0032777100553, 'R2_avg': -2.450891035207251}",4350.42919921875,4347.70654296875,COMPLETE
5,4349.8974609375,2026-02-24 05:56:57.776658,2026-02-24 05:56:59.415523,0 days 00:00:01.638865,0.3,64,7,0.0004983319160125723,gru,32,,4351.29345703125,4349.8974609375,PRUNED
6,4348.47216796875,2026-02-24 05:56:59.416132,2026-02-24 05:57:01.018262,0 days 00:00:01.602130,0.0,96,5,0.0021907142272152816,lstm,32,,4350.40185546875,4348.47216796875,PRUNED
7,4351.05029296875,2026-02-24 05:57:01.018910,2026-02-24 05:57:03.181793,0 days 00:00:02.162883,0.3,96,7,0.0006261435181296009,gru,64,,4351.05029296875,,PRUNED
8,4343.9609375,2026-02-24 05:57:03.182388,2026-02-24 05:57:05.478442,0 days 00:00:02.296054,0.3,64,7,0.002470540427082325,lstm,64,"{'MAE_15m': 4786.61474609375, 'RMSE_15m': 5696.864049632921, 'sMAPE_15m': 198.69567100144144, 'R2_15m': -2.400994455339107, 'MAE_30m': 3901.30712890625, 'RMSE_30m': 4617.127028791822, 'sMAPE_30m': 198.76507823788558, 'R2_30m': -2.4960718220072127, 'MAE_avg': 4343.9609375, 'RMSE_avg': 5156.995539212372, 'sMAPE_avg': 198.7303746196635, 'R2_avg': -2.44853313867316}",4349.072265625,4346.29638671875,COMPLETE
9,4352.08544921875,2026-02-24 05:57:05.479244,2026-02-24 05:57:06.923530,0 days 00:00:01.444286,0.0,96,5,0.00025798509464504095,lstm,64,,4352.08544921875,,PRUNED
