number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,1233.7863159179688,2026-04-03 02:13:45.526860,2026-04-03 02:13:47.736096,0 days 00:00:02.209236,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[46, 51]","{'MAE_15m': 1076.097412109375, 'RMSE_15m': 2003.4151466932658, 'sMAPE_15m': 27.202251689159553, 'R2_15m': 0.43855419289918596, 'MAE_30m': 1391.4752197265625, 'RMSE_30m': 2345.848460578816, 'sMAPE_30m': 36.52948696487399, 'R2_30m': 0.22761282957226514, 'MAE_avg': 1233.7863159179688, 'RMSE_avg': 2174.631803636041, 'sMAPE_avg': 31.86586932701677, 'R2_avg': 0.33308351123572555}",COMPLETE
1,1204.9381713867188,2026-04-03 02:13:47.748383,2026-04-03 02:13:52.053363,0 days 00:00:04.304980,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[514, 472]","{'MAE_15m': 1079.708251953125, 'RMSE_15m': 2067.914045602476, 'sMAPE_15m': 26.434971548273765, 'R2_15m': 0.4018213630198466, 'MAE_30m': 1330.1680908203125, 'RMSE_30m': 2307.634394786141, 'sMAPE_30m': 34.154601610799304, 'R2_30m': 0.2525724112775668, 'MAE_avg': 1204.9381713867188, 'RMSE_avg': 2187.7742201943083, 'sMAPE_avg': 30.294786579536535, 'R2_avg': 0.3271968871487067}",COMPLETE
2,1200.0078125,2026-04-03 02:13:52.056316,2026-04-03 02:13:54.525237,0 days 00:00:02.468921,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[181, 184]","{'MAE_15m': 1081.6600341796875, 'RMSE_15m': 2073.8940426164495, 'sMAPE_15m': 26.11310505662228, 'R2_15m': 0.3983567155882961, 'MAE_30m': 1318.3555908203125, 'RMSE_30m': 2297.122983211826, 'sMAPE_30m': 33.73052843157262, 'R2_30m': 0.2593660618264628, 'MAE_avg': 1200.0078125, 'RMSE_avg': 2185.508512914138, 'sMAPE_avg': 29.921816744097452, 'R2_avg': 0.32886138870737947}",COMPLETE
3,1216.0953369140625,2026-04-03 02:13:54.538129,2026-04-03 02:13:58.259863,0 days 00:00:03.721734,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[310, 281]","{'MAE_15m': 1092.1539306640625, 'RMSE_15m': 2065.5684447628455, 'sMAPE_15m': 26.917327737342195, 'R2_15m': 0.40317761658481277, 'MAE_30m': 1340.0367431640625, 'RMSE_30m': 2319.788029109556, 'sMAPE_30m': 34.3937594061018, 'R2_30m': 0.24467867364067175, 'MAE_avg': 1216.0953369140625, 'RMSE_avg': 2192.678236936201, 'sMAPE_avg': 30.655543571722, 'R2_avg': 0.32392814511274226}",COMPLETE
4,1235.0145874023438,2026-04-03 02:13:58.262052,2026-04-03 02:14:00.138250,0 days 00:00:01.876198,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[42, 20]","{'MAE_15m': 1134.343505859375, 'RMSE_15m': 2197.35750391237, 'sMAPE_15m': 27.271104816797642, 'R2_15m': 0.3245901865836659, 'MAE_30m': 1335.6856689453125, 'RMSE_30m': 2304.295011494839, 'sMAPE_30m': 34.5801809423777, 'R2_30m': 0.2547340050436504, 'MAE_avg': 1235.0145874023438, 'RMSE_avg': 2250.8262577036044, 'sMAPE_avg': 30.92564287958767, 'R2_avg': 0.28966209581365815}",COMPLETE
5,1409.0697631835938,2026-04-03 02:14:00.151748,2026-04-03 02:14:02.622573,0 days 00:00:02.470825,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[199, 199]","{'MAE_15m': 1278.142333984375, 'RMSE_15m': 2117.5821117491523, 'sMAPE_15m': 34.9137250841163, 'R2_15m': 0.3727416156561748, 'MAE_30m': 1539.9971923828125, 'RMSE_30m': 2348.29832006072, 'sMAPE_30m': 42.49486480453035, 'R2_30m': 0.22599872959137401, 'MAE_avg': 1409.0697631835938, 'RMSE_avg': 2232.940215904936, 'sMAPE_avg': 38.70429494432332, 'R2_avg': 0.2993701726237744}",COMPLETE
6,1175.7659301757812,2026-04-03 02:14:02.634604,2026-04-03 02:14:04.381717,0 days 00:00:01.747113,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[41, 57]","{'MAE_15m': 1070.918212890625, 'RMSE_15m': 2056.685561771658, 'sMAPE_15m': 26.067777760468445, 'R2_15m': 0.4082997591379761, 'MAE_30m': 1280.6136474609375, 'RMSE_30m': 2287.4196160739725, 'sMAPE_30m': 32.11212237053145, 'R2_30m': 0.26560982044475845, 'MAE_avg': 1175.7659301757812, 'RMSE_avg': 2172.052588922815, 'sMAPE_avg': 29.08995006549995, 'R2_avg': 0.3369547897913673}",COMPLETE
7,1399.242431640625,2026-04-03 02:14:04.386656,2026-04-03 02:14:06.453436,0 days 00:00:02.066780,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[199, 199]","{'MAE_15m': 1293.84228515625, 'RMSE_15m': 2133.536969447682, 'sMAPE_15m': 35.37861267910773, 'R2_15m': 0.3632539704511817, 'MAE_30m': 1504.642578125, 'RMSE_30m': 2345.9370196149766, 'sMAPE_30m': 41.07681003706438, 'R2_30m': 0.2275545588347695, 'MAE_avg': 1399.242431640625, 'RMSE_avg': 2239.7369945313294, 'sMAPE_avg': 38.227711358086054, 'R2_avg': 0.2954042646429756}",COMPLETE
8,1224.4672241210938,2026-04-03 02:14:06.455052,2026-04-03 02:14:09.720706,0 days 00:00:03.265654,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[399, 399]","{'MAE_15m': 1088.160400390625, 'RMSE_15m': 2075.650500445583, 'sMAPE_15m': 26.7130058042532, 'R2_15m': 0.39733719538701917, 'MAE_30m': 1360.7740478515625, 'RMSE_30m': 2325.7312828441723, 'sMAPE_30m': 35.225981922331734, 'R2_30m': 0.24080351313236392, 'MAE_avg': 1224.4672241210938, 'RMSE_avg': 2200.6908916448774, 'sMAPE_avg': 30.969493863292467, 'R2_avg': 0.31907035425969155}",COMPLETE
9,1210.1838989257812,2026-04-03 02:14:09.722436,2026-04-03 02:14:11.829380,0 days 00:00:02.106944,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[92, 62]","{'MAE_15m': 1088.4490966796875, 'RMSE_15m': 2072.4335936285147, 'sMAPE_15m': 26.657506345607622, 'R2_15m': 0.3992038104221547, 'MAE_30m': 1331.918701171875, 'RMSE_30m': 2311.0258544637704, 'sMAPE_30m': 34.23033213863213, 'R2_30m': 0.25037388965895246, 'MAE_avg': 1210.1838989257812, 'RMSE_avg': 2191.7297240461426, 'sMAPE_avg': 30.443919242119875, 'R2_avg': 0.3247888500405536}",COMPLETE
