number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,0.10619576275348663,2026-02-23 03:37:15.646485,2026-02-23 03:37:16.464086,0 days 00:00:00.817601,0.2,64,3,0.0011114989443094978,"{'MAE_15m': 0.07832653820514679, 'RMSE_15m': 0.0972460859275335, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.13406498730182648, 'RMSE_30m': 0.16077713870287055, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.10619576275348663, 'RMSE_avg': 0.12901161231520203, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.23729121685028076,,COMPLETE
1,0.25812453031539917,2026-02-23 03:37:16.464650,2026-02-23 03:37:17.037971,0 days 00:00:00.573321,0.2,64,3,0.0002692655251486473,,0.25812453031539917,,PRUNED
2,0.5030709505081177,2026-02-23 03:37:17.038465,2026-02-23 03:37:17.620970,0 days 00:00:00.582505,0.3,32,7,0.000117115099555241,,0.5030709505081177,,PRUNED
3,0.1732053905725479,2026-02-23 03:37:17.621464,2026-02-23 03:37:18.375829,0 days 00:00:00.754365,0.3,32,5,0.00044684675025045853,"{'MAE_15m': 0.1924050748348236, 'RMSE_15m': 0.27376210155476355, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.15400570631027222, 'RMSE_30m': 0.17555017117647057, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.1732053905725479, 'RMSE_avg': 0.22465613636561704, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.22493579983711243,,COMPLETE
4,0.2671380937099457,2026-02-23 03:37:18.376350,2026-02-23 03:37:18.945450,0 days 00:00:00.569100,0.3,64,3,0.00018752209455786411,,0.2671380937099457,,PRUNED
5,0.10478079691529274,2026-02-23 03:37:18.945986,2026-02-23 03:37:19.700485,0 days 00:00:00.754499,0.2,32,7,0.0003023795012558478,"{'MAE_15m': 0.13294252753257751, 'RMSE_15m': 0.15411325586818791, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.07661906629800797, 'RMSE_30m': 0.09967768421248449, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.10478079691529274, 'RMSE_avg': 0.1268954700403362, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.14211003482341766,,COMPLETE
6,0.3577629327774048,2026-02-23 03:37:19.701121,2026-02-23 03:37:20.264246,0 days 00:00:00.563125,0.2,96,7,0.002869139536545374,,0.3577629327774048,,PRUNED
7,0.16642605513334274,2026-02-23 03:37:20.264777,2026-02-23 03:37:21.296584,0 days 00:00:01.031807,0.0,32,3,0.0001483039268456802,"{'MAE_15m': 0.15091180801391602, 'RMSE_15m': 0.1889397064759042, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.18194030225276947, 'RMSE_30m': 0.20099964917505783, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.16642605513334274, 'RMSE_avg': 0.19496967782548102, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.21852517127990723,0.1825471669435501,COMPLETE
8,0.24784715473651886,2026-02-23 03:37:21.297113,2026-02-23 03:37:21.863713,0 days 00:00:00.566600,0.3,32,7,0.0004983319160125723,,0.24784715473651886,,PRUNED
9,0.2681639492511749,2026-02-23 03:37:21.864285,2026-02-23 03:37:22.391911,0 days 00:00:00.527626,0.0,96,5,0.00014433402406338895,,0.2681639492511749,,PRUNED
