number,value,datetime_start,datetime_complete,duration,params_dropout,params_gru_units,params_lr,params_lstm_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,0.01358243077993393,2026-02-23 03:36:42.731337,2026-02-23 03:36:45.837665,0 days 00:00:03.106328,0.2,64,0.0011114989443094978,32,"{'MAE_15m': 0.011170605197548866, 'RMSE_15m': 0.012010408200124586, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.015994256362318993, 'RMSE_30m': 0.02220419379536992, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.01358243077993393, 'RMSE_avg': 0.017107300997747252, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.07442208379507065,0.02275773510336876,COMPLETE
1,0.04852566495537758,2026-02-23 03:36:45.838235,2026-02-23 03:36:50.382677,0 days 00:00:04.544442,0.2,64,0.0002692655251486473,32,,0.06116197258234024,0.04852566495537758,PRUNED
2,0.07572013884782791,2026-02-23 03:36:50.383282,2026-02-23 03:36:53.165176,0 days 00:00:02.781894,0.3,32,0.000117115099555241,96,,0.07572013884782791,,PRUNED
3,0.0438374076038599,2026-02-23 03:36:53.165670,2026-02-23 03:36:56.099336,0 days 00:00:02.933666,0.3,32,0.00044684675025045853,64,"{'MAE_15m': 0.043546296656131744, 'RMSE_15m': 0.052144946470814274, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.04412851855158806, 'RMSE_30m': 0.04713461923100324, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.0438374076038599, 'RMSE_avg': 0.049639782850908754, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.048057280480861664,,COMPLETE
4,0.17988169193267822,2026-02-23 03:36:56.099910,2026-02-23 03:36:58.442644,0 days 00:00:02.342734,0.3,64,0.00018752209455786411,32,,0.17988169193267822,,PRUNED
5,0.07091926783323288,2026-02-23 03:36:58.443154,2026-02-23 03:37:00.773293,0 days 00:00:02.330139,0.2,32,0.0003023795012558478,96,,0.07091926783323288,,PRUNED
6,0.06128154322504997,2026-02-23 03:37:00.773805,2026-02-23 03:37:03.069447,0 days 00:00:02.295642,0.2,96,0.002869139536545374,96,,0.06128154322504997,,PRUNED
7,0.17413687705993652,2026-02-23 03:37:03.069989,2026-02-23 03:37:05.248311,0 days 00:00:02.178322,0.0,32,0.0001483039268456802,32,,0.17413687705993652,,PRUNED
8,0.03637922368943691,2026-02-23 03:37:05.248820,2026-02-23 03:37:10.275157,0 days 00:00:05.026337,0.3,32,0.0004983319160125723,96,"{'MAE_15m': 0.04111438989639282, 'RMSE_15m': 0.06253830659684709, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.031644057482481, 'RMSE_30m': 0.03494961264799654, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.03637922368943691, 'RMSE_avg': 0.04874395962242181, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.04566249996423721,,COMPLETE
9,0.10595095157623291,2026-02-23 03:37:10.275717,2026-02-23 03:37:13.054607,0 days 00:00:02.778890,0.0,96,0.00014433402406338895,64,,0.10595095157623291,,PRUNED
