number,value,datetime_start,datetime_complete,duration,params_dropout,params_lr,params_num_layers,params_units,user_attrs_val_metrics,system_attrs_completed_rung_0,state
0,0.024073130451142788,2026-02-23 03:36:15.778960,2026-02-23 03:36:18.569355,0 days 00:00:02.790395,0.0,0.00190303683817358,2,64,"{'MAE_15m': 0.03609847277402878, 'RMSE_15m': 0.03761530127703341, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.012047788128256798, 'RMSE_30m': 0.013857655330019479, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.024073130451142788, 'RMSE_avg': 0.025736478303526444, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.024073127657175064,COMPLETE
1,0.04493032023310661,2026-02-23 03:36:18.570128,2026-02-23 03:36:20.800416,0 days 00:00:02.230288,0.0,0.00018659959624904942,2,64,,0.04493032023310661,PRUNED
2,0.08965537697076797,2026-02-23 03:36:20.800939,2026-02-23 03:36:22.139588,0 days 00:00:01.338649,0.0,0.0003476649150592621,1,64,,0.08965537697076797,PRUNED
3,0.11053100973367691,2026-02-23 03:36:22.140114,2026-02-23 03:36:24.365827,0 days 00:00:02.225713,0.3,0.0001786013788939711,2,64,,0.11053100973367691,PRUNED
4,0.06123175472021103,2026-02-23 03:36:24.366314,2026-02-23 03:36:28.833299,0 days 00:00:04.466985,0.3,0.00044684675025045853,2,96,,0.06123175472021103,PRUNED
5,0.0484345480799675,2026-02-23 03:36:28.833945,2026-02-23 03:36:31.764372,0 days 00:00:02.930427,0.2,0.000586412916969653,2,64,,0.0484345480799675,PRUNED
6,0.12593737244606018,2026-02-23 03:36:31.764872,2026-02-23 03:36:34.249574,0 days 00:00:02.484702,0.0,0.002299958642814372,2,96,,0.12593737244606018,PRUNED
7,0.13397063314914703,2026-02-23 03:36:34.250126,2026-02-23 03:36:35.662031,0 days 00:00:01.411905,0.3,0.0003364867144187955,1,64,,0.13397063314914703,PRUNED
8,0.07798445224761963,2026-02-23 03:36:35.662532,2026-02-23 03:36:38.015317,0 days 00:00:02.352785,0.2,0.00019657448966046135,2,64,,0.07798445224761963,PRUNED
9,0.060383476316928864,2026-02-23 03:36:38.015793,2026-02-23 03:36:40.304001,0 days 00:00:02.288208,0.0,0.0001483039268456802,2,64,,0.060383476316928864,PRUNED
