number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,params_rnn_type,params_rnn_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,0.06436734832823277,2026-02-23 03:37:23.015531,2026-02-23 03:37:24.763357,0 days 00:00:01.747826,0.0,64,3,0.00018559980846490597,lstm,64,"{'MAE_15m': 0.06755372881889343, 'RMSE_15m': 0.13934941054757768, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.0611809678375721, 'RMSE_30m': 0.09262012060340422, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.06436734832823277, 'RMSE_avg': 0.11598476557549095, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.06867369264364243,,COMPLETE
1,0.16223490238189697,2026-02-23 03:37:24.763884,2026-02-23 03:37:26.213775,0 days 00:00:01.449891,0.3,96,7,0.000117115099555241,gru,96,,0.16223490238189697,,PRUNED
2,0.1258099377155304,2026-02-23 03:37:26.214254,2026-02-23 03:37:27.710407,0 days 00:00:01.496153,0.3,32,5,0.00024112898115291975,lstm,96,,0.1258099377155304,,PRUNED
3,0.2534567713737488,2026-02-23 03:37:27.710917,2026-02-23 03:37:29.143122,0 days 00:00:01.432205,0.2,32,7,0.0003023795012558478,gru,64,,0.2534567713737488,,PRUNED
4,0.12757715582847595,2026-02-23 03:37:29.143632,2026-02-23 03:37:30.612776,0 days 00:00:01.469144,0.3,96,7,0.0011069143219393448,lstm,64,,0.12757715582847595,,PRUNED
5,0.27370262145996094,2026-02-23 03:37:30.613298,2026-02-23 03:37:33.723687,0 days 00:00:03.110389,0.3,64,7,0.0004983319160125723,gru,32,,0.27370262145996094,,PRUNED
6,0.020670052617788315,2026-02-23 03:37:33.724223,2026-02-23 03:37:36.389176,0 days 00:00:02.664953,0.0,96,5,0.0021907142272152816,lstm,32,"{'MAE_15m': 0.018319707363843918, 'RMSE_15m': 0.02503554515302937, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.023020397871732712, 'RMSE_30m': 0.025587038615243793, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.020670052617788315, 'RMSE_avg': 0.025311291884136583, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.08025376498699188,0.03213704004883766,COMPLETE
7,0.17048192024230957,2026-02-23 03:37:36.389736,2026-02-23 03:37:38.088209,0 days 00:00:01.698473,0.3,96,7,0.0006261435181296009,gru,64,,0.17048192024230957,,PRUNED
8,0.033580929040908813,2026-02-23 03:37:38.088809,2026-02-23 03:37:39.892431,0 days 00:00:01.803622,0.3,64,7,0.002470540427082325,lstm,64,,0.06584420055150986,0.033580929040908813,PRUNED
9,0.09057895839214325,2026-02-23 03:37:39.892961,2026-02-23 03:37:41.368794,0 days 00:00:01.475833,0.0,96,5,0.00025798509464504095,lstm,64,,0.09057895839214325,,PRUNED
