number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,17667.4609375,2026-02-24 05:58:14.655490,2026-02-24 05:58:15.284912,0 days 00:00:00.629422,0.2,64,3,0.0011114989443094978,"{'MAE_15m': 25172.107421875, 'RMSE_15m': 60116.91861697504, 'sMAPE_15m': 199.9994969223164, 'R2_15m': -0.21257074920122432, 'MAE_30m': 10162.814453125, 'RMSE_30m': 33705.387106514594, 'sMAPE_30m': 200.0, 'R2_30m': -0.1000244424577017, 'MAE_avg': 17667.4609375, 'RMSE_avg': 46911.15286174482, 'sMAPE_avg': 199.99974846115822, 'R2_avg': -0.156297595829463}",17667.564453125,,COMPLETE
1,17667.25,2026-02-24 05:58:15.285600,2026-02-24 05:58:16.036816,0 days 00:00:00.751216,0.2,64,3,0.0002692655251486473,"{'MAE_15m': 25172.01171875, 'RMSE_15m': 60116.844095477936, 'sMAPE_15m': 199.99943651901205, 'R2_15m': -0.21256771952072095, 'MAE_30m': 10162.48828125, 'RMSE_30m': 33704.91999693813, 'sMAPE_30m': 199.99990215250358, 'R2_30m': -0.09999397550696609, 'MAE_avg': 17667.25, 'RMSE_avg': 46910.88204620803, 'sMAPE_avg': 199.9996693357578, 'R2_avg': -0.15628084751384352}",17667.259765625,,COMPLETE
2,17667.14599609375,2026-02-24 05:58:16.037546,2026-02-24 05:58:16.868638,0 days 00:00:00.831092,0.3,32,7,0.000117115099555241,"{'MAE_15m': 25171.904296875, 'RMSE_15m': 60116.648209959276, 'sMAPE_15m': 199.9992618014529, 'R2_15m': -0.21255978618804416, 'MAE_30m': 10162.3876953125, 'RMSE_30m': 33704.69593394962, 'sMAPE_30m': 199.99965795777996, 'R2_30m': -0.09997928290531921, 'MAE_avg': 17667.14599609375, 'RMSE_avg': 46910.67207195445, 'sMAPE_avg': 199.99945987961644, 'R2_avg': -0.1562695345466817}",17667.1640625,17667.142578125,COMPLETE
3,17667.248046875,2026-02-24 05:58:16.869417,2026-02-24 05:58:17.413321,0 days 00:00:00.543904,0.3,32,5,0.00044684675025045853,,17667.248046875,,PRUNED
4,17667.203125,2026-02-24 05:58:17.413883,2026-02-24 05:58:17.962010,0 days 00:00:00.548127,0.3,64,3,0.00018752209455786411,,17667.203125,,PRUNED
5,17667.10693359375,2026-02-24 05:58:17.962646,2026-02-24 05:58:18.631985,0 days 00:00:00.669339,0.2,32,7,0.0003023795012558478,"{'MAE_15m': 25171.798828125, 'RMSE_15m': 60117.150697617064, 'sMAPE_15m': 199.99974238666326, 'R2_15m': -0.21258002543660814, 'MAE_30m': 10162.4150390625, 'RMSE_30m': 33704.697832794765, 'sMAPE_30m': 199.99966025704572, 'R2_30m': -0.09997937305194582, 'MAE_avg': 17667.10693359375, 'RMSE_avg': 46910.92426520592, 'sMAPE_avg': 199.9997013218545, 'R2_avg': -0.15627969924427698}",17667.111328125,,COMPLETE
6,17669.212890625,2026-02-24 05:58:18.632847,2026-02-24 05:58:19.196373,0 days 00:00:00.563526,0.2,96,7,0.002869139536545374,,17669.212890625,,PRUNED
7,17667.2578125,2026-02-24 05:58:19.196954,2026-02-24 05:58:20.343467,0 days 00:00:01.146513,0.0,32,3,0.0001483039268456802,,17667.2578125,,PRUNED
8,17667.14453125,2026-02-24 05:58:20.344033,2026-02-24 05:58:21.117641,0 days 00:00:00.773608,0.3,32,7,0.0004983319160125723,,17667.142578125,17667.14453125,PRUNED
9,17667.2734375,2026-02-24 05:58:21.118197,2026-02-24 05:58:21.719676,0 days 00:00:00.601479,0.0,96,5,0.00014433402406338895,,17667.2734375,,PRUNED
