number,value,datetime_start,datetime_complete,duration,params_dropout,params_gru_units,params_lr,params_lstm_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,17667.3515625,2026-02-24 05:57:45.514674,2026-02-24 05:57:48.814156,0 days 00:00:03.299482,0.2,64,0.0011114989443094978,32,"{'MAE_15m': 25172.017578125, 'RMSE_15m': 60117.112372435186, 'sMAPE_15m': 199.99967235033188, 'R2_15m': -0.21257852627781526, 'MAE_30m': 10162.685546875, 'RMSE_30m': 33704.88961560325, 'sMAPE_30m': 199.99986666740094, 'R2_30m': -0.09999199254847957, 'MAE_avg': 17667.3515625, 'RMSE_avg': 46911.00099401922, 'sMAPE_avg': 199.9997695088664, 'R2_avg': -0.15628525941314741}",17667.654296875,,COMPLETE
1,17667.1708984375,2026-02-24 05:57:48.814886,2026-02-24 05:57:51.659588,0 days 00:00:02.844702,0.2,64,0.0002692655251486473,32,"{'MAE_15m': 25171.8046875, 'RMSE_15m': 60117.37638985919, 'sMAPE_15m': 200.0, 'R2_15m': -0.21258920808254222, 'MAE_30m': 10162.537109375, 'RMSE_30m': 33704.94088408998, 'sMAPE_30m': 199.9999211254708, 'R2_30m': -0.09999523745986161, 'MAE_avg': 17667.1708984375, 'RMSE_avg': 46911.158636974586, 'sMAPE_avg': 199.9999605627354, 'R2_avg': -0.15629222277120192}",17667.22265625,17667.177734375,COMPLETE
2,17667.171875,2026-02-24 05:57:51.660388,2026-02-24 05:57:54.543650,0 days 00:00:02.883262,0.3,32,0.000117115099555241,96,"{'MAE_15m': 25171.80078125, 'RMSE_15m': 60117.355098174434, 'sMAPE_15m': 199.99998066453983, 'R2_15m': -0.21258833354446516, 'MAE_30m': 10162.54296875, 'RMSE_30m': 33705.01683726029, 'sMAPE_30m': 200.0, 'R2_30m': -0.10000028522031856, 'MAE_avg': 17667.171875, 'RMSE_avg': 46911.18596771736, 'sMAPE_avg': 199.99999033226993, 'R2_avg': -0.15629430938239186}",17667.212890625,17667.169921875,COMPLETE
3,17667.21484375,2026-02-24 05:57:54.544402,2026-02-24 05:57:57.403271,0 days 00:00:02.858869,0.3,32,0.00044684675025045853,64,,17667.21484375,,PRUNED
4,17667.16455078125,2026-02-24 05:57:57.404015,2026-02-24 05:58:00.080196,0 days 00:00:02.676181,0.3,64,0.00018752209455786411,32,"{'MAE_15m': 25171.8046875, 'RMSE_15m': 60117.32954814277, 'sMAPE_15m': 199.99996046239968, 'R2_15m': -0.21258730284067995, 'MAE_30m': 10162.5244140625, 'RMSE_30m': 33704.96367005904, 'sMAPE_30m': 199.9999473406678, 'R2_30m': -0.09999676981070404, 'MAE_avg': 17667.16455078125, 'RMSE_avg': 46911.146609100906, 'sMAPE_avg': 199.99995390153373, 'R2_avg': -0.156292036325692}",17667.201171875,,COMPLETE
5,17667.30078125,2026-02-24 05:58:00.080955,2026-02-24 05:58:02.387110,0 days 00:00:02.306155,0.2,32,0.0003023795012558478,96,,17667.30078125,,PRUNED
6,17669.951171875,2026-02-24 05:58:02.387745,2026-02-24 05:58:04.613003,0 days 00:00:02.225258,0.2,96,0.002869139536545374,96,,17669.951171875,,PRUNED
7,17667.1943359375,2026-02-24 05:58:04.613564,2026-02-24 05:58:07.124772,0 days 00:00:02.511208,0.0,32,0.0001483039268456802,32,"{'MAE_15m': 25171.8046875, 'RMSE_15m': 60117.3380648212, 'sMAPE_15m': 199.9999670197576, 'R2_15m': -0.21258770887429335, 'MAE_30m': 10162.583984375, 'RMSE_30m': 33704.94658058369, 'sMAPE_30m': 199.99992856785477, 'R2_30m': -0.09999568817737359, 'MAE_avg': 17667.1943359375, 'RMSE_avg': 46911.14232270244, 'sMAPE_avg': 199.9999477938062, 'R2_avg': -0.15629169852583347}",17667.205078125,,COMPLETE
8,17667.27734375,2026-02-24 05:58:07.125552,2026-02-24 05:58:10.204231,0 days 00:00:03.078679,0.3,32,0.0004983319160125723,96,,17667.27734375,,PRUNED
9,17667.376953125,2026-02-24 05:58:10.204832,2026-02-24 05:58:12.454004,0 days 00:00:02.249172,0.0,96,0.00014433402406338895,64,,17667.376953125,,PRUNED
