number,value,datetime_start,datetime_complete,duration,params_dropout,params_lr,params_num_layers,params_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,17667.201171875,2026-02-24 05:57:19.089230,2026-02-24 05:57:21.723534,0 days 00:00:02.634304,0.0,0.00190303683817358,2,64,"{'MAE_15m': 25171.869140625, 'RMSE_15m': 60117.28270638985, 'sMAPE_15m': 199.99988860471046, 'R2_15m': -0.21258539760213546, 'MAE_30m': 10162.533203125, 'RMSE_30m': 33705.049117305854, 'sMAPE_30m': 200.0, 'R2_30m': -0.10000235840024363, 'MAE_avg': 17667.201171875, 'RMSE_avg': 46911.16591184786, 'sMAPE_avg': 199.99994430235523, 'R2_avg': -0.15629387800118955}",17667.580078125,,COMPLETE
1,17667.15283203125,2026-02-24 05:57:21.724207,2026-02-24 05:57:24.297585,0 days 00:00:02.573378,0.0,0.00018659959624904942,2,64,"{'MAE_15m': 25171.830078125, 'RMSE_15m': 60117.37000235456, 'sMAPE_15m': 199.99999750252962, 'R2_15m': -0.21258889574848205, 'MAE_30m': 10162.4755859375, 'RMSE_30m': 33705.01683726029, 'sMAPE_30m': 200.0, 'R2_30m': -0.10000019506771318, 'MAE_avg': 17667.15283203125, 'RMSE_avg': 46911.19341980743, 'sMAPE_avg': 199.9999987512648, 'R2_avg': -0.15629454540809762}",17667.158203125,,COMPLETE
2,17667.220703125,2026-02-24 05:57:24.298261,2026-02-24 05:57:26.545857,0 days 00:00:02.247596,0.0,0.0003476649150592621,1,64,,17667.220703125,,PRUNED
3,17667.2890625,2026-02-24 05:57:26.546426,2026-02-24 05:57:28.856908,0 days 00:00:02.310482,0.3,0.0001786013788939711,2,64,,17667.2890625,,PRUNED
4,17667.3046875,2026-02-24 05:57:28.857546,2026-02-24 05:57:31.163649,0 days 00:00:02.306103,0.3,0.00044684675025045853,2,96,,17667.3046875,,PRUNED
5,17667.43359375,2026-02-24 05:57:31.164245,2026-02-24 05:57:33.408646,0 days 00:00:02.244401,0.2,0.000586412916969653,2,64,,17667.43359375,,PRUNED
6,17669.3671875,2026-02-24 05:57:33.409237,2026-02-24 05:57:36.271415,0 days 00:00:02.862178,0.0,0.002299958642814372,2,96,,17669.3671875,,PRUNED
7,17667.314453125,2026-02-24 05:57:36.272010,2026-02-24 05:57:37.662411,0 days 00:00:01.390401,0.3,0.0003364867144187955,1,64,,17667.314453125,,PRUNED
8,17667.2197265625,2026-02-24 05:57:37.663040,2026-02-24 05:57:40.622112,0 days 00:00:02.959072,0.2,0.00019657448966046135,2,64,"{'MAE_15m': 25171.951171875, 'RMSE_15m': 60117.30825644142, 'sMAPE_15m': 199.9999144105361, 'R2_15m': -0.21258645956213473, 'MAE_30m': 10162.48828125, 'RMSE_30m': 33705.00924195097, 'sMAPE_30m': 199.99999596699473, 'R2_30m': -0.09999974437481174, 'MAE_avg': 17667.2197265625, 'RMSE_avg': 46911.1587491962, 'sMAPE_avg': 199.9999551887654, 'R2_avg': -0.15629310196847324}",17667.232421875,17667.220703125,COMPLETE
9,17667.19091796875,2026-02-24 05:57:40.622890,2026-02-24 05:57:43.396276,0 days 00:00:02.773386,0.0,0.0001483039268456802,2,64,"{'MAE_15m': 25171.8359375, 'RMSE_15m': 60117.36574401776, 'sMAPE_15m': 200.0, 'R2_15m': -0.21258883328679867, 'MAE_30m': 10162.5458984375, 'RMSE_30m': 33704.9693665489, 'sMAPE_30m': 199.9999523474112, 'R2_30m': -0.09999713036895996, 'MAE_avg': 17667.19091796875, 'RMSE_avg': 46911.16755528333, 'sMAPE_avg': 199.9999761737056, 'R2_avg': -0.15629298182787932}",17667.19921875,,COMPLETE
