number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,params_rnn_type,params_rnn_units,user_attrs_val_metrics,system_attrs_completed_rung_0,state
0,17667.18505859375,2026-02-24 05:58:22.262052,2026-02-24 05:58:24.043009,0 days 00:00:01.780957,0.0,64,3,0.00018559980846490597,lstm,64,"{'MAE_15m': 25171.845703125, 'RMSE_15m': 60117.453039861895, 'sMAPE_15m': 200.0, 'R2_15m': -0.21259233143542167, 'MAE_30m': 10162.5244140625, 'RMSE_30m': 33704.990253670156, 'sMAPE_30m': 199.9999758509209, 'R2_30m': -0.09999848244578913, 'MAE_avg': 17667.18505859375, 'RMSE_avg': 46911.221646766026, 'sMAPE_avg': 199.99998792546046, 'R2_avg': -0.1562954069406054}",17667.185546875,COMPLETE
1,17667.53515625,2026-02-24 05:58:24.043772,2026-02-24 05:58:25.502411,0 days 00:00:01.458639,0.3,96,7,0.000117115099555241,gru,96,,17667.53515625,PRUNED
2,17667.390625,2026-02-24 05:58:25.503020,2026-02-24 05:58:26.971278,0 days 00:00:01.468258,0.3,32,5,0.00024112898115291975,lstm,96,,17667.390625,PRUNED
3,17667.2734375,2026-02-24 05:58:26.971881,2026-02-24 05:58:28.414167,0 days 00:00:01.442286,0.2,32,7,0.0003023795012558478,gru,64,,17667.2734375,PRUNED
4,17668.462890625,2026-02-24 05:58:28.414822,2026-02-24 05:58:29.900929,0 days 00:00:01.486107,0.3,96,7,0.0011069143219393448,lstm,64,,17668.462890625,PRUNED
5,17667.625,2026-02-24 05:58:29.901536,2026-02-24 05:58:31.315579,0 days 00:00:01.414043,0.3,64,7,0.0004983319160125723,gru,32,,17667.625,PRUNED
6,17668.892578125,2026-02-24 05:58:31.316167,2026-02-24 05:58:33.457150,0 days 00:00:02.140983,0.0,96,5,0.0021907142272152816,lstm,32,,17668.892578125,PRUNED
7,17668.2421875,2026-02-24 05:58:33.457748,2026-02-24 05:58:34.926661,0 days 00:00:01.468913,0.3,96,7,0.0006261435181296009,gru,64,,17668.2421875,PRUNED
8,17669.513671875,2026-02-24 05:58:34.927246,2026-02-24 05:58:36.408326,0 days 00:00:01.481080,0.3,64,7,0.002470540427082325,lstm,64,,17669.513671875,PRUNED
9,17667.173828125,2026-02-24 05:58:36.408929,2026-02-24 05:58:38.078709,0 days 00:00:01.669780,0.0,96,5,0.00025798509464504095,lstm,64,"{'MAE_15m': 25171.837890625, 'RMSE_15m': 60117.29761058792, 'sMAPE_15m': 199.99991163545317, 'R2_15m': -0.21258608473543705, 'MAE_30m': 10162.509765625, 'RMSE_30m': 33704.954175907136, 'sMAPE_30m': 199.99993661414555, 'R2_30m': -0.09999613884228298, 'MAE_avg': 17667.173828125, 'RMSE_avg': 46911.12589324753, 'sMAPE_avg': 199.99992412479935, 'R2_avg': -0.15629111178886002}",17667.341796875,COMPLETE
