number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,state
0,56405.36328125,2026-02-24 05:57:08.465635,2026-02-24 05:57:09.001921,0 days 00:00:00.536286,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,COMPLETE
1,65654.265625,2026-02-24 05:57:09.002858,2026-02-24 05:57:10.127283,0 days 00:00:01.124425,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,COMPLETE
2,59368.4921875,2026-02-24 05:57:10.128365,2026-02-24 05:57:10.581946,0 days 00:00:00.453581,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,COMPLETE
3,61594.6640625,2026-02-24 05:57:10.582943,2026-02-24 05:57:11.168166,0 days 00:00:00.585223,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,COMPLETE
4,58261.8046875,2026-02-24 05:57:11.169115,2026-02-24 05:57:11.398479,0 days 00:00:00.229364,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,COMPLETE
5,51008.6796875,2026-02-24 05:57:11.399402,2026-02-24 05:57:11.522891,0 days 00:00:00.123489,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,COMPLETE
6,66462.515625,2026-02-24 05:57:11.523781,2026-02-24 05:57:12.277865,0 days 00:00:00.754084,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,COMPLETE
7,49944.1796875,2026-02-24 05:57:12.278821,2026-02-24 05:57:12.446623,0 days 00:00:00.167802,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,COMPLETE
8,54880.66796875,2026-02-24 05:57:12.447594,2026-02-24 05:57:13.000905,0 days 00:00:00.553311,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,COMPLETE
9,60773.140625,2026-02-24 05:57:13.001845,2026-02-24 05:57:13.230507,0 days 00:00:00.228662,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,COMPLETE
10,62890.453125,2026-02-24 05:57:13.231587,2026-02-24 05:57:13.819196,0 days 00:00:00.587609,0.768161603273759,3.382861898713898,0.03018055303192452,2,5,1200,16.035821770966244,0.6071847502459278,COMPLETE
11,49684.25390625,2026-02-24 05:57:13.820211,2026-02-24 05:57:13.962071,0 days 00:00:00.141860,0.7143417233780396,3.097669715667996,0.010482668629330897,4,7,200,0.26351696097440275,0.7184348852751731,COMPLETE
12,52482.890625,2026-02-24 05:57:13.963025,2026-02-24 05:57:14.199040,0 days 00:00:00.236015,0.7719558699472137,3.277425013185314,0.02167659658729705,3,5,400,11.126274280287864,0.7234707775332928,COMPLETE
13,62166.0234375,2026-02-24 05:57:14.199971,2026-02-24 05:57:15.108826,0 days 00:00:00.908855,0.7061185906770828,3.1217552151741974,0.010096930371859115,3,7,1200,0.27943501488472383,0.6908556046603515,COMPLETE
14,53709.83984375,2026-02-24 05:57:15.109865,2026-02-24 05:57:15.251764,0 days 00:00:00.141899,0.6052561262871233,1.7483218384404904,0.05401611276472664,4,4,200,4.6499707195746645,0.654454136806006,COMPLETE
15,62941.796875,2026-02-24 05:57:15.252674,2026-02-24 05:57:15.857933,0 days 00:00:00.605259,0.81449654833591,0.04279269997456536,0.023393269194571676,2,7,1000,0.5105487279589148,0.7599922797534859,COMPLETE
16,53092.56640625,2026-02-24 05:57:15.858908,2026-02-24 05:57:16.120233,0 days 00:00:00.261325,0.7755999106585064,4.138936297287705,0.014796592517463746,4,6,400,5.227064719460368,0.7856665984179806,COMPLETE
17,62527.69921875,2026-02-24 05:57:16.121182,2026-02-24 05:57:16.562425,0 days 00:00:00.441243,0.6695825145030898,3.844172497178392,0.05393194710902654,4,8,600,0.39335518953319765,0.6606937272259696,COMPLETE
18,52665.0390625,2026-02-24 05:57:16.563389,2026-02-24 05:57:16.879920,0 days 00:00:00.316531,0.7432161833636555,2.6273868715783166,0.01430590582463616,3,4,200,1.7697133653410073,0.847631123750737,COMPLETE
19,59387.015625,2026-02-24 05:57:16.880814,2026-02-24 05:57:17.479456,0 days 00:00:00.598642,0.6705483885614173,1.563065515697841,0.02722904223562263,4,4,400,0.03824318289061792,0.6003429536877471,COMPLETE
20,58404.58203125,2026-02-24 05:57:17.480469,2026-02-24 05:57:18.103950,0 days 00:00:00.623481,0.8781659231750594,2.2325498083977497,0.01851592087193149,2,6,1000,11.022398118966597,0.7603864950608997,COMPLETE
21,51700.18359375,2026-02-24 05:57:18.104929,2026-02-24 05:57:18.272535,0 days 00:00:00.167606,0.7001324069461436,2.7399353397192385,0.011715535358686037,6,8,200,0.12790956193724284,0.9974683322248995,COMPLETE
22,50461.76171875,2026-02-24 05:57:18.273475,2026-02-24 05:57:18.494518,0 days 00:00:00.221043,0.7367672739055361,3.0023778005620207,0.013493300637398238,5,7,200,0.06751257895221043,0.7344984789779685,COMPLETE
23,55947.73828125,2026-02-24 05:57:18.495459,2026-02-24 05:57:18.819366,0 days 00:00:00.323907,0.740562739172591,3.722210227911262,0.01372401531709809,6,8,400,0.03825643063185014,0.7248388366446782,COMPLETE
24,51922.1875,2026-02-24 05:57:18.820352,2026-02-24 05:57:18.949979,0 days 00:00:00.129627,0.8025550456851374,2.9545173636244675,0.01776899376221652,4,6,200,0.18932893262368378,0.6830391407447141,COMPLETE
