number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,user_attrs_val_metrics,system_attrs_completed_rung_0,state
0,0.4766082763671875,2026-02-24 05:59:45.210643,2026-02-24 05:59:45.819898,0 days 00:00:00.609255,0.2,64,3,0.0011114989443094978,"{'MAE_15m': 0.7107682228088379, 'RMSE_15m': 0.7934233766901154, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.2424483299255371, 'RMSE_30m': 0.27243985330362086, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.4766082763671875, 'RMSE_avg': 0.5329316149968681, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",1.308423638343811,COMPLETE
1,0.34732888638973236,2026-02-24 05:59:45.820555,2026-02-24 05:59:47.036044,0 days 00:00:01.215489,0.2,64,3,0.0002692655251486473,"{'MAE_15m': 0.35800036787986755, 'RMSE_15m': 0.42762275876860395, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.33665740489959717, 'RMSE_30m': 0.34813850686530806, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.34732888638973236, 'RMSE_avg': 0.387880632816956, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.5740693807601929,COMPLETE
2,0.22420111298561096,2026-02-24 05:59:47.036747,2026-02-24 05:59:47.703490,0 days 00:00:00.666743,0.3,32,7,0.000117115099555241,"{'MAE_15m': 0.28087329864501953, 'RMSE_15m': 0.49730801098283595, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.1675289273262024, 'RMSE_30m': 0.19996406411142695, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.22420111298561096, 'RMSE_avg': 0.34863603754713146, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.23767299950122833,COMPLETE
3,0.7721794247627258,2026-02-24 05:59:47.704208,2026-02-24 05:59:48.266473,0 days 00:00:00.562265,0.3,32,5,0.00044684675025045853,,0.7721794247627258,PRUNED
4,0.5876460671424866,2026-02-24 05:59:48.267072,2026-02-24 05:59:48.823728,0 days 00:00:00.556656,0.3,64,3,0.00018752209455786411,,0.5876460671424866,PRUNED
5,0.32057173550128937,2026-02-24 05:59:48.824312,2026-02-24 05:59:49.482665,0 days 00:00:00.658353,0.2,32,7,0.0003023795012558478,"{'MAE_15m': 0.21758389472961426, 'RMSE_15m': 0.33096393252707923, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.4235595762729645, 'RMSE_30m': 0.5743302736520032, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.32057173550128937, 'RMSE_avg': 0.4526471030895412, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.35015150904655457,COMPLETE
6,16.352760314941406,2026-02-24 05:59:49.483383,2026-02-24 05:59:50.047666,0 days 00:00:00.564283,0.2,96,7,0.002869139536545374,,16.352760314941406,PRUNED
7,0.4802301526069641,2026-02-24 05:59:50.048239,2026-02-24 05:59:50.568958,0 days 00:00:00.520719,0.0,32,3,0.0001483039268456802,,0.4802301526069641,PRUNED
8,0.11382011324167252,2026-02-24 05:59:50.569534,2026-02-24 05:59:51.197800,0 days 00:00:00.628266,0.3,32,7,0.0004983319160125723,"{'MAE_15m': 0.08689042925834656, 'RMSE_15m': 0.12991465988356757, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.14074979722499847, 'RMSE_30m': 0.22367384588270636, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.11382011324167252, 'RMSE_avg': 0.17679425288313697, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.3661588728427887,COMPLETE
9,0.5218150615692139,2026-02-24 05:59:51.198527,2026-02-24 05:59:51.726861,0 days 00:00:00.528334,0.0,96,5,0.00014433402406338895,,0.5218150615692139,PRUNED
