number,value,datetime_start,datetime_complete,duration,params_dropout,params_gru_units,params_lr,params_lstm_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,0.18990734219551086,2026-02-24 05:59:17.580087,2026-02-24 05:59:20.203805,0 days 00:00:02.623718,0.2,64,0.0011114989443094978,32,"{'MAE_15m': 0.10234025120735168, 'RMSE_15m': 0.12242217279311564, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.27747443318367004, 'RMSE_30m': 0.3142246221698362, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.18990734219551086, 'RMSE_avg': 0.21832339748147592, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.40167149901390076,,COMPLETE
1,0.14514270052313805,2026-02-24 05:59:20.204578,2026-02-24 05:59:23.189979,0 days 00:00:02.985401,0.2,64,0.0002692655251486473,32,"{'MAE_15m': 0.19344797730445862, 'RMSE_15m': 0.2090960587451173, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.09683742374181747, 'RMSE_30m': 0.10838427322223874, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.14514270052313805, 'RMSE_avg': 0.15874016598367802, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.16141919791698456,0.1498202383518219,COMPLETE
2,0.1672384887933731,2026-02-24 05:59:23.190786,2026-02-24 05:59:25.920828,0 days 00:00:02.730042,0.3,32,0.000117115099555241,96,,0.1672384887933731,,PRUNED
3,0.11261808127164841,2026-02-24 05:59:25.921407,2026-02-24 05:59:28.559866,0 days 00:00:02.638459,0.3,32,0.00044684675025045853,64,"{'MAE_15m': 0.13461624085903168, 'RMSE_15m': 0.15168929130296543, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.09061992168426514, 'RMSE_30m': 0.10027858385819587, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.11261808127164841, 'RMSE_avg': 0.12598393758058066, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.1297372281551361,,COMPLETE
4,0.33182936906814575,2026-02-24 05:59:28.560638,2026-02-24 05:59:30.814201,0 days 00:00:02.253563,0.3,64,0.00018752209455786411,32,,0.33182936906814575,,PRUNED
5,0.2682473659515381,2026-02-24 05:59:30.814855,2026-02-24 05:59:32.998295,0 days 00:00:02.183440,0.2,32,0.0003023795012558478,96,,0.2682473659515381,,PRUNED
6,3.4154157638549805,2026-02-24 05:59:32.998896,2026-02-24 05:59:35.213118,0 days 00:00:02.214222,0.2,96,0.002869139536545374,96,,3.4154157638549805,,PRUNED
7,0.14431993290781975,2026-02-24 05:59:35.213682,2026-02-24 05:59:38.519988,0 days 00:00:03.306306,0.0,32,0.0001483039268456802,32,"{'MAE_15m': 0.08213894814252853, 'RMSE_15m': 0.11139088250487764, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.20650091767311096, 'RMSE_30m': 0.2168094184614713, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.14431993290781975, 'RMSE_avg': 0.16410015048317447, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.14664548635482788,,COMPLETE
8,0.1956673562526703,2026-02-24 05:59:38.520821,2026-02-24 05:59:40.787554,0 days 00:00:02.266733,0.3,32,0.0004983319160125723,96,,0.1956673562526703,,PRUNED
9,0.164594367146492,2026-02-24 05:59:40.788125,2026-02-24 05:59:42.957044,0 days 00:00:02.168919,0.0,96,0.00014433402406338895,64,,0.164594367146492,,PRUNED
