number,value,datetime_start,datetime_complete,duration,params_dropout,params_lr,params_num_layers,params_units,user_attrs_val_metrics,system_attrs_completed_rung_0,state
0,0.15688279271125793,2026-02-24 05:58:50.736377,2026-02-24 05:58:53.313543,0 days 00:00:02.577166,0.0,0.00190303683817358,2,64,"{'MAE_15m': 0.2109135091304779, 'RMSE_15m': 0.2412724358621518, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.10285207629203796, 'RMSE_30m': 0.1063664520439978, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.15688279271125793, 'RMSE_avg': 0.1738194439530748, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.8402160406112671,COMPLETE
1,0.055605825036764145,2026-02-24 05:58:53.314254,2026-02-24 05:58:56.954956,0 days 00:00:03.640702,0.0,0.00018659959624904942,2,64,"{'MAE_15m': 0.042692698538303375, 'RMSE_15m': 0.06752922557349865, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.06851895153522491, 'RMSE_30m': 0.08301341935463498, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.055605825036764145, 'RMSE_avg': 0.07527132246406681, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.08278371393680573,COMPLETE
2,0.21893519163131714,2026-02-24 05:58:56.955688,2026-02-24 05:58:58.282251,0 days 00:00:01.326563,0.0,0.0003476649150592621,1,64,,0.21893519163131714,PRUNED
3,0.25044700503349304,2026-02-24 05:58:58.282911,2026-02-24 05:59:00.549865,0 days 00:00:02.266954,0.3,0.0001786013788939711,2,64,,0.25044700503349304,PRUNED
4,0.2511233985424042,2026-02-24 05:59:00.550467,2026-02-24 05:59:02.795735,0 days 00:00:02.245268,0.3,0.00044684675025045853,2,96,,0.2511233985424042,PRUNED
5,0.29299071431159973,2026-02-24 05:59:02.796304,2026-02-24 05:59:05.745017,0 days 00:00:02.948713,0.2,0.000586412916969653,2,64,,0.29299071431159973,PRUNED
6,3.029531240463257,2026-02-24 05:59:05.745598,2026-02-24 05:59:08.009495,0 days 00:00:02.263897,0.0,0.002299958642814372,2,96,,3.029531240463257,PRUNED
7,0.2995166480541229,2026-02-24 05:59:08.010131,2026-02-24 05:59:09.336774,0 days 00:00:01.326643,0.3,0.0003364867144187955,1,64,,0.2995166480541229,PRUNED
8,0.17408432066440582,2026-02-24 05:59:09.337391,2026-02-24 05:59:11.934066,0 days 00:00:02.596675,0.2,0.00019657448966046135,2,64,"{'MAE_15m': 0.17070649564266205, 'RMSE_15m': 0.19333497288401966, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.1774621456861496, 'RMSE_30m': 0.1900645937730592, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.17408432066440582, 'RMSE_avg': 0.19169978332853943, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.1874414086341858,COMPLETE
9,0.08969277516007423,2026-02-24 05:59:11.934809,2026-02-24 05:59:14.579550,0 days 00:00:02.644741,0.0,0.0001483039268456802,2,64,"{'MAE_15m': 0.11263082176446915, 'RMSE_15m': 0.12052616029169796, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.06675472855567932, 'RMSE_30m': 0.0807402786431567, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.08969277516007423, 'RMSE_avg': 0.10063321946742733, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.09108202904462814,COMPLETE
