number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,params_rnn_type,params_rnn_units,user_attrs_val_metrics,system_attrs_completed_rung_0,state
0,0.10741854459047318,2026-02-24 05:59:52.256420,2026-02-24 05:59:53.962575,0 days 00:00:01.706155,0.0,64,3,0.00018559980846490597,lstm,64,"{'MAE_15m': 0.11197102814912796, 'RMSE_15m': 0.12523677127565963, 'sMAPE_15m': 200.0, 'R2_15m': 0.0, 'MAE_30m': 0.10286606103181839, 'RMSE_30m': 0.10662530851934414, 'sMAPE_30m': 200.0, 'R2_30m': 0.0, 'MAE_avg': 0.10741854459047318, 'RMSE_avg': 0.11593103989750189, 'sMAPE_avg': 200.0, 'R2_avg': 0.0}",0.14455761015415192,COMPLETE
1,0.2868666648864746,2026-02-24 05:59:53.963331,2026-02-24 05:59:55.401420,0 days 00:00:01.438089,0.3,96,7,0.000117115099555241,gru,96,,0.2868666648864746,PRUNED
2,0.2655247747898102,2026-02-24 05:59:55.402002,2026-02-24 05:59:56.846882,0 days 00:00:01.444880,0.3,32,5,0.00024112898115291975,lstm,96,,0.2655247747898102,PRUNED
3,0.42375126481056213,2026-02-24 05:59:56.847461,2026-02-24 05:59:58.255693,0 days 00:00:01.408232,0.2,32,7,0.0003023795012558478,gru,64,,0.42375126481056213,PRUNED
4,2.8474745750427246,2026-02-24 05:59:58.256275,2026-02-24 06:00:00.349691,0 days 00:00:02.093416,0.3,96,7,0.0011069143219393448,lstm,64,,2.8474745750427246,PRUNED
5,1.6741008758544922,2026-02-24 06:00:00.350275,2026-02-24 06:00:01.797056,0 days 00:00:01.446781,0.3,64,7,0.0004983319160125723,gru,32,,1.6741008758544922,PRUNED
6,3.0889174938201904,2026-02-24 06:00:01.797641,2026-02-24 06:00:03.222133,0 days 00:00:01.424492,0.0,96,5,0.0021907142272152816,lstm,32,,3.0889174938201904,PRUNED
7,2.1357576847076416,2026-02-24 06:00:03.222747,2026-02-24 06:00:04.644116,0 days 00:00:01.421369,0.3,96,7,0.0006261435181296009,gru,64,,2.1357576847076416,PRUNED
8,3.449552297592163,2026-02-24 06:00:04.644706,2026-02-24 06:00:06.090225,0 days 00:00:01.445519,0.3,64,7,0.002470540427082325,lstm,64,,3.449552297592163,PRUNED
9,0.7031125426292419,2026-02-24 06:00:06.090826,2026-02-24 06:00:07.499112,0 days 00:00:01.408286,0.0,96,5,0.00025798509464504095,lstm,64,,0.7031125426292419,PRUNED
