number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,state
0,71062.3671875,2026-02-24 05:58:39.460583,2026-02-24 05:58:39.892542,0 days 00:00:00.431959,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,COMPLETE
1,86332.421875,2026-02-24 05:58:39.893472,2026-02-24 05:58:40.606439,0 days 00:00:00.712967,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,COMPLETE
2,67953.984375,2026-02-24 05:58:40.607396,2026-02-24 05:58:40.917839,0 days 00:00:00.310443,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,COMPLETE
3,69847.234375,2026-02-24 05:58:40.918735,2026-02-24 05:58:41.829085,0 days 00:00:00.910350,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,COMPLETE
4,74391.5,2026-02-24 05:58:41.830025,2026-02-24 05:58:42.055505,0 days 00:00:00.225480,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,COMPLETE
5,59122.8203125,2026-02-24 05:58:42.056473,2026-02-24 05:58:42.214509,0 days 00:00:00.158036,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,COMPLETE
6,71444.2578125,2026-02-24 05:58:42.215417,2026-02-24 05:58:42.645923,0 days 00:00:00.430506,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,COMPLETE
7,57867.2890625,2026-02-24 05:58:42.646942,2026-02-24 05:58:42.784833,0 days 00:00:00.137891,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,COMPLETE
8,52608.890625,2026-02-24 05:58:42.785760,2026-02-24 05:58:43.276415,0 days 00:00:00.490655,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,COMPLETE
9,87488.1875,2026-02-24 05:58:43.277577,2026-02-24 05:58:43.641244,0 days 00:00:00.363667,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,COMPLETE
10,53567.5234375,2026-02-24 05:58:43.642161,2026-02-24 05:58:44.187267,0 days 00:00:00.545106,0.6058268031335812,3.3820892378437524,0.02513734458845407,2,10,1200,15.421779524164808,0.6071847502459278,COMPLETE
11,53712.23046875,2026-02-24 05:58:44.188241,2026-02-24 05:58:44.729232,0 days 00:00:00.540991,0.6094059102390395,3.328467084489836,0.026365703773854412,2,10,1200,18.869952618502094,0.6068744601075835,COMPLETE
12,51325.42578125,2026-02-24 05:58:44.730285,2026-02-24 05:58:45.442613,0 days 00:00:00.712328,0.6243885518851153,3.4946438297981812,0.022251710164119174,4,8,1200,19.53511307425645,0.6026268487517209,COMPLETE
13,53876.94140625,2026-02-24 05:58:45.443604,2026-02-24 05:58:46.168735,0 days 00:00:00.725131,0.6593920192146213,3.625283456138578,0.018652596014589424,4,7,1000,4.370874458649818,0.6908556046603515,COMPLETE
14,58753.609375,2026-02-24 05:58:46.169775,2026-02-24 05:58:46.426579,0 days 00:00:00.256804,0.6630080698408224,1.3260251836589472,0.04433258010720939,4,8,400,5.680250910389541,0.8578694741072342,COMPLETE
15,64031.3359375,2026-02-24 05:58:46.427533,2026-02-24 05:58:47.069943,0 days 00:00:00.642410,0.7809305251510433,0.019077576123010864,0.01895010021993037,4,5,1000,2.8410395957857166,0.7713546734435938,COMPLETE
16,55863.234375,2026-02-24 05:58:47.070977,2026-02-24 05:58:47.394758,0 days 00:00:00.323781,0.602127588043202,2.7710701344268234,0.06123344077828283,6,6,400,0.3620994671763494,0.667060514788648,COMPLETE
17,56818.765625,2026-02-24 05:58:47.395740,2026-02-24 05:58:48.243047,0 days 00:00:00.847307,0.7022957405893959,3.898433086380912,0.028556988759692214,6,9,1000,10.396791834376032,0.8042559416777266,COMPLETE
18,49858.921875,2026-02-24 05:58:48.244052,2026-02-24 05:58:48.582825,0 days 00:00:00.338773,0.6483383579169272,4.897830721424661,0.014509456908913889,3,8,600,8.770878260932053,0.7593003708157138,COMPLETE
19,59280.921875,2026-02-24 05:58:48.583827,2026-02-24 05:58:49.031861,0 days 00:00:00.448034,0.7426530038096585,4.685047882039432,0.03608759498757834,3,5,800,8.546832924034552,0.6498368041205022,COMPLETE
20,54315.65234375,2026-02-24 05:58:49.032878,2026-02-24 05:58:49.389560,0 days 00:00:00.356682,0.8289586910537652,4.061080132164644,0.016161178251095015,3,8,600,0.49697794419053126,0.7603864950608997,COMPLETE
21,50213.2734375,2026-02-24 05:58:49.390586,2026-02-24 05:58:49.669742,0 days 00:00:00.279156,0.6430853455435103,4.828250202028201,0.016005934100761867,4,9,400,19.81104483712447,0.8601897699247981,COMPLETE
