number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,11917.32861328125,2026-02-24 06:01:18.643339,2026-02-24 06:01:19.694178,0 days 00:00:01.050839,0.2,64,3,0.0011114989443094978,"{'MAE_15m': 12259.8291015625, 'RMSE_15m': 13945.742289315402, 'sMAPE_15m': 199.00849803462046, 'R2_15m': -3.4025369585037737, 'MAE_30m': 11574.828125, 'RMSE_30m': 13616.098119505456, 'sMAPE_30m': 199.25135603506556, 'R2_30m': -2.6081106064228865, 'MAE_avg': 11917.32861328125, 'RMSE_avg': 13780.920204410428, 'sMAPE_avg': 199.129927034843, 'R2_avg': -3.0053237824633303}",11934.2783203125,11930.0341796875,COMPLETE
1,11935.3740234375,2026-02-24 06:01:19.694922,2026-02-24 06:01:20.249380,0 days 00:00:00.554458,0.2,64,3,0.0002692655251486473,,11935.3740234375,,PRUNED
2,11936.0400390625,2026-02-24 06:01:20.249967,2026-02-24 06:01:20.802750,0 days 00:00:00.552783,0.3,32,7,0.000117115099555241,,11936.0400390625,,PRUNED
3,11936.45703125,2026-02-24 06:01:20.803368,2026-02-24 06:01:21.357202,0 days 00:00:00.553834,0.3,32,5,0.00044684675025045853,,11936.45703125,,PRUNED
4,11936.0625,2026-02-24 06:01:21.357821,2026-02-24 06:01:21.907689,0 days 00:00:00.549868,0.3,64,3,0.00018752209455786411,,11936.0625,,PRUNED
5,11935.7626953125,2026-02-24 06:01:21.908291,2026-02-24 06:01:22.503453,0 days 00:00:00.595162,0.2,32,7,0.0003023795012558478,,11935.7626953125,,PRUNED
6,11181.55322265625,2026-02-24 06:01:22.504061,2026-02-24 06:01:23.536222,0 days 00:00:01.032161,0.2,96,7,0.002869139536545374,"{'MAE_15m': 11486.57421875, 'RMSE_15m': 13218.604464919888, 'sMAPE_15m': 170.30712456115063, 'R2_15m': -2.9554046868295956, 'MAE_30m': 10876.5322265625, 'RMSE_30m': 13076.584875264642, 'sMAPE_30m': 169.55370245897507, 'R2_30m': -2.3278456457288956, 'MAE_avg': 11181.55322265625, 'RMSE_avg': 13147.594670092265, 'sMAPE_avg': 169.93041351006286, 'R2_avg': -2.641625166279246}",11918.2353515625,11799.576171875,COMPLETE
7,11936.33984375,2026-02-24 06:01:23.536941,2026-02-24 06:01:24.065208,0 days 00:00:00.528267,0.0,32,3,0.0001483039268456802,,11936.33984375,,PRUNED
8,11935.490234375,2026-02-24 06:01:24.065829,2026-02-24 06:01:24.607251,0 days 00:00:00.541422,0.3,32,7,0.0004983319160125723,,11935.490234375,,PRUNED
9,11935.73046875,2026-02-24 06:01:24.607895,2026-02-24 06:01:25.130981,0 days 00:00:00.523086,0.0,96,5,0.00014433402406338895,,11935.73046875,,PRUNED
