number,value,datetime_start,datetime_complete,duration,params_dropout,params_gru_units,params_lr,params_lstm_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,11933.9765625,2026-02-24 06:00:50.241744,2026-02-24 06:00:53.279391,0 days 00:00:03.037647,0.2,64,0.0011114989443094978,32,"{'MAE_15m': 12281.041015625, 'RMSE_15m': 13964.101403241099, 'sMAPE_15m': 199.9439783846552, 'R2_15m': -3.4141358219119287, 'MAE_30m': 11586.912109375, 'RMSE_30m': 13624.873137024066, 'sMAPE_30m': 199.8573213427722, 'R2_30m': -2.6127625789906608, 'MAE_avg': 11933.9765625, 'RMSE_avg': 13794.487270132582, 'sMAPE_avg': 199.90064986371368, 'R2_avg': -3.0134492004512947}",11935.9697265625,11935.4091796875,COMPLETE
1,11936.15234375,2026-02-24 06:00:53.280216,2026-02-24 06:00:55.472416,0 days 00:00:02.192200,0.2,64,0.0002692655251486473,32,,11936.15234375,,PRUNED
2,11935.78125,2026-02-24 06:00:55.473030,2026-02-24 06:00:58.472013,0 days 00:00:02.998983,0.3,32,0.000117115099555241,96,,11935.89453125,11935.78125,PRUNED
3,11935.4208984375,2026-02-24 06:00:58.472748,2026-02-24 06:01:00.874953,0 days 00:00:02.402205,0.3,32,0.00044684675025045853,64,,11935.818359375,11935.4208984375,PRUNED
4,11935.900390625,2026-02-24 06:01:00.875580,2026-02-24 06:01:03.129082,0 days 00:00:02.253502,0.3,64,0.00018752209455786411,32,,11935.900390625,,PRUNED
5,11936.2412109375,2026-02-24 06:01:03.129679,2026-02-24 06:01:05.377934,0 days 00:00:02.248255,0.2,32,0.0003023795012558478,96,,11936.2412109375,,PRUNED
6,11921.279296875,2026-02-24 06:01:05.378513,2026-02-24 06:01:09.093767,0 days 00:00:03.715254,0.2,96,0.002869139536545374,96,"{'MAE_15m': 12266.4833984375, 'RMSE_15m': 13951.390468336838, 'sMAPE_15m': 199.31520688469504, 'R2_15m': -3.4061036964733784, 'MAE_30m': 11576.0751953125, 'RMSE_30m': 13615.83019870621, 'sMAPE_30m': 199.34373893765363, 'R2_30m': -2.607968782219809, 'MAE_avg': 11921.279296875, 'RMSE_avg': 13783.610333521523, 'sMAPE_avg': 199.32947291117432, 'R2_avg': -3.0070362393465935}",11934.0185546875,11925.9130859375,COMPLETE
7,11936.2900390625,2026-02-24 06:01:09.094536,2026-02-24 06:01:11.330763,0 days 00:00:02.236227,0.0,32,0.0001483039268456802,32,,11936.2900390625,,PRUNED
8,11936.19140625,2026-02-24 06:01:11.331417,2026-02-24 06:01:13.517345,0 days 00:00:02.185928,0.3,32,0.0004983319160125723,96,,11936.19140625,,PRUNED
9,11935.9287109375,2026-02-24 06:01:13.517933,2026-02-24 06:01:15.691090,0 days 00:00:02.173157,0.0,96,0.00014433402406338895,64,,11935.9287109375,,PRUNED
