number,value,datetime_start,datetime_complete,duration,params_dropout,params_lr,params_num_layers,params_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,11925.97998046875,2026-02-24 06:00:23.232274,2026-02-24 06:00:27.135813,0 days 00:00:03.903539,0.0,0.00190303683817358,2,64,"{'MAE_15m': 12271.1962890625, 'RMSE_15m': 13955.5293701099, 'sMAPE_15m': 199.51717753364096, 'R2_15m': -3.4087185714262977, 'MAE_30m': 11580.763671875, 'RMSE_30m': 13619.744490995417, 'sMAPE_30m': 199.5657965736561, 'R2_30m': -2.6100433198991433, 'MAE_avg': 11925.97998046875, 'RMSE_avg': 13787.636930552659, 'sMAPE_avg': 199.54148705364852, 'R2_avg': -3.0093809456627207}",11934.822265625,11930.2041015625,COMPLETE
1,11936.400390625,2026-02-24 06:00:27.136606,2026-02-24 06:00:29.394876,0 days 00:00:02.258270,0.0,0.00018659959624904942,2,64,,11936.400390625,,PRUNED
2,11936.39453125,2026-02-24 06:00:29.395467,2026-02-24 06:00:30.693429,0 days 00:00:01.297962,0.0,0.0003476649150592621,1,64,,11936.39453125,,PRUNED
3,11936.17578125,2026-02-24 06:00:30.694013,2026-02-24 06:00:32.915492,0 days 00:00:02.221479,0.3,0.0001786013788939711,2,64,,11936.17578125,,PRUNED
4,11935.8466796875,2026-02-24 06:00:32.916078,2026-02-24 06:00:35.208151,0 days 00:00:02.292073,0.3,0.00044684675025045853,2,96,,11935.8466796875,,PRUNED
5,11934.2529296875,2026-02-24 06:00:35.208726,2026-02-24 06:00:38.393547,0 days 00:00:03.184821,0.2,0.000586412916969653,2,64,,11935.4931640625,11934.2529296875,PRUNED
6,11922.265625,2026-02-24 06:00:38.394156,2026-02-24 06:00:41.476468,0 days 00:00:03.082312,0.0,0.002299958642814372,2,96,"{'MAE_15m': 12268.2666015625, 'RMSE_15m': 13952.967282983214, 'sMAPE_15m': 199.39098441987474, 'R2_15m': -3.4070995370933455, 'MAE_30m': 11576.2646484375, 'RMSE_30m': 13615.917743582326, 'sMAPE_30m': 199.35521431726855, 'R2_30m': -2.6080151074728386, 'MAE_avg': 11922.265625, 'RMSE_avg': 13784.442513282771, 'sMAPE_avg': 199.37309936857164, 'R2_avg': -3.007557322283092}",11933.2099609375,11926.55859375,COMPLETE
7,11936.572265625,2026-02-24 06:00:41.477209,2026-02-24 06:00:42.786412,0 days 00:00:01.309203,0.3,0.0003364867144187955,1,64,,11936.572265625,,PRUNED
8,11936.0478515625,2026-02-24 06:00:42.787035,2026-02-24 06:00:45.054109,0 days 00:00:02.267074,0.2,0.00019657448966046135,2,64,,11936.0478515625,,PRUNED
9,11936.01953125,2026-02-24 06:00:45.054725,2026-02-24 06:00:47.947797,0 days 00:00:02.893072,0.0,0.0001483039268456802,2,64,,11936.01953125,,PRUNED
