number,value,datetime_start,datetime_complete,duration,params_dropout,params_filters,params_kernel_size,params_lr,params_rnn_type,params_rnn_units,user_attrs_val_metrics,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
0,11935.15478515625,2026-02-24 06:01:25.689688,2026-02-24 06:01:27.791525,0 days 00:00:02.101837,0.0,64,3,0.00018559980846490597,lstm,64,"{'MAE_15m': 12281.1787109375, 'RMSE_15m': 13964.307071960284, 'sMAPE_15m': 199.9458441156208, 'R2_15m': -3.414265849094228, 'MAE_30m': 11589.130859375, 'RMSE_30m': 13626.952117036297, 'sMAPE_30m': 199.95479910783652, 'R2_30m': -2.613865008198075, 'MAE_avg': 11935.15478515625, 'RMSE_avg': 13795.62959449829, 'sMAPE_avg': 199.95032161172867, 'R2_avg': -3.014065428646152}",11936.240234375,11935.875,COMPLETE
1,11933.1826171875,2026-02-24 06:01:27.792310,2026-02-24 06:01:29.868839,0 days 00:00:02.076529,0.3,96,7,0.000117115099555241,gru,96,"{'MAE_15m': 12279.3095703125, 'RMSE_15m': 13962.83581512008, 'sMAPE_15m': 199.85798272468492, 'R2_15m': -3.4133360057478797, 'MAE_30m': 11587.0556640625, 'RMSE_30m': 13625.410966279145, 'sMAPE_30m': 199.84946012677858, 'R2_30m': -2.613047522465759, 'MAE_avg': 11933.1826171875, 'RMSE_avg': 13794.123390699613, 'sMAPE_avg': 199.85372142573175, 'R2_avg': -3.0131917641068195}",11935.77734375,11934.8603515625,COMPLETE
2,11935.83203125,2026-02-24 06:01:29.869600,2026-02-24 06:01:31.337543,0 days 00:00:01.467943,0.3,32,5,0.00024112898115291975,lstm,96,,11935.83203125,,PRUNED
3,11935.7802734375,2026-02-24 06:01:31.338166,2026-02-24 06:01:33.350356,0 days 00:00:02.012190,0.2,32,7,0.0003023795012558478,gru,64,,11935.7802734375,,PRUNED
4,11929.671875,2026-02-24 06:01:33.351002,2026-02-24 06:01:35.524839,0 days 00:00:02.173837,0.3,96,7,0.0011069143219393448,lstm,64,"{'MAE_15m': 12275.29296875, 'RMSE_15m': 13959.163298708128, 'sMAPE_15m': 199.69171351158812, 'R2_15m': -3.4110142393600222, 'MAE_30m': 11584.05078125, 'RMSE_30m': 13622.554826463353, 'sMAPE_30m': 199.71926292957704, 'R2_30m': -2.6115332931802544, 'MAE_avg': 11929.671875, 'RMSE_avg': 13790.85906258574, 'sMAPE_avg': 199.7054882205826, 'R2_avg': -3.011273766270138}",11933.69921875,11931.1181640625,COMPLETE
5,11933.1064453125,2026-02-24 06:01:35.525609,2026-02-24 06:01:37.175072,0 days 00:00:01.649463,0.3,64,7,0.0004983319160125723,gru,32,,11934.3408203125,11933.1064453125,PRUNED
6,11930.083984375,2026-02-24 06:01:37.175725,2026-02-24 06:01:39.262127,0 days 00:00:02.086402,0.0,96,5,0.0021907142272152816,lstm,32,"{'MAE_15m': 12277.01953125, 'RMSE_15m': 13960.679066578388, 'sMAPE_15m': 199.76580079587583, 'R2_15m': -3.411972683582852, 'MAE_30m': 11583.1484375, 'RMSE_30m': 13621.785492364796, 'sMAPE_30m': 199.67700439973322, 'R2_30m': -2.6111254349240305, 'MAE_avg': 11930.083984375, 'RMSE_avg': 13791.232279471591, 'sMAPE_avg': 199.7214025978045, 'R2_avg': -3.0115490592534413}",11933.5654296875,11931.1103515625,COMPLETE
7,11928.41650390625,2026-02-24 06:01:39.262922,2026-02-24 06:01:41.359067,0 days 00:00:02.096145,0.3,96,7,0.0006261435181296009,gru,64,"{'MAE_15m': 12275.7041015625, 'RMSE_15m': 13959.523201026603, 'sMAPE_15m': 199.7094007940303, 'R2_15m': -3.4112417951606986, 'MAE_30m': 11581.12890625, 'RMSE_30m': 13620.064610713123, 'sMAPE_30m': 199.58247633854577, 'R2_30m': -2.610212864239116, 'MAE_avg': 11928.41650390625, 'RMSE_avg': 13789.793905869863, 'sMAPE_avg': 199.64593856628804, 'R2_avg': -3.0107273296999075}",11932.865234375,11929.80859375,COMPLETE
8,11926.59130859375,2026-02-24 06:01:41.359890,2026-02-24 06:01:43.517557,0 days 00:00:02.157667,0.3,64,7,0.002470540427082325,lstm,64,"{'MAE_15m': 12273.9091796875, 'RMSE_15m': 13957.944834394497, 'sMAPE_15m': 199.6323514130988, 'R2_15m': -3.4102448885417376, 'MAE_30m': 11579.2734375, 'RMSE_30m': 13618.49095898661, 'sMAPE_30m': 199.49548342059643, 'R2_30m': -2.6093789672233023, 'MAE_avg': 11926.59130859375, 'RMSE_avg': 13788.217896690552, 'sMAPE_avg': 199.56391741684763, 'R2_avg': -3.00981192788252}",11932.8037109375,11929.025390625,COMPLETE
9,11935.650390625,2026-02-24 06:01:43.518315,2026-02-24 06:01:44.932119,0 days 00:00:01.413804,0.0,96,5,0.00025798509464504095,lstm,64,,11935.650390625,,PRUNED
