number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,state
0,6830.3603515625,2026-02-24 06:00:08.875866,2026-02-24 06:00:09.308827,0 days 00:00:00.432961,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,COMPLETE
1,6685.2021484375,2026-02-24 06:00:09.309763,2026-02-24 06:00:10.369038,0 days 00:00:01.059275,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,COMPLETE
2,7020.84228515625,2026-02-24 06:00:10.370105,2026-02-24 06:00:10.741909,0 days 00:00:00.371804,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,COMPLETE
3,6084.4326171875,2026-02-24 06:00:10.742848,2026-02-24 06:00:11.542341,0 days 00:00:00.799493,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,COMPLETE
4,5657.0712890625,2026-02-24 06:00:11.543284,2026-02-24 06:00:11.750702,0 days 00:00:00.207418,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,COMPLETE
5,6194.41796875,2026-02-24 06:00:11.751606,2026-02-24 06:00:11.917674,0 days 00:00:00.166068,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,COMPLETE
6,5866.32666015625,2026-02-24 06:00:11.918581,2026-02-24 06:00:12.474031,0 days 00:00:00.555450,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,COMPLETE
7,7021.1357421875,2026-02-24 06:00:12.474977,2026-02-24 06:00:12.610343,0 days 00:00:00.135366,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,COMPLETE
8,6403.833984375,2026-02-24 06:00:12.611237,2026-02-24 06:00:12.904476,0 days 00:00:00.293239,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,COMPLETE
9,7082.185546875,2026-02-24 06:00:12.905381,2026-02-24 06:00:13.242965,0 days 00:00:00.337584,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,COMPLETE
10,6442.72021484375,2026-02-24 06:00:13.243886,2026-02-24 06:00:14.659519,0 days 00:00:01.415633,0.7588836305457849,3.382861898713898,0.18255631599020614,8,5,1200,14.73099293843444,0.6071847502459278,COMPLETE
11,6569.3310546875,2026-02-24 06:00:14.660527,2026-02-24 06:00:15.185962,0 days 00:00:00.525435,0.9811487592887603,4.721383939142848,0.19738083354545993,2,10,1000,0.7257531053369959,0.8788623593360378,COMPLETE
12,6139.1591796875,2026-02-24 06:00:15.186905,2026-02-24 06:00:15.676499,0 days 00:00:00.489594,0.7234959004232913,3.4768228600574913,0.11750339105581886,3,7,800,1.5079398844377516,0.9421584781408807,COMPLETE
13,6105.54248046875,2026-02-24 06:00:15.677456,2026-02-24 06:00:16.358216,0 days 00:00:00.680760,0.8056891692692756,2.9156540968950244,0.047058086218168906,4,8,1000,0.37233615449742785,0.8579178144028043,COMPLETE
14,6092.421875,2026-02-24 06:00:16.359219,2026-02-24 06:00:16.714665,0 days 00:00:00.355446,0.9903484888969104,1.8778461417512569,0.13116914443602903,3,5,400,2.7920892498459247,0.9989975280446521,COMPLETE
15,6354.21533203125,2026-02-24 06:00:16.715577,2026-02-24 06:00:17.237153,0 days 00:00:00.521576,0.8896251144197834,3.973226820560444,0.053335174222032634,2,8,1000,0.4105718776722006,0.7599922797534859,COMPLETE
16,6218.775390625,2026-02-24 06:00:17.238181,2026-02-24 06:00:17.698660,0 days 00:00:00.460479,0.6040345036696655,0.10456783241701917,0.07192616851509227,4,4,600,13.295677439316645,0.9304229184560635,COMPLETE
17,6591.470703125,2026-02-24 06:00:17.699695,2026-02-24 06:00:18.324856,0 days 00:00:00.625161,0.6727758249477708,4.905754486083275,0.02671275871512323,6,9,800,1.8641547807637726,0.8064114554738082,COMPLETE
18,5885.42236328125,2026-02-24 06:00:18.325859,2026-02-24 06:00:19.084328,0 days 00:00:00.758469,0.7817165378300848,3.3081653899374897,0.13265414070319065,4,6,1200,6.185817634099214,0.9018182719792629,COMPLETE
19,6264.912109375,2026-02-24 06:00:19.085351,2026-02-24 06:00:19.485514,0 days 00:00:00.400163,0.9458616092324726,2.303775521315336,0.15640549188161412,7,6,400,0.25316696277430384,0.6176998924074997,COMPLETE
20,6029.916015625,2026-02-24 06:00:19.486499,2026-02-24 06:00:19.965852,0 days 00:00:00.479353,0.870443990178826,4.061080132164644,0.10329028379573511,6,4,600,0.7529415238913306,0.8401476069970224,COMPLETE
21,6189.5673828125,2026-02-24 06:00:19.966840,2026-02-24 06:00:20.607535,0 days 00:00:00.640695,0.7836884546604327,3.3496048721678706,0.1418078006030051,4,6,1200,6.340202050161149,0.8922375717661108,COMPLETE
22,6305.34375,2026-02-24 06:00:20.608531,2026-02-24 06:00:21.535301,0 days 00:00:00.926770,0.7267626635152488,2.9428084525792855,0.06327918327880085,4,8,1200,7.684237639021745,0.9100913116670416,COMPLETE
23,6130.1279296875,2026-02-24 06:00:21.536319,2026-02-24 06:00:22.380399,0 days 00:00:00.844080,0.8042301178442368,3.7999976560238693,0.16248323732394604,3,9,1000,2.465992181387292,0.960466956810503,COMPLETE
24,6177.93896484375,2026-02-24 06:00:22.381370,2026-02-24 06:00:22.994730,0 days 00:00:00.613360,0.7716771675719538,4.498121323650061,0.09980608376506632,4,7,800,1.3013951484455415,0.8638866473070734,COMPLETE
