number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,6.72093494121985e+20,2026-04-06 04:49:14.911111,2026-04-06 04:49:17.131980,0 days 00:00:02.220869,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[0, 1]","{'MAE_15m': 7.485109244429284e+20, 'RMSE_15m': inf, 'sMAPE_15m': 200.0, 'R2_15m': -inf, 'MAE_30m': 5.956760638010415e+20, 'RMSE_30m': inf, 'sMAPE_30m': 200.0, 'R2_30m': -inf, 'MAE_avg': 6.72093494121985e+20, 'RMSE_avg': inf, 'sMAPE_avg': 200.0, 'R2_avg': -inf}",COMPLETE
1,7.206315316871797e+20,2026-04-06 04:49:17.135971,2026-04-06 04:49:18.804455,0 days 00:00:01.668484,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[0, 0]","{'MAE_15m': 7.206315316871797e+20, 'RMSE_15m': inf, 'sMAPE_15m': 200.0, 'R2_15m': -inf, 'MAE_30m': 7.206315316871797e+20, 'RMSE_30m': inf, 'sMAPE_30m': 200.0, 'R2_30m': -inf, 'MAE_avg': 7.206315316871797e+20, 'RMSE_avg': inf, 'sMAPE_avg': 200.0, 'R2_avg': -inf}",COMPLETE
2,6.938693482983677e+20,2026-04-06 04:49:18.806442,2026-04-06 04:49:20.734054,0 days 00:00:01.927612,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[0, 19]","{'MAE_15m': 7.373738744081621e+20, 'RMSE_15m': inf, 'sMAPE_15m': 200.0, 'R2_15m': -inf, 'MAE_30m': 6.503648221885733e+20, 'RMSE_30m': inf, 'sMAPE_30m': 200.0, 'R2_30m': -inf, 'MAE_avg': 6.938693482983677e+20, 'RMSE_avg': inf, 'sMAPE_avg': 200.0, 'R2_avg': -inf}",COMPLETE
3,7.091884479839847e+20,2026-04-06 04:49:20.737856,2026-04-06 04:49:22.368206,0 days 00:00:01.630350,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[0, 1]","{'MAE_15m': 7.255704323660332e+20, 'RMSE_15m': inf, 'sMAPE_15m': 200.0, 'R2_15m': -inf, 'MAE_30m': 6.928064636019362e+20, 'RMSE_30m': inf, 'sMAPE_30m': 200.0, 'R2_30m': -inf, 'MAE_avg': 7.091884479839847e+20, 'RMSE_avg': inf, 'sMAPE_avg': 200.0, 'R2_avg': -inf}",COMPLETE
4,6.206292075145341e+20,2026-04-06 04:49:22.374310,2026-04-06 04:49:23.929571,0 days 00:00:01.555261,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[21, 1]","{'MAE_15m': 6.166631195395647e+20, 'RMSE_15m': inf, 'sMAPE_15m': 200.0, 'R2_15m': -inf, 'MAE_30m': 6.245952954895035e+20, 'RMSE_30m': inf, 'sMAPE_30m': 200.0, 'R2_30m': -inf, 'MAE_avg': 6.206292075145341e+20, 'RMSE_avg': inf, 'sMAPE_avg': 200.0, 'R2_avg': -inf}",COMPLETE
5,7.169820678766377e+20,2026-04-06 04:49:23.931414,2026-04-06 04:49:25.423739,0 days 00:00:01.492325,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[0, 1]","{'MAE_15m': 7.209780273835105e+20, 'RMSE_15m': inf, 'sMAPE_15m': 200.0, 'R2_15m': -inf, 'MAE_30m': 7.129861083697649e+20, 'RMSE_30m': inf, 'sMAPE_30m': 200.0, 'R2_30m': -inf, 'MAE_avg': 7.169820678766377e+20, 'RMSE_avg': inf, 'sMAPE_avg': 200.0, 'R2_avg': -inf}",COMPLETE
6,6.24358645402834e+20,2026-04-06 04:49:25.425497,2026-04-06 04:49:27.008449,0 days 00:00:01.582952,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[21, 1]","{'MAE_15m': 6.233584240730927e+20, 'RMSE_15m': inf, 'sMAPE_15m': 200.0, 'R2_15m': -inf, 'MAE_30m': 6.253588667325754e+20, 'RMSE_30m': inf, 'sMAPE_30m': 200.0, 'R2_30m': -inf, 'MAE_avg': 6.24358645402834e+20, 'RMSE_avg': inf, 'sMAPE_avg': 200.0, 'R2_avg': -inf}",COMPLETE
7,7.128956141647524e+20,2026-04-06 04:49:27.019556,2026-04-06 04:49:28.563723,0 days 00:00:01.544167,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[0, 11]","{'MAE_15m': 7.243051319769747e+20, 'RMSE_15m': inf, 'sMAPE_15m': 200.0, 'R2_15m': -inf, 'MAE_30m': 7.014860963525301e+20, 'RMSE_30m': inf, 'sMAPE_30m': 200.0, 'R2_30m': -inf, 'MAE_avg': 7.128956141647524e+20, 'RMSE_avg': inf, 'sMAPE_avg': 200.0, 'R2_avg': -inf}",COMPLETE
8,7.169033252519029e+20,2026-04-06 04:49:28.569051,2026-04-06 04:49:30.190808,0 days 00:00:01.621757,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[0, 1]","{'MAE_15m': 7.224103831712469e+20, 'RMSE_15m': inf, 'sMAPE_15m': 200.0, 'R2_15m': -inf, 'MAE_30m': 7.113962673325589e+20, 'RMSE_30m': inf, 'sMAPE_30m': 200.0, 'R2_30m': -inf, 'MAE_avg': 7.169033252519029e+20, 'RMSE_avg': inf, 'sMAPE_avg': 200.0, 'R2_avg': -inf}",COMPLETE
9,6.727999963135287e+20,2026-04-06 04:49:30.197504,2026-04-06 04:49:31.664923,0 days 00:00:01.467419,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[0, 1]","{'MAE_15m': 7.413859483574516e+20, 'RMSE_15m': inf, 'sMAPE_15m': 200.0, 'R2_15m': -inf, 'MAE_30m': 6.042140442696058e+20, 'RMSE_30m': inf, 'sMAPE_30m': 200.0, 'R2_30m': -inf, 'MAE_avg': 6.727999963135287e+20, 'RMSE_avg': inf, 'sMAPE_avg': 200.0, 'R2_avg': -inf}",COMPLETE
10,4.621473079289478e+20,2026-04-06 04:49:31.666414,2026-04-06 04:49:33.280593,0 days 00:00:01.614179,0.7588836305457849,3.382861898713898,0.18255631599020614,8,5,1200,14.73099293843444,0.6071847502459278,"[23, 19]","{'MAE_15m': 5.6663460160394284e+20, 'RMSE_15m': inf, 'sMAPE_15m': 200.0, 'R2_15m': -inf, 'MAE_30m': 3.576600142539527e+20, 'RMSE_30m': inf, 'sMAPE_30m': 200.0, 'R2_30m': -inf, 'MAE_avg': 4.621473079289478e+20, 'RMSE_avg': inf, 'sMAPE_avg': 200.0, 'R2_avg': -inf}",COMPLETE
