number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,user_attrs_best_iters,user_attrs_val_metrics,state
0,2.9062420129776,2026-04-06 04:49:40.347301,2026-04-06 04:49:42.455520,0 days 00:00:02.108219,0.6624074561769746,4.330880728874676,0.08960785365368121,8,2,600,0.01555019165426488,0.8394633936788146,"[72, 69]","{'MAE_15m': 2.2604403495788574, 'RMSE_15m': 4.697733580185798, 'sMAPE_15m': 140.01044716657196, 'R2_15m': 0.9234659634979772, 'MAE_30m': 3.5520436763763428, 'RMSE_30m': 6.420797364342322, 'sMAPE_30m': 140.8542330633317, 'R2_30m': 0.8570264185423189, 'MAE_avg': 2.9062420129776, 'RMSE_avg': 5.55926547226406, 'sMAPE_avg': 140.43234011495184, 'R2_avg': 0.890246191020148}",COMPLETE
1,2.4761840105056763,2026-04-06 04:49:42.458757,2026-04-06 04:49:46.727484,0 days 00:00:04.268727,0.9329770563201687,0.9170225492671691,0.010636066512540286,6,3,800,0.039829941698924086,0.9879639408647978,"[543, 511]","{'MAE_15m': 2.091134786605835, 'RMSE_15m': 4.483166894104058, 'sMAPE_15m': 139.8888525631892, 'R2_15m': 0.9302976167161655, 'MAE_30m': 2.8612332344055176, 'RMSE_30m': 6.121067886930843, 'sMAPE_30m': 140.50936995057293, 'R2_30m': 0.8700631825328298, 'MAE_avg': 2.4761840105056763, 'RMSE_avg': 5.30211739051745, 'sMAPE_avg': 140.19911125688105, 'R2_avg': 0.9001803996244977}",COMPLETE
2,2.5410338640213013,2026-04-06 04:49:46.729166,2026-04-06 04:49:49.403708,0 days 00:00:02.674542,0.8447411578889518,1.8318092164684585,0.03647316284911211,5,2,400,0.09212515846231674,0.7164916560792167,"[176, 185]","{'MAE_15m': 2.123331308364868, 'RMSE_15m': 4.582045194924965, 'sMAPE_15m': 140.03623864919237, 'R2_15m': 0.9271890775992897, 'MAE_30m': 2.9587364196777344, 'RMSE_30m': 6.247451567841827, 'sMAPE_30m': 141.03461292753533, 'R2_30m': 0.8646420858062196, 'MAE_avg': 2.5410338640213013, 'RMSE_avg': 5.414748381383395, 'sMAPE_avg': 140.53542578836385, 'R2_avg': 0.8959155817027546}",COMPLETE
3,2.6382898092269897,2026-04-06 04:49:49.408535,2026-04-06 04:49:52.969105,0 days 00:00:03.560570,0.836965827544817,0.8526206184364576,0.018187859051288217,7,1,600,1.0128002032729382,0.8056937753654446,"[310, 314]","{'MAE_15m': 2.102505683898926, 'RMSE_15m': 4.633102124892416, 'sMAPE_15m': 139.9827344769589, 'R2_15m': 0.9255573875575296, 'MAE_30m': 3.1740739345550537, 'RMSE_30m': 6.323934641742223, 'sMAPE_30m': 140.6517836425357, 'R2_30m': 0.8613076224737419, 'MAE_avg': 2.6382898092269897, 'RMSE_avg': 5.478518383317319, 'sMAPE_avg': 140.3172590597473, 'R2_avg': 0.8934325050156358}",COMPLETE
4,2.569420576095581,2026-04-06 04:49:53.155697,2026-04-06 04:49:54.926837,0 days 00:00:01.771140,0.7218455076693483,2.2007624686980067,0.18043311207136256,8,1,200,1.8141523033666782,0.9233589392465844,"[31, 30]","{'MAE_15m': 2.1055498123168945, 'RMSE_15m': 4.661354492849457, 'sMAPE_15m': 140.01188723803114, 'R2_15m': 0.9246467322595556, 'MAE_30m': 3.0332913398742676, 'RMSE_30m': 6.2921321604066325, 'sMAPE_30m': 140.64195328485678, 'R2_30m': 0.8626990607081396, 'MAE_avg': 2.569420576095581, 'RMSE_avg': 5.4767433266280445, 'sMAPE_avg': 140.32692026144395, 'R2_avg': 0.8936728964838476}",COMPLETE
5,3.4379355907440186,2026-04-06 04:49:54.935760,2026-04-06 04:49:57.298822,0 days 00:00:02.363062,0.7035119926400067,2.600340105889054,0.011085122517311707,5,7,200,0.10689751565977942,0.9637281608315128,"[199, 199]","{'MAE_15m': 3.0956368446350098, 'RMSE_15m': 4.747179097222214, 'sMAPE_15m': 139.77158628550507, 'R2_15m': 0.92184638884607, 'MAE_30m': 3.7802343368530273, 'RMSE_30m': 6.2788664437428015, 'sMAPE_30m': 140.7094794176244, 'R2_30m': 0.863277396388955, 'MAE_avg': 3.4379355907440186, 'RMSE_avg': 5.513022770482507, 'sMAPE_avg': 140.24053285156475, 'R2_avg': 0.8925618926175125}",COMPLETE
6,2.4234663248062134,2026-04-06 04:49:57.300369,2026-04-06 04:49:58.906322,0 days 00:00:01.605953,0.9757995766256756,4.609371175115584,0.18258230439200238,3,9,800,0.9412083349710854,0.9100531293444458,"[30, 38]","{'MAE_15m': 2.1153833866119385, 'RMSE_15m': 4.6427504684434036, 'sMAPE_15m': 140.16589850455998, 'R2_15m': 0.925247014632298, 'MAE_30m': 2.7315492630004883, 'RMSE_30m': 6.355077992942865, 'sMAPE_30m': 141.1326838286493, 'R2_30m': 0.8599382387565098, 'MAE_avg': 2.4234663248062134, 'RMSE_avg': 5.498914230693135, 'sMAPE_avg': 140.64929116660466, 'R2_avg': 0.8925926266944039}",COMPLETE
7,3.4375643730163574,2026-04-06 04:49:58.907542,2026-04-06 04:50:01.016777,0 days 00:00:02.109235,0.7554709158757928,1.7837666334679465,0.011450964268326641,3,3,200,5.441108375656199,0.7301321323053057,"[199, 199]","{'MAE_15m': 3.077575445175171, 'RMSE_15m': 4.81110034752499, 'sMAPE_15m': 139.9622493444091, 'R2_15m': 0.9197275341844309, 'MAE_30m': 3.797553300857544, 'RMSE_30m': 6.456225668611128, 'sMAPE_30m': 141.24679190145346, 'R2_30m': 0.8554442973728884, 'MAE_avg': 3.4375643730163574, 'RMSE_avg': 5.6336630080680585, 'sMAPE_avg': 140.60452062293126, 'R2_avg': 0.8875859157786596}",COMPLETE
8,2.508055329322815,2026-04-06 04:50:01.018379,2026-04-06 04:50:03.932411,0 days 00:00:02.914032,0.6298202574719083,0.993578407670862,0.015252697030515175,5,10,400,3.5416296712651336,0.9208787923016158,"[340, 339]","{'MAE_15m': 2.15903639793396, 'RMSE_15m': 4.56834100439872, 'sMAPE_15m': 139.98703374493408, 'R2_15m': 0.9276239531826462, 'MAE_30m': 2.85707426071167, 'RMSE_30m': 6.198271344291947, 'sMAPE_30m': 140.96054330400477, 'R2_30m': 0.8667647935756713, 'MAE_avg': 2.508055329322815, 'RMSE_avg': 5.383306174345334, 'sMAPE_avg': 140.47378852446943, 'R2_avg': 0.8971943733791587}",COMPLETE
9,2.537686824798584,2026-04-06 04:50:03.936215,2026-04-06 04:50:06.047933,0 days 00:00:02.111718,0.9085081386743783,0.5793452976256486,0.08310795711416077,7,1,200,0.15251273957388442,0.8916028672163949,"[77, 69]","{'MAE_15m': 2.1186153888702393, 'RMSE_15m': 4.6272037513907645, 'sMAPE_15m': 140.03790359986309, 'R2_15m': 0.9257468086170331, 'MAE_30m': 2.9567582607269287, 'RMSE_30m': 6.239342720432002, 'sMAPE_30m': 140.44837790110384, 'R2_30m': 0.8649932393831763, 'MAE_avg': 2.537686824798584, 'RMSE_avg': 5.433273235911383, 'sMAPE_avg': 140.24314075048346, 'R2_avg': 0.8953700240001047}",COMPLETE
10,2.5010346174240112,2026-04-06 04:50:06.049913,2026-04-06 04:50:07.843988,0 days 00:00:01.794075,0.9935496864584779,4.883839283223654,0.18255631599020614,2,10,1200,14.73099293843444,0.6071847502459278,"[38, 37]","{'MAE_15m': 2.1372528076171875, 'RMSE_15m': 4.704241141762254, 'sMAPE_15m': 140.32107715024426, 'R2_15m': 0.9232537876368052, 'MAE_30m': 2.864816427230835, 'RMSE_30m': 6.582143973904923, 'sMAPE_30m': 141.58516271479417, 'R2_30m': 0.8497506585589046, 'MAE_avg': 2.5010346174240112, 'RMSE_avg': 5.643192557833588, 'sMAPE_avg': 140.9531199325192, 'R2_avg': 0.886502223097855}",COMPLETE
11,2.46507465839386,2026-04-06 04:50:07.846875,2026-04-06 04:50:10.437467,0 days 00:00:02.590592,0.9879840537924733,3.579276103382868,0.02904433163055038,3,5,1000,0.016744675598767453,0.9783238879894853,"[227, 315]","{'MAE_15m': 2.096493721008301, 'RMSE_15m': 4.569863217433297, 'sMAPE_15m': 139.94890704123486, 'R2_15m': 0.9275757123679365, 'MAE_30m': 2.833655595779419, 'RMSE_30m': 6.37241864768682, 'sMAPE_30m': 141.3479972210917, 'R2_30m': 0.8591728358513634, 'MAE_avg': 2.46507465839386, 'RMSE_avg': 5.471140932560059, 'sMAPE_avg': 140.64845213116328, 'R2_avg': 0.89337427410965}",COMPLETE
12,2.473931312561035,2026-04-06 04:50:10.439355,2026-04-06 04:50:12.603588,0 days 00:00:02.164233,0.9881259105415678,3.6341836432015238,0.03284434751918044,3,6,1000,0.35254128784755845,0.8627139376969948,"[195, 168]","{'MAE_15m': 2.104745388031006, 'RMSE_15m': 4.562749777449582, 'sMAPE_15m': 140.00547576967776, 'R2_15m': 0.9278010070827485, 'MAE_30m': 2.8431172370910645, 'RMSE_30m': 6.34074744213961, 'sMAPE_30m': 141.30804499635394, 'R2_30m': 0.860569186453527, 'MAE_avg': 2.473931312561035, 'RMSE_avg': 5.4517486097945955, 'sMAPE_avg': 140.65676038301586, 'R2_avg': 0.8941850967681377}",COMPLETE
13,2.45679771900177,2026-04-06 04:50:12.609514,2026-04-06 04:50:14.649516,0 days 00:00:02.040002,0.9186273292392498,3.453025456597568,0.0516714545704875,3,8,1000,0.010265823037625613,0.9984066126989742,"[121, 99]","{'MAE_15m': 2.0948293209075928, 'RMSE_15m': 4.5308631468753156, 'sMAPE_15m': 139.89737917220202, 'R2_15m': 0.9288066040973367, 'MAE_30m': 2.8187661170959473, 'RMSE_30m': 6.349227870344594, 'sMAPE_30m': 141.3353437438904, 'R2_30m': 0.8601959818292747, 'MAE_avg': 2.45679771900177, 'RMSE_avg': 5.440045508609955, 'sMAPE_avg': 140.6163614580462, 'R2_avg': 0.8945012929633057}",COMPLETE
14,2.508947968482971,2026-04-06 04:50:14.660362,2026-04-06 04:50:16.505657,0 days 00:00:01.845295,0.9156329332423951,3.4395029745843835,0.06536422297988684,2,8,1000,0.4904624883706753,0.9995807366563277,"[125, 90]","{'MAE_15m': 2.1526427268981934, 'RMSE_15m': 4.63628824448104, 'sMAPE_15m': 140.16974511240764, 'R2_15m': 0.9254549715584129, 'MAE_30m': 2.865253210067749, 'RMSE_30m': 6.507472218275762, 'sMAPE_30m': 141.48292968461806, 'R2_30m': 0.8531403649265419, 'MAE_avg': 2.508947968482971, 'RMSE_avg': 5.571880231378401, 'sMAPE_avg': 140.82633739851286, 'R2_avg': 0.8892976682424774}",COMPLETE
